ds_sputum,ds_clinical_monitor,ds_retreatment_sputum,ds_retreatment_clinical,mdr_sputum,mdr_clinical_monitor,shine_sputum,shine_clinical_monitor
2.0,1.0,3.0,1.0,2.0,1,2.0,1.0
5.0,2.0,5.0,2.0,5.0,2,4.0,2.0
6.0,3.0,8.0,3.0,6.0,3,,3.0
,4.0,,4.0,8.0,4,,4.0
,5.0,,5.0,10.0,5,,
,6.0,,6.0,12.0,6,,
,,,7.0,14.0,7,,
,,,8.0,16.0,8,,
,,,,18.0,9,,
,,,,20.0,10,,
,,,,22.0,11,,
,,,,24.0,12,,
,,,,,13,,
,,,,,14,,
,,,,,15,,
,,,,,16,,
,,,,,17,,
,,,,,18,,
,,,,,19,,
,,,,,20,,
,,,,,21,,
,,,,,22,,
,,,,,23,,
,,,,,24,,
