Treatment,Clinic
BladderCancer_Investigation,CancerClinic
BladderCancer_PalliativeCare,CancerClinic
BladderCancer_Treatment,CancerClinic
BreastCancer_Investigation,CancerClinic
BreastCancer_PalliativeCare,CancerClinic
BreastCancer_Treatment,CancerClinic
CardioMetabolicDisorders_Investigation,CardiometabolicClinic
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,CardiometabolicClinic
CardioMetabolicDisorders_Prevention_WeightLoss,CardiometabolicClinic
CardioMetabolicDisorders_Treatment,CardiometabolicClinic
CardioMetabolicDisorders_Treatment_Haemodialysis,CardiometabolicClinic
Copd_Treatment,ChronicRespiratoryClinic
Depression_TalkingTherapy,NeurologicalMentalHealthClinic
Depression_Treatment,NeurologicalMentalHealthClinic
Epilepsy_Treatment_Followup,NeurologicalMentalHealthClinic
Epilepsy_Treatment_Start,NeurologicalMentalHealthClinic
OesophagealCancer_Investigation,CancerClinic
OesophagealCancer_PalliativeCare,CancerClinic
OesophagealCancer_Treatment,CancerClinic
OtherAdultCancer_Investigation,CancerClinic
OtherAdultCancer_PalliativeCare,CancerClinic
OtherAdultCancer_Treatment,CancerClinic
PostnatalCare_TreatmentForObstetricFistula,CancerClinic
ProstateCancer_Investigation,CancerClinic
ProstateCancer_PalliativeCare,CancerClinic
ProstateCancer_Treatment,CancerClinic
CervicalCancer_Screening_VIA,CancerClinic
CervicalCancer_Screening_Xpert,CancerClinic
CervicalCancer_Presentation,CancerClinic
CervicalCancer_CINRemoval_Cryotherapy,CancerClinic
CervicalCancer_CINRemoval_Thermoablation,CancerClinic
CervicalCancer_Biopsy,CancerClinic
CervicalCancer_Treatment_Start,CancerClinic
CervicalCancer_Treatment_PostTreatmentCheck,CancerClinic
CervicalCancer_PalliativeCare,CancerClinic
