Treatment,Clinic
BladderCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
BreastCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
CardioMetabolicDisorders_Investigation,IntegratedPrimaryCare_Clinic
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,IntegratedPrimaryCare_Clinic
CardioMetabolicDisorders_Prevention_WeightLoss,IntegratedPrimaryCare_Clinic
CardioMetabolicDisorders_Treatment,IntegratedPrimaryCare_Clinic
CardioMetabolicDisorders_Treatment_Haemodialysis,IntegratedPrimaryCare_Clinic
Copd_Treatment,IntegratedPrimaryCare_Clinic
Depression_TalkingTherapy,IntegratedPrimaryCare_Clinic
Depression_Treatment,IntegratedPrimaryCare_Clinic
Epilepsy_Treatment_Followup,IntegratedPrimaryCare_Clinic
Epilepsy_Treatment_Start,IntegratedPrimaryCare_Clinic
Hiv_Prevention_Circumcision,IntegratedPrimaryCare_Clinic
Hiv_Prevention_Infant,IntegratedPrimaryCare_Clinic
Hiv_Prevention_Prep,IntegratedPrimaryCare_Clinic
Hiv_Test,IntegratedPrimaryCare_Clinic
Hiv_Test_Selftest,IntegratedPrimaryCare_Clinic
Hiv_Treatment,IntegratedPrimaryCare_Clinic
Hiv_PalliativeCare,IntegratedPrimaryCare_Clinic
OesophagealCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
OtherAdultCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
ProstateCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
Tb_Prevention_Ipt,IntegratedPrimaryCare_Clinic
Tb_Test_Clinical,IntegratedPrimaryCare_Clinic
Tb_Test_Culture,IntegratedPrimaryCare_Clinic
Tb_Test_FollowUp,IntegratedPrimaryCare_Clinic
Tb_Test_Screening,IntegratedPrimaryCare_Clinic
Tb_Test_Xray,IntegratedPrimaryCare_Clinic
Tb_Treatment,IntegratedPrimaryCare_Clinic
Tb_PalliativeCare,IntegratedPrimaryCare_Clinic
CervicalCancer_Treatment_PostTreatmentCheck,IntegratedPrimaryCare_Clinic
CervicalCancer_PalliativeCare,IntegratedPrimaryCare_Clinic
