Officer_Category,2010,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Clinical,1,1,1.068268523,1.182359384,1.168541512,1.156685635,1.146388516,1,1,1,1,1,1
DCSA,1,1,1,1,1,1,1,1,1,1,1,1,1
Dental,1,1,1.019505292,1.052102681,1.048154718,1.044767324,1.04182529,1,1,1,1,1,1
Laboratory,1,1,1.019505292,1.052102681,1.048154718,1.044767324,1.04182529,1,1,1,1,1,1
Mental,1,1,1.019505292,1.052102681,1.048154718,1.044767324,1.04182529,1,1,1,1,1,1
Nursing_and_Midwifery,1,1,1.039010585,1.104205363,1.096309435,1.089534649,1.08365058,1,1,1,1,1,1
Nutrition,1,1,1.019505292,1.052102681,1.048154718,1.044767324,1.04182529,1,1,1,1,1,1
Pharmacy,1,1,1.136537047,1.364718769,1.337083024,1.31337127,1.292777032,1,1,1,1,1,1
Radiography,1,1,1.019505292,1.052102681,1.048154718,1.044767324,1.04182529,1,1,1,1,1,1
