District/Year,PSAC,SAC,Adults
Dedza/2022,0.9999,0.9999,0.9999
Dowa/2022,0.9999,0.9999,0.9999
Kasungu/2022,0.9999,0.9999,0.9999
Lilongwe/2022,0.9999,0.9999,0.9999
Mchinji/2022,0.9999,0.9999,0.9999
Nkhotakota/2022,0.9999,0.9999,0.9999
Ntcheu/2022,0.9999,0.9999,0.9999
Ntchisi/2022,0.9999,0.9999,0.9999
Salima/2022,0.9999,0.9999,0.9999
Likoma/2022,0.9999,0.9999,0.9999
Chitipa/2022,0.9999,0.9999,0.9999
Karonga/2022,0.9999,0.9999,0.9999
Nkhata Bay/2022,0.9999,0.9999,0.9999
Rumphi/2022,0.9999,0.9999,0.9999
Balaka/2022,0.9999,0.9999,0.9999
Blantyre/2022,0.9999,0.9999,0.9999
Chikwawa/2022,0.9999,0.9999,0.9999
Chiradzulu/2022,0.9999,0.9999,0.9999
Machinga/2022,0.9999,0.9999,0.9999
Mangochi/2022,0.9999,0.9999,0.9999
Mulanje/2022,0.9999,0.9999,0.9999
Mwanza/2022,0.9999,0.9999,0.9999
Neno/2022,0.9999,0.9999,0.9999
Nsanje/2022,0.9999,0.9999,0.9999
Phalombe/2022,0.9999,0.9999,0.9999
Thyolo/2022,0.9999,0.9999,0.9999
Zomba/2022,0.9999,0.9999,0.9999
Mzimba/2022,0.9999,0.9999,0.9999
Lilongwe City/2022,0.9999,0.9999,0.9999
Blantyre City/2022,0.9999,0.9999,0.9999
Mzuzu City/2022,0.9999,0.9999,0.9999
Zomba City/2022,0.9999,0.9999,0.9999
Dedza/2021,0.9999,0.9999,0.9999
Dowa/2021,0.9999,0.9999,0.9999
Kasungu/2021,0.9999,0.9999,0.9999
Lilongwe/2021,0.9999,0.9999,0.9999
Mchinji/2021,0.9999,0.9999,0.9999
Nkhotakota/2021,0.9999,0.9999,0.9999
Ntcheu/2021,0.9999,0.9999,0.9999
Ntchisi/2021,0.9999,0.9999,0.9999
Salima/2021,0.9999,0.9999,0.9999
Likoma/2021,0.9999,0.9999,0.9999
Chitipa/2021,0.9999,0.9999,0.9999
Karonga/2021,0.9999,0.9999,0.9999
Nkhata Bay/2021,0.9999,0.9999,0.9999
Rumphi/2021,0.9999,0.9999,0.9999
Balaka/2021,0.9999,0.9999,0.9999
Blantyre/2021,0.9999,0.9999,0.9999
Chikwawa/2021,0.9999,0.9999,0.9999
Chiradzulu/2021,0.9999,0.9999,0.9999
Machinga/2021,0.9999,0.9999,0.9999
Mangochi/2021,0.9999,0.9999,0.9999
Mulanje/2021,0.9999,0.9999,0.9999
Mwanza/2021,0.9999,0.9999,0.9999
Neno/2021,0.9999,0.9999,0.9999
Nsanje/2021,0.9999,0.9999,0.9999
Phalombe/2021,0.9999,0.9999,0.9999
Thyolo/2021,0.9999,0.9999,0.9999
Zomba/2021,0.9999,0.9999,0.9999
Mzimba/2021,0.9999,0.9999,0.9999
Lilongwe City/2021,0.9999,0.9999,0.9999
Blantyre City/2021,0.9999,0.9999,0.9999
Mzuzu City/2021,0.9999,0.9999,0.9999
Zomba City/2021,0.9999,0.9999,0.9999
Dedza/2020,0.9999,0.9999,0.9999
Dowa/2020,0.9999,0.9999,0.9999
Kasungu/2020,0.9999,0.9999,0.9999
Lilongwe/2020,0.9999,0.9999,0.9999
Mchinji/2020,0.9999,0.9999,0.9999
Nkhotakota/2020,0.9999,0.9999,0.9999
Ntcheu/2020,0.9999,0.9999,0.9999
Ntchisi/2020,0.9999,0.9999,0.9999
Salima/2020,0.9999,0.9999,0.9999
Likoma/2020,0.9999,0.9999,0.9999
Chitipa/2020,0.9999,0.9999,0.9999
Karonga/2020,0.9999,0.9999,0.9999
Nkhata Bay/2020,0.9999,0.9999,0.9999
Rumphi/2020,0.9999,0.9999,0.9999
Balaka/2020,0.9999,0.9999,0.9999
Blantyre/2020,0.9999,0.9999,0.9999
Chikwawa/2020,0.9999,0.9999,0.9999
Chiradzulu/2020,0.9999,0.9999,0.9999
Machinga/2020,0.9999,0.9999,0.9999
Mangochi/2020,0.9999,0.9999,0.9999
Mulanje/2020,0.9999,0.9999,0.9999
Mwanza/2020,0.9999,0.9999,0.9999
Neno/2020,0.9999,0.9999,0.9999
Nsanje/2020,0.9999,0.9999,0.9999
Phalombe/2020,0.9999,0.9999,0.9999
Thyolo/2020,0.9999,0.9999,0.9999
Zomba/2020,0.9999,0.9999,0.9999
Mzimba/2020,0.9999,0.9999,0.9999
Lilongwe City/2020,0.9999,0.9999,0.9999
Blantyre City/2020,0.9999,0.9999,0.9999
Mzuzu City/2020,0.9999,0.9999,0.9999
Zomba City/2020,0.9999,0.9999,0.9999
Dedza/2019,0.9999,0.9999,0.9999
Dowa/2019,0.9999,0.9999,0.9999
Kasungu/2019,0.9999,0.9999,0.9999
Lilongwe/2019,0.9999,0.9999,0.9999
Mchinji/2019,0.9999,0.9999,0.9999
Nkhotakota/2019,0.9999,0.9999,0.9999
Ntcheu/2019,0.9999,0.9999,0.9999
Ntchisi/2019,0.9999,0.9999,0.9999
Salima/2019,0.9999,0.9999,0.9999
Likoma/2019,0.9999,0.9999,0.9999
Chitipa/2019,0.9999,0.9999,0.9999
Karonga/2019,0.9999,0.9999,0.9999
Nkhata Bay/2019,0.9999,0.9999,0.9999
