parameter_name,value,upper,lower,Source: GBD
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,16.7476295323793,23.7837584423669,12.0117124077911,
m_25-29,22.4905695266967,32.2482837322488,16.3353774198882,
m_30-34,33.9702653738181,43.604315823005,26.9897600543946,
m_35-39,51.1863913342464,65.2409005151884,39.7404316495847,
m_40-44,99.2193163477685,116.276595635548,83.790271499815,
m_45-49,178.066390562091,216.284037927691,144.163071760039,
m_50-54,264.912392533514,309.559129951744,227.290495579231,
m_55-59,359.753055096745,438.670897396702,291.402473092431,
m_60-64,496.356904011709,591.185621410193,415.707411706987,
m_65-69,674.694042326852,870.89571678751,513.328226527108,
m_70-74,854.489392550359,1056.65688186173,693.729858282683,
m_75-79,1035.74941583938,1276.00716023175,822.291277987908,
m_80-84,1272.57424644858,1554.72615291202,1038.56130260707,
m_85-89,1564.96761019708,1846.87262625719,1339.41617180323,
m_90-94,1857.31775426993,2293.69597408588,1501.80085868196,
m_95-99,2149.62844783028,2748.83922169123,1634.42137232951,
m_100+,2149.62844783028,2748.83922169123,1634.42137232951,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,12.1365590687948,18.942634286568,7.36030253764004,
f_25-29,16.2399313621945,25.8731151847188,9.95317349457415,
f_30-34,25.3976792055067,35.0330307340595,18.3501064485505,
f_35-39,39.6095873011588,53.8319100434208,29.1428419642089,
f_40-44,71.5396825053312,87.0428600344593,58.3076980240821,
f_45-49,121.18677786251,153.891684333376,95.8104258481569,
f_50-54,192.133983181475,226.637528134754,161.247146861669,
f_55-59,284.377441989656,348.920419285445,230.493938898568,
f_60-64,418.97822095204,493.703496497246,352.66409949668,
f_65-69,595.904416112348,757.115830898039,467.915514483099,
f_70-74,750.880022766285,911.972236166007,619.778489159675,
f_75-79,883.932385394039,1092.94994612833,694.308776749946,
f_80-84,1148.23547379251,1394.50981211873,941.630807870905,
f_85-89,1543.7253195191,1828.4946317301,1325.36751748267,
f_90-94,1939.12693132545,2378.83381040149,1588.88547754499,
f_95-99,2334.45388003613,2954.97717329419,1809.21521280652,
f_100+,2334.45388003613,2954.97717329419,1809.21521280652,
