Variant,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Sex
Estimates,1950,276828.0,206449.0,170952.0,145758.0,121176.0,100878.0,93228.0,68443.0,50593.0,47328.0,38046.0,32028.0,25544.0,18849.0,12462.0,6385.0,2395.0,526.0,60.0,3.0,1.0,M
Estimates,1955,288843.0,235459.0,195882.0,164921.0,139240.0,114789.0,95467.0,87918.0,64078.99999999999,46948.0,43375.0,34233.0,27950.0,21119.0,14240.0,8122.0,3289.0,850.0,108.0,6.0,0,M
Estimates,1960,331283.0,247896.0,224184.0,189337.0,157864.0,132203.0,108868.0,90221.0,82492.0,59590.0,43111.0,39097.0,29922.0,23142.0,15973.0,9282.0,4173.0,1158.0,172.0,12.0,0,M
Estimates,1965,382853.0,287270.0,236952.0,217175.0,181666.0,150289.0,125709.0,103146.0,84869.0,76911.0,54852.0,38944.0,34248.0,24823.0,17531.0,10419.0,4761.0,1460.0,230.0,18.0,1.0,M
Estimates,1970,442401.0,334908.0,275472.0,229974.0,208792.0,173342.0,143220.0,119357.0,97241.0,79303.0,70941.0,49647.0,34179.0,28459.0,18831.0,11441.0,5336.0,1656.0,285.0,23.0,1.0,M
Estimates,1975,511347.0,393549.0,322999.0,267733.0,220513.0,198281.0,164326.0,135415.0,112241.0,90757.0,73123.0,64349.99999999999,43755.0,28516.0,21669.0,12320.0,5853.0,1837.0,315.0,27.0,1.0,M
Estimates,1980,598471.0,461590.0,381621.0,316080.0,260634.0,213874.0,191946.0,158322.0,129431.00000000001,106231.0,84691.0,66807.0,56901.0,36622.0,21777.0,14206.0,6296.0,2000,338.0,29.0,2.0,M
Estimates,1985,695284.0,545884.0,448836.0,373470.0,306708.0,251259.0,205753.0,183865.0,150582.0,122012.0,98795.0,77252.0,59068.0,47593.0,27924.0,14229.0,7206.0,2115.0,358.0,29.0,2.0,M
Estimates,1990,865316.0,669865.0,577464.0,483102.0,399306.0,338398.0,291364.0,240653.0,205778.0,160023.0,123549.0,97916.0,75957.0,56463.0,42146.0,22616.0,9400.0,2677.0,357.0,30.0,2.0,M
Estimates,1995,889564.0,734347.0,585415.0,506053.0,426951.0,351708.0,290286.0,241111.0,197082.0,173490.0,138009.0,108174.0,85632.0,64614.00000000001,44950.0,29327.0,12530.0,3118.0,419.0,30.0,2.0,M
Estimates,2000,1013409.0,837242.0,716190.0,571747.0,487852.0,403381.0,325306.0,261319.00000000003,211499.0,170278.0,148222.0,115930.0,87840.0,65543.0,44621.0,26266.0,12971.0,3474.0,452.0,33.0,2.0,M
Estimates,2005,1152574.0,962810.0,816189.0,699181.0,550760.0,460096.0,371356.0,290011.0,225913.0,179682.0,142792.0,122127.0,92093.0,65492.00000000001,43791.0,24977.0,10953.0,3310.0,450.0,32.0,2.0,M
