District,District_Num,Region,Sex,Age,Count
Chitipa,0,Northern,F,95,0.4815243032680552
Chitipa,0,Northern,F,96,0.38789457763260005
Chitipa,0,Northern,F,97,0.28088917690636556
Chitipa,0,Northern,F,98,0.18725945127091037
Chitipa,0,Northern,F,99,0.08025405054467587
Chitipa,0,Northern,F,100,0.08025405054467587
Karonga,1,Northern,M,0,5931.103928665799
Karonga,1,Northern,M,1,5707.873355967453
Karonga,1,Northern,M,2,5497.465915505852
Karonga,1,Northern,M,3,5299.09185197306
Karonga,1,Northern,M,4,5111.940627026724
Karonga,1,Northern,M,5,4935.160136255648
Karonga,1,Northern,M,6,4767.939841317477
Karonga,1,Northern,M,7,4609.4899869042765
Karonga,1,Northern,M,8,4458.979251639271
Karonga,1,Northern,M,9,4315.576314145687
Karonga,1,Northern,M,10,4179.2396083546855
Karonga,1,Northern,M,11,4049.8444360597496
Karonga,1,Northern,M,12,3922.9432278951376
Karonga,1,Northern,M,13,3796.187500971461
Karonga,1,Northern,M,14,3670.990501629236
Karonga,1,Northern,M,15,3549.3889672415607
Karonga,1,Northern,M,16,3428.9304997469503
Karonga,1,Northern,M,17,3316.8475951233418
Karonga,1,Northern,M,18,3216.2161424648
Karonga,1,Northern,M,19,3122.1936947516156
Karonga,1,Northern,M,20,3029.729974619883
Karonga,1,Northern,M,21,2943.355683573023
Karonga,1,Northern,M,22,2839.85617216461
Karonga,1,Northern,M,23,2708.2579982212224
Karonga,1,Northern,M,24,2560.8231520502823
Karonga,1,Northern,M,25,2418.791894828376
Karonga,1,Northern,M,26,2275.7007028510825
Karonga,1,Northern,M,27,2154.0160363257296
Karonga,1,Northern,M,28,2066.394763213708
Karonga,1,Northern,M,29,2001.3022994122723
Karonga,1,Northern,M,30,1934.7342401670621
Karonga,1,Northern,M,31,1871.7824289108207
Karonga,1,Northern,M,32,1804.8610580804814
Karonga,1,Northern,M,33,1727.880698591172
Karonga,1,Northern,M,34,1645.2473537397966
Karonga,1,Northern,M,35,1567.8721165965192
Karonga,1,Northern,M,36,1493.9468631668556
Karonga,1,Northern,M,37,1421.1438935958377
Karonga,1,Northern,M,38,1349.5671230555618
Karonga,1,Northern,M,39,1279.673778303254
Karonga,1,Northern,M,40,1211.8171709240435
Karonga,1,Northern,M,41,1145.8518196769949
Karonga,1,Northern,M,42,1083.918377107302
Karonga,1,Northern,M,43,1027.118344039191
Karonga,1,Northern,M,44,974.6203990958877
Karonga,1,Northern,M,45,924.2007575945203
Karonga,1,Northern,M,46,875.9841177416051
Karonga,1,Northern,M,47,831.3005937399811
Karonga,1,Northern,M,48,790.5450632436161
Karonga,1,Northern,M,49,752.9901200478325
Karonga,1,Northern,M,50,717.742093672598
Karonga,1,Northern,M,51,685.1958617718802
Karonga,1,Northern,M,52,653.0445075251303
Karonga,1,Northern,M,53,620.1657470737027
Karonga,1,Northern,M,54,587.5779491041462
Karonga,1,Northern,M,55,556.7567090602354
Karonga,1,Northern,M,56,526.5589600489052
Karonga,1,Northern,M,57,501.0581768163505
Karonga,1,Northern,M,58,482.1663985291523
Karonga,1,Northern,M,59,467.41044409140665
Karonga,1,Northern,M,60,452.84153696343526
Karonga,1,Northern,M,61,439.7066592103997
Karonga,1,Northern,M,62,422.6230049176858
Karonga,1,Northern,M,63,398.68094926658307
Karonga,1,Northern,M,64,370.4783715595116
Karonga,1,Northern,M,65,343.6266910896984
Karonga,1,Northern,M,66,317.0659731017563
Karonga,1,Northern,M,67,291.7314541445565
Karonga,1,Northern,M,68,268.68306897348623
Karonga,1,Northern,M,69,247.29732655596476
Karonga,1,Northern,M,70,225.95315020728205
Karonga,1,Northern,M,71,204.9830684781478
Karonga,1,Northern,M,72,185.15605364207835
Karonga,1,Northern,M,73,166.721502112106
Karonga,1,Northern,M,74,149.49236657845657
Karonga,1,Northern,M,75,133.13611849042022
Karonga,1,Northern,M,76,117.7151069512551
Karonga,1,Northern,M,77,103.0630676856063
Karonga,1,Northern,M,78,88.99295338369957
Karonga,1,Northern,M,79,75.69181135530916
Karonga,1,Northern,M,80,63.409038013467395
Karonga,1,Northern,M,81,52.04071818607747
Karonga,1,Northern,M,82,42.02329559594594
Karonga,1,Northern,M,83,33.60616665610514
Karonga,1,Northern,M,84,26.539934953522735
Karonga,1,Northern,M,85,20.24267552445665
Karonga,1,Northern,M,86,14.714388368906887
Karonga,1,Northern,M,87,10.329168106421925
Karonga,1,Northern,M,88,7.128580805840484
Karonga,1,Northern,M,89,4.925579157388323
Karonga,1,Northern,M,90,3.0343230252265614
Karonga,1,Northern,M,91,2.057520407516641
Karonga,1,Northern,M,92,1.5795106158713608
Karonga,1,Northern,M,93,1.0599347553873606
Karonga,1,Northern,M,94,0.49879282606464026
Karonga,1,Northern,M,95,0.1870473097742401
Karonga,1,Northern,M,96,0.14548124093552006
Karonga,1,Northern,M,97,0.10391517209680005
Karonga,1,Northern,M,98,0.06234910325808003
Karonga,1,Northern,M,99,0.04156606883872002
Karonga,1,Northern,M,100,0.04156606883872002
Karonga,1,Northern,F,0,5824.445396025643
Karonga,1,Northern,F,1,5618.069864241398
Karonga,1,Northern,F,2,5422.397595183123
Karonga,1,Northern,F,3,5236.867446921497
Karonga,1,Northern,F,4,5060.918277527195
Karonga,1,Northern,F,5,4894.030511139734
Karonga,1,Northern,F,6,4735.601439760952
Karonga,1,Northern,F,7,4585.1114875303665
Karonga,1,Northern,F,8,4441.999512518654
Karonga,1,Northern,F,9,4305.72515583091
Karonga,1,Northern,F,10,4175.8311907099105
Karonga,1,Northern,F,11,4051.922739501686
Karonga,1,Northern,F,12,3932.794386209914
Karonga,1,Northern,F,13,3817.6563755266598
Karonga,1,Northern,F,14,3706.3424431765675
Karonga,1,Northern,F,15,3597.4601258535404
Karonga,1,Northern,F,16,3488.9519031500618
Karonga,1,Northern,F,17,3387.987921940811
Karonga,1,Northern,F,18,3297.290759734724
Karonga,1,Northern,F,19,3211.727007030219
