age_from,age_to,year,sex,pop_size,prev ,prev_prop
71      ,71    ,2012,F,16657   ,773  ,0.046406916
72      ,72    ,2012,F,15358   ,685  ,0.044602162
73      ,73    ,2012,F,14049   ,601  ,0.042778845
74      ,74    ,2012,F,12775   ,525  ,0.04109589
75      ,75    ,2012,F,11553   ,455  ,0.03938371
76      ,76    ,2012,F,10383   ,392  ,0.037754021
77      ,77    ,2012,F,9250    ,335  ,0.036216216
78      ,78    ,2012,F,8156    ,284  ,0.034820991
79      ,79    ,2012,F,7143    ,239  ,0.033459331
80      ,80    ,2012,F,6230    ,757  ,0.121508828
0       ,0     ,2013,F,283771  ,2781 ,0.009800156
1       ,1     ,2013,F,282732  ,3284 ,0.01161524
2       ,2     ,2013,F,280284  ,3781 ,0.013489889
3       ,3     ,2013,F,283372  ,4566 ,0.016113095
4       ,4     ,2013,F,275510  ,4737 ,0.017193568
5       ,5     ,2013,F,267431  ,4768 ,0.017828898
6       ,6     ,2013,F,259237  ,4921 ,0.01898263
7       ,7     ,2013,F,251032  ,4871 ,0.019403901
8       ,8     ,2013,F,242756  ,4878 ,0.020094251
9       ,9     ,2013,F,234351  ,4835 ,0.020631446
10      ,10    ,2013,F,226727  ,4746 ,0.020932664
11      ,11    ,2013,F,220309  ,4621 ,0.020975085
12      ,12    ,2013,F,214716  ,4479 ,0.020860113
13      ,13    ,2013,F,209131  ,4303 ,0.02057562
14      ,14    ,2013,F,203704  ,4093 ,0.02009288
15      ,15    ,2013,F,198301  ,4322 ,0.02179515
16      ,16    ,2013,F,192769  ,4987 ,0.025870342
17      ,17    ,2013,F,187191  ,5861 ,0.031310266
18      ,18    ,2013,F,181736  ,6884 ,0.037879121
19      ,19    ,2013,F,176287  ,7959 ,0.045147969
20      ,20    ,2013,F,171077  ,9062 ,0.0529703
21      ,21    ,2013,F,166211  ,10226,0.061524207
22      ,22    ,2013,F,161504  ,11695,0.072413067
23      ,23    ,2013,F,156806  ,12871,0.082082318
24      ,24    ,2013,F,152318  ,13872,0.091072624
25      ,25    ,2013,F,146977  ,14425,0.098144608
26      ,26    ,2013,F,140292  ,14831,0.105715223
27      ,27    ,2013,F,132825  ,15046,0.113276868
28      ,28    ,2013,F,125552  ,15285,0.121742386
29      ,29    ,2013,F,118183  ,15837,0.134004045
30      ,30    ,2013,F,111748  ,16604,0.148584315
31      ,31    ,2013,F,106828  ,17328,0.162204665
32      ,32    ,2013,F,102905  ,17933,0.174267528
33      ,33    ,2013,F,98921   ,18370,0.185703743
34      ,34    ,2013,F,95135   ,18588,0.195385505
35      ,35    ,2013,F,91099   ,18500,0.203075775
36      ,36    ,2013,F,86496   ,18199,0.210402793
37      ,37    ,2013,F,81603   ,17714,0.217075353
38      ,38    ,2013,F,77008   ,17083,0.221834095
39      ,39    ,2013,F,72584   ,16332,0.225008266
40      ,40    ,2013,F,68484   ,15485,0.226111208
41      ,41    ,2013,F,64839   ,14571,0.224725859
42      ,42    ,2013,F,61552   ,13615,0.221195087
43      ,43    ,2013,F,58380   ,11694,0.200308325
44      ,44    ,2013,F,55357   ,11060,0.199794064
45      ,45    ,2013,F,52559   ,10489,0.199566202
46      ,46    ,2013,F,49994   ,9915 ,0.198323799
47      ,47    ,2013,F,47635   ,9344 ,0.196158287
48      ,48    ,2013,F,45431   ,8164 ,0.179701085
49      ,49    ,2013,F,43372   ,7339 ,0.169210551
50      ,50    ,2013,F,41469   ,6612 ,0.159444404
51      ,51    ,2013,F,39714   ,5981 ,0.150601803
52      ,52    ,2013,F,38085   ,5431 ,0.142602074
53      ,53    ,2013,F,36593   ,4938 ,0.134943842
54      ,54    ,2013,F,35266   ,4483 ,0.127119605
55      ,55    ,2013,F,33885   ,4044 ,0.119344843
56      ,56    ,2013,F,32353   ,3620 ,0.111890706
57      ,57    ,2013,F,30778   ,3227 ,0.104847618
58      ,58    ,2013,F,29291   ,2867 ,0.097879895
59      ,59    ,2013,F,27782   ,2558 ,0.092074005
60      ,60    ,2013,F,26717   ,2313 ,0.086574091
61      ,61    ,2013,F,26314   ,2134 ,0.081097515
62      ,62    ,2013,F,26308   ,2000 ,0.076022503
63      ,63    ,2013,F,26252   ,1894 ,0.072146884
64      ,64    ,2013,F,26275   ,1788 ,0.068049477
65      ,65    ,2013,F,25875   ,1666 ,0.064386473
66      ,66    ,2013,F,24768   ,1519 ,0.061329134
67      ,67    ,2013,F,23199   ,1359 ,0.058580111
68      ,68    ,2013,F,21709   ,1205 ,0.055506933
69      ,69    ,2013,F,20199   ,1069 ,0.052923412
70      ,70    ,2013,F,18722   ,948  ,0.050635616
71      ,71    ,2013,F,17362   ,841  ,0.04843912
72      ,72    ,2013,F,16078   ,748  ,0.046523199
73      ,73    ,2013,F,14755   ,660  ,0.0447306
74      ,74    ,2013,F,13422   ,577  ,0.042989122
75      ,75    ,2013,F,12131   ,501  ,0.041299151
76      ,76    ,2013,F,10896   ,431  ,0.0395558
77      ,77    ,2013,F,9719    ,369  ,0.037966869
78      ,78    ,2013,F,8582    ,312  ,0.036355162
79      ,79    ,2013,F,7488    ,262  ,0.034989316
80      ,80    ,2013,F,6484    ,840  ,0.129549661
0       ,0     ,2014,F,281976  ,2535 ,0.008990127
1       ,1     ,2014,F,283815  ,2947 ,0.010383524
2       ,2     ,2014,F,283652  ,3293 ,0.011609296
3       ,3     ,2014,F,281707  ,3650 ,0.012956725
4       ,4     ,2014,F,281180  ,4403 ,0.015659008
5       ,5     ,2014,F,274463  ,4623 ,0.0168438
6       ,6     ,2014,F,267154  ,4643 ,0.017379489
7       ,7     ,2014,F,259414  ,4785 ,0.018445419
8       ,8     ,2014,F,251405  ,4730 ,0.018814264
9       ,9     ,2014,F,243071  ,4734 ,0.019475791
10      ,10    ,2014,F,234361  ,4690 ,0.020011862
11      ,11    ,2014,F,226510  ,4598 ,0.020299325
12      ,12    ,2014,F,220110  ,4468 ,0.020298941
13      ,13    ,2014,F,214678  ,4323 ,0.020137136
14      ,14    ,2014,F,209125  ,4150 ,0.019844591
15      ,15    ,2014,F,203656  ,4381 ,0.021511765
16      ,16    ,2014,F,198218  ,5018 ,0.025315562
17      ,17    ,2014,F,192672  ,5874 ,0.030487045
18      ,18    ,2014,F,187092  ,6818 ,0.036441964
19      ,19    ,2014,F,181623  ,7833 ,0.043127798
20      ,20    ,2014,F,176155  ,8881 ,0.050415827
21      ,21    ,2014,F,170919  ,9963 ,0.058290769
22      ,22    ,2014,F,166018  ,11090,0.066799986
23      ,23    ,2014,F,161269  ,12526,0.077671468
24      ,24    ,2014,F,156529  ,13630,0.087076516
25      ,25    ,2014,F,151997  ,14570,0.095857155
26      ,26    ,2014,F,146613  ,15000,0.102310163
27      ,27    ,2014,F,139889  ,15296,0.109343837
28      ,28    ,2014,F,132388  ,15411,0.116407832
29      ,29    ,2014,F,125080  ,15565,0.124440358
30      ,30    ,2014,F,117678  ,16045,0.136346641
31      ,31    ,2014,F,111207  ,16748,0.15060203
32      ,32    ,2014,F,106243  ,17413,0.163897857
33      ,33    ,2014,F,102275  ,17964,0.175644097
34      ,34    ,2014,F,98250   ,18355,0.186819338
35      ,35    ,2014,F,94426   ,18487,0.195782941
36      ,36    ,2014,F,90363   ,18352,0.203091973
37      ,37    ,2014,F,85750   ,18020,0.210145773
38      ,38    ,2014,F,80861   ,17518,0.216643376
39      ,39    ,2014,F,76270   ,16878,0.221292776
40      ,40    ,2014,F,71854   ,16125,0.224413394
41      ,41    ,2014,F,67774   ,15281,0.225469944
42      ,42    ,2014,F,64163   ,14374,0.224023191
43      ,43    ,2014,F,60920   ,13429,0.220436638
44      ,44    ,2014,F,57795   ,11531,0.199515529
45      ,45    ,2014,F,54821   ,10961,0.199941628
46      ,46    ,2014,F,52066   ,10384,0.199439173
47      ,47    ,2014,F,49532   ,9812 ,0.198094161
48      ,48    ,2014,F,47196   ,9248 ,0.195948809
49      ,49    ,2014,F,45016   ,8081 ,0.179513951
50      ,50    ,2014,F,42981   ,7265 ,0.169028175
51      ,51    ,2014,F,41098   ,6546 ,0.159277824
52      ,52    ,2014,F,39361   ,5921 ,0.150428089
53      ,53    ,2014,F,37746   ,5376 ,0.142425687
54      ,54    ,2014,F,36266   ,4888 ,0.134781889
55      ,55    ,2014,F,34946   ,4438 ,0.126995937
56      ,56    ,2014,F,33573   ,4004 ,0.119262503
57      ,57    ,2014,F,32050   ,3585 ,0.111856474
58      ,58    ,2014,F,30482   ,3195 ,0.104815957
59      ,59    ,2014,F,29000   ,2838 ,0.097862069
60      ,60    ,2014,F,27494   ,2532 ,0.09209282
61      ,61    ,2014,F,26424   ,2288 ,0.08658795
62      ,62    ,2014,F,26004   ,2110 ,0.081141363
63      ,63    ,2014,F,25973   ,1976 ,0.076079005
64      ,64    ,2014,F,25890   ,1869 ,0.072190035
65      ,65    ,2014,F,25885   ,1763 ,0.068108943
66      ,66    ,2014,F,25458   ,1641 ,0.064459109
67      ,67    ,2014,F,24327   ,1493 ,0.061372138
68      ,68    ,2014,F,22738   ,1334 ,0.058668309
69      ,69    ,2014,F,21224   ,1180 ,0.055597437
70      ,70    ,2014,F,19693   ,1044 ,0.053013761
71      ,71    ,2014,F,18192   ,922  ,0.050681618
72      ,72    ,2014,F,16805   ,816  ,0.048556977
73      ,73    ,2014,F,15494   ,723  ,0.046663224
74      ,74    ,2014,F,14146   ,635  ,0.044889015
75      ,75    ,2014,F,12792   ,552  ,0.04315197
76      ,76    ,2014,F,11483   ,476  ,0.041452582
77      ,77    ,2014,F,10236   ,407  ,0.039761626
78      ,78    ,2014,F,9051    ,345  ,0.038117335
79      ,79    ,2014,F,7912    ,290  ,0.036653185
80      ,80    ,2014,F,6818    ,935  ,0.13713699
0       ,0     ,2015,F,284420  ,1842 ,0.006476338
1       ,1     ,2015,F,286978  ,2523 ,0.008791615
2       ,2     ,2015,F,287472  ,2943 ,0.010237519
3       ,3     ,2015,F,286122  ,3198 ,0.01117705
4       ,4     ,2015,F,283147  ,3532 ,0.012474086
5       ,5     ,2015,F,278766  ,4304 ,0.015439473
6       ,6     ,2015,F,273200  ,4516 ,0.016530015
7       ,7     ,2015,F,266668  ,4519 ,0.016946165
8       ,8     ,2015,F,259388  ,4649 ,0.017922957
9       ,9     ,2015,F,251581  ,4592 ,0.018252571
10      ,10    ,2015,F,243198  ,4600 ,0.018914629
11      ,11    ,2015,F,234188  ,4551 ,0.019433105
12      ,12    ,2015,F,226116  ,4452 ,0.019689009
13      ,13    ,2015,F,219740  ,4318 ,0.019650496
14      ,14    ,2015,F,214472  ,4174 ,0.019461748
15      ,15    ,2015,F,208956  ,4411 ,0.021109707
16      ,16    ,2015,F,203449  ,5025 ,0.024699065
17      ,17    ,2015,F,197981  ,5845 ,0.029523035
18      ,18    ,2015,F,192425  ,6769 ,0.035177342
19      ,19    ,2015,F,186846  ,7709 ,0.041258577
20      ,20    ,2015,F,181368  ,8696 ,0.047946716
21      ,21    ,2015,F,175885  ,9719 ,0.055257697
22      ,22    ,2015,F,170627  ,10765,0.063090836
23      ,23    ,2015,F,165694  ,11844,0.071481164
24      ,24    ,2015,F,160907  ,13237,0.082264911
25      ,25    ,2015,F,156129  ,14305,0.091622953
26      ,26    ,2015,F,151556  ,15149,0.099956452
27      ,27    ,2015,F,146134  ,15475,0.105895959
28      ,28    ,2015,F,139378  ,15678,0.112485471
29      ,29    ,2015,F,131847  ,15706,0.119122923
30      ,30    ,2015,F,124509  ,15785,0.126777984
31      ,31    ,2015,F,117081  ,16200,0.138365747
32      ,32    ,2015,F,110578  ,16847,0.152353994
33      ,33    ,2015,F,105575  ,17461,0.165389534
34      ,34    ,2015,F,101564  ,17967,0.176903233
35      ,35    ,2015,F,97501   ,18286,0.187546794
36      ,36    ,2015,F,93642   ,18373,0.196204694
37      ,37    ,2015,F,89556   ,18205,0.203280629
38      ,38    ,2015,F,84937   ,17853,0.210191083
39      ,39    ,2015,F,80054   ,17339,0.216591301
40      ,40    ,2015,F,75473   ,16693,0.221178435
41      ,41    ,2015,F,71068   ,15939,0.224278156
42      ,42    ,2015,F,67010   ,15098,0.225309655
43      ,43    ,2015,F,63437   ,14198,0.223812601
44      ,44    ,2015,F,60241   ,13262,0.220149068
45      ,45    ,2015,F,57163   ,11444,0.20019943
46      ,46    ,2015,F,54241   ,10868,0.200365038
47      ,47    ,2015,F,51531   ,10292,0.199724438
48      ,48    ,2015,F,49031   ,9726 ,0.1983643
49      ,49    ,2015,F,46720   ,9167 ,0.196211473
50      ,50    ,2015,F,44566   ,8011 ,0.179755868
51      ,51    ,2015,F,42556   ,7202 ,0.16923583
52      ,52    ,2015,F,40695   ,6489 ,0.159454478
53      ,53    ,2015,F,38976   ,5869 ,0.150579844
54      ,54    ,2015,F,37378   ,5329 ,0.142570496
55      ,55    ,2015,F,35910   ,4844 ,0.134892788
56      ,56    ,2015,F,34599   ,4398 ,0.1271135
57      ,57    ,2015,F,33235   ,3967 ,0.119362118
58      ,58    ,2015,F,31721   ,3551 ,0.111944768
59      ,59    ,2015,F,30162   ,3164 ,0.104900206
60      ,60    ,2015,F,28686   ,2810 ,0.097957192
61      ,61    ,2015,F,27185   ,2506 ,0.092183189
62      ,62    ,2015,F,26110   ,2264 ,0.086710073
63      ,63    ,2015,F,25673   ,2086 ,0.081252678
64      ,64    ,2015,F,25617   ,1952 ,0.076199399
65      ,65    ,2015,F,25508   ,1844 ,0.072291046
66      ,66    ,2015,F,25475   ,1737 ,0.068184495
67      ,67    ,2015,F,25021   ,1615 ,0.064545782
68      ,68    ,2015,F,23867   ,1467 ,0.061465622
69      ,69    ,2015,F,22258   ,1307 ,0.05872046
70      ,70    ,2015,F,20723   ,1154 ,0.055686918
71      ,71    ,2015,F,19171   ,1018 ,0.053101038
72      ,72    ,2015,F,17648   ,895  ,0.050713962
73      ,73    ,2015,F,16236   ,790  ,0.048657305
74      ,74    ,2015,F,14898   ,696  ,0.04671768
75      ,75    ,2015,F,13526   ,609  ,0.045024397
76      ,76    ,2015,F,12151   ,526  ,0.043288618
77      ,77    ,2015,F,10825   ,450  ,0.041570439
78      ,78    ,2015,F,9566    ,382  ,0.039933096
79      ,79    ,2015,F,8376    ,321  ,0.038323782
80      ,80    ,2015,F,7234    ,1044 ,0.144318496
0       ,0     ,2016,F,292741  ,1459 ,0.004983928
1       ,1     ,2016,F,286106  ,1913 ,0.006686333
2       ,2     ,2016,F,287122  ,2506 ,0.008727997
3       ,3     ,2016,F,286697  ,2866 ,0.009996617
4       ,4     ,2016,F,284943  ,3117 ,0.01093903
5       ,5     ,2016,F,281973  ,3461 ,0.012274225
6       ,6     ,2016,F,278009  ,4209 ,0.015139798
7       ,7     ,2016,F,273275  ,4407 ,0.016126612
8       ,8     ,2016,F,267326  ,4394 ,0.01643686
9       ,9     ,2016,F,260050  ,4517 ,0.017369737
10      ,10    ,2016,F,251895  ,4466 ,0.01772961
11      ,11    ,2016,F,243367  ,4473 ,0.018379649
12      ,12    ,2016,F,234308  ,4416 ,0.018846988
13      ,13    ,2016,F,226191  ,4312 ,0.019063535
14      ,14    ,2016,F,219783  ,4176 ,0.01900056
15      ,15    ,2016,F,214491  ,4418 ,0.020597601
16      ,16    ,2016,F,208943  ,5018 ,0.024016119
17      ,17    ,2016,F,203398  ,5803 ,0.028530271
18      ,18    ,2016,F,197893  ,6689 ,0.033801095
19      ,19    ,2016,F,192304  ,7611 ,0.03957796
20      ,20    ,2016,F,186695  ,8528 ,0.045678781
21      ,21    ,2016,F,181185  ,9490 ,0.052377404
22      ,22    ,2016,F,175670  ,10475,0.05962885
23      ,23    ,2016,F,170382  ,11475,0.067348664
24      ,24    ,2016,F,165422  ,12500,0.075564314
25      ,25    ,2016,F,160611  ,13888,0.086469793
26      ,26    ,2016,F,155808  ,14876,0.095476484
27      ,27    ,2016,F,151212  ,15640,0.103430945
28      ,28    ,2016,F,145766  ,15876,0.108914287
29      ,29    ,2016,F,138983  ,15996,0.115093213
30      ,30    ,2016,F,131423  ,15947,0.121341013
31      ,31    ,2016,F,124059  ,15958,0.128632344
32      ,32    ,2016,F,116608  ,16317,0.139930365
33      ,33    ,2016,F,110082  ,16916,0.153667266
34      ,34    ,2016,F,105053  ,17486,0.166449316
35      ,35    ,2016,F,101016  ,17931,0.177506534
36      ,36    ,2016,F,96930   ,18207,0.187836583
37      ,37    ,2016,F,93049   ,18259,0.196229943
38      ,38    ,2016,F,88956   ,18067,0.203100409
39      ,39    ,2016,F,84352   ,17700,0.209834977
40      ,40    ,2016,F,79499   ,17176,0.216053032
41      ,41    ,2016,F,74948   ,16525,0.220486204
42      ,42    ,2016,F,70576   ,15770,0.223447064
43      ,43    ,2016,F,66547   ,14932,0.224382767
44      ,44    ,2016,F,62997   ,14039,0.222851882
45      ,45    ,2016,F,59818   ,13179,0.220318299
46      ,46    ,2016,F,56760   ,11363,0.200193798
47      ,47    ,2016,F,53858   ,10788,0.200304504
48      ,48    ,2016,F,51165   ,10215,0.199648197
49      ,49    ,2016,F,48678   ,9654 ,0.198323678
50      ,50    ,2016,F,46378   ,9099 ,0.19619216
51      ,51    ,2016,F,44233   ,7950 ,0.179730066
52      ,52    ,2016,F,42231   ,7147 ,0.169235869
53      ,53    ,2016,F,40377   ,6438 ,0.15944721
54      ,54    ,2016,F,38663   ,5822 ,0.150583245
55      ,55    ,2016,F,37068   ,5285 ,0.142575807
56      ,56    ,2016,F,35600   ,4804 ,0.13494382
57      ,57    ,2016,F,34286   ,4360 ,0.127165607
58      ,58    ,2016,F,32918   ,3933 ,0.119478705
59      ,59    ,2016,F,31402   ,3519 ,0.112062926
60      ,60    ,2016,F,29839   ,3135 ,0.105063843
61      ,61    ,2016,F,28357   ,2782 ,0.098106288
62      ,62    ,2016,F,26848   ,2480 ,0.092371871
63      ,63    ,2016,F,25753   ,2239 ,0.086941327
64      ,64    ,2016,F,25280   ,2061 ,0.081526899
65      ,65    ,2016,F,25177   ,1927 ,0.07653811
66      ,66    ,2016,F,25021   ,1819 ,0.072698933
67      ,67    ,2016,F,24940   ,1711 ,0.068604651
68      ,68    ,2016,F,24440   ,1587 ,0.064934534
69      ,69    ,2016,F,23246   ,1439 ,0.061903123
70      ,70    ,2016,F,21601   ,1279 ,0.059210222
71      ,71    ,2016,F,20032   ,1125 ,0.056160144
72      ,72    ,2016,F,18449   ,989  ,0.053607242
73      ,73    ,2016,F,16899   ,867  ,0.051304811
74      ,74    ,2016,F,15463   ,761  ,0.049214253
75      ,75    ,2016,F,14108   ,667  ,0.04727814
76      ,76    ,2016,F,12724   ,580  ,0.04558315
77      ,77    ,2016,F,11340   ,498  ,0.043915344
78      ,78    ,2016,F,10021   ,423  ,0.042211356
79      ,79    ,2016,F,8788    ,355  ,0.040395995
80      ,80    ,2016,F,7638    ,1166 ,0.152657764
0       ,0     ,2017,F,305052  ,1188 ,0.003894418
1       ,1     ,2017,F,301560  ,1507 ,0.004997347
2       ,2     ,2017,F,287321  ,1917 ,0.00667198
3       ,3     ,2017,F,286791  ,2441 ,0.008511425
4       ,4     ,2017,F,285446  ,2803 ,0.009819721
5       ,5     ,2017,F,283291  ,3069 ,0.010833383
6       ,6     ,2017,F,280331  ,3398 ,0.012121385
7       ,7     ,2017,F,276790  ,4118 ,0.014877705
8       ,8     ,2017,F,272898  ,4305 ,0.015775125
9       ,9     ,2017,F,267542  ,4278 ,0.015990013
10      ,10    ,2017,F,260283  ,4402 ,0.016912361
11      ,11    ,2017,F,251792  ,4349 ,0.017272193
12      ,12    ,2017,F,243135  ,4350 ,0.017891295
13      ,13    ,2017,F,234042  ,4286 ,0.018312952
14      ,14    ,2017,F,225892  ,4179 ,0.018499991
15      ,15    ,2017,F,219463  ,4407 ,0.020080834
16      ,16    ,2017,F,214155  ,4974 ,0.023226168
17      ,17    ,2017,F,208583  ,5735 ,0.02749505
18      ,18    ,2017,F,203010  ,6581 ,0.032417122
19      ,19    ,2017,F,197479  ,7467 ,0.037811615
20      ,20    ,2017,F,191865  ,8369 ,0.043619211
21      ,21    ,2017,F,186234  ,9266 ,0.04975461
22      ,22    ,2017,F,180702  ,10191,0.056396719
23      ,23    ,2017,F,175164  ,11128,0.063529036
24      ,24    ,2017,F,169855  ,12077,0.071101822
25      ,25    ,2017,F,164877  ,13094,0.079416777
26      ,26    ,2017,F,160048  ,14431,0.0901667
27      ,27    ,2017,F,155229  ,15352,0.098899046
28      ,28    ,2017,F,150618  ,16046,0.106534412
29      ,29    ,2017,F,145156  ,16205,0.111638513
30      ,30    ,2017,F,138357  ,16253,0.117471469
31      ,31    ,2017,F,130781  ,16136,0.123381837
32      ,32    ,2017,F,123403  ,16088,0.130369602
33      ,33    ,2017,F,115942  ,16400,0.141450035
34      ,34    ,2017,F,109403  ,16957,0.15499575
35      ,35    ,2017,F,104356  ,17480,0.167503546
36      ,36    ,2017,F,100300  ,17885,0.178315055
37      ,37    ,2017,F,96198   ,18128,0.188444666
38      ,38    ,2017,F,92302   ,18155,0.196691296
39      ,39    ,2017,F,88208   ,17944,0.20342826
40      ,40    ,2017,F,83627   ,17563,0.210015904
41      ,41    ,2017,F,78812   ,17031,0.216096534
42      ,42    ,2017,F,74298   ,16375,0.220396242
43      ,43    ,2017,F,69966   ,15619,0.223237001
44      ,44    ,2017,F,65974   ,14784,0.224088277
45      ,45    ,2017,F,62451   ,13969,0.223679365
46      ,46    ,2017,F,59295   ,13105,0.221013576
47      ,47    ,2017,F,56262   ,11295,0.200757172
48      ,48    ,2017,F,53384   ,10722,0.200846696
49      ,49    ,2017,F,50713   ,10152,0.200185357
50      ,50    ,2017,F,48244   ,9593 ,0.198843379
51      ,51    ,2017,F,45959   ,9041 ,0.196718815
52      ,52    ,2017,F,43828   ,7898 ,0.180204436
53      ,53    ,2017,F,41837   ,7098 ,0.169658436
54      ,54    ,2017,F,39991   ,6393 ,0.159860969
55      ,55    ,2017,F,38285   ,5780 ,0.150972966
56      ,56    ,2017,F,36696   ,5245 ,0.14293111
57      ,57    ,2017,F,35231   ,4767 ,0.135306974
58      ,58    ,2017,F,33916   ,4325 ,0.127520934
59      ,59    ,2017,F,32547   ,3899 ,0.119795987
60      ,60    ,2017,F,31031   ,3488 ,0.112403725
61      ,61    ,2017,F,29467   ,3105 ,0.105372111
62      ,62    ,2017,F,27980   ,2755 ,0.098463188
63      ,63    ,2017,F,26466   ,2454 ,0.092722739
64      ,64    ,2017,F,25354   ,2213 ,0.087284058
65      ,65    ,2017,F,24845   ,2036 ,0.081948078
66      ,66    ,2017,F,24694   ,1901 ,0.076982263
67      ,67    ,2017,F,24491   ,1792 ,0.073169736
68      ,68    ,2017,F,24363   ,1682 ,0.069039117
69      ,69    ,2017,F,23818   ,1558 ,0.065412713
70      ,70    ,2017,F,22586   ,1409 ,0.062383778
71      ,71    ,2017,F,20907   ,1248 ,0.059692926
72      ,72    ,2017,F,19307   ,1094 ,0.056663386
73      ,73    ,2017,F,17695   ,958  ,0.054139587
74      ,74    ,2017,F,16120   ,837  ,0.051923077
75      ,75    ,2017,F,14664   ,731  ,0.049849973
76      ,76    ,2017,F,13293   ,637  ,0.047919958
77      ,77    ,2017,F,11899   ,549  ,0.046138331
78      ,78    ,2017,F,10510   ,468  ,0.04452902
79      ,79    ,2017,F,9199    ,394  ,0.042830742
80      ,80    ,2017,F,7994    ,1304 ,0.163122342
0       ,0     ,2018,F,319400  ,949  ,0.002971196
1       ,1     ,2018,F,310830  ,1205 ,0.003876717
2       ,2     ,2018,F,303263  ,1506 ,0.004965987
3       ,3     ,2018,F,288307  ,1875 ,0.006503484
4       ,4     ,2018,F,286233  ,2386 ,0.008335866
5       ,5     ,2018,F,283971  ,2765 ,0.00973691
6       ,6     ,2018,F,281417  ,3025 ,0.010749173
7       ,7     ,2018,F,278468  ,3339 ,0.011990606
8       ,8     ,2018,F,275354  ,4033 ,0.0146466
9       ,9     ,2018,F,272305  ,4212 ,0.01546795
10      ,10    ,2018,F,267547  ,4181 ,0.015627161
11      ,11    ,2018,F,260309  ,4298 ,0.016511146
12      ,12    ,2018,F,251489  ,4239 ,0.016855608
13      ,13    ,2018,F,242710  ,4234 ,0.017444687
14      ,14    ,2018,F,233590  ,4167 ,0.017838949
15      ,15    ,2018,F,225415  ,4410 ,0.019563915
16      ,16    ,2018,F,218969  ,4966 ,0.022679009
17      ,17    ,2018,F,213650  ,5684 ,0.026604259
18      ,18    ,2018,F,208059  ,6507 ,0.031274783
19      ,19    ,2018,F,202462  ,7352 ,0.036312987
20      ,20    ,2018,F,196908  ,8220 ,0.041745384
21      ,21    ,2018,F,191275  ,9106 ,0.047606849
22      ,22    ,2018,F,185627  ,9970 ,0.053709859
23      ,23    ,2018,F,180076  ,10849,0.060246785
24      ,24    ,2018,F,174520  ,11734,0.067235847
25      ,25    ,2018,F,169195  ,12673,0.074901741
26      ,26    ,2018,F,164201  ,13628,0.08299584
27      ,27    ,2018,F,159360  ,14918,0.093611948
28      ,28    ,2018,F,154528  ,15778,0.102104473
29      ,29    ,2018,F,149906  ,16408,0.109455259
30      ,30    ,2018,F,144433  ,16495,0.114205202
31      ,31    ,2018,F,137622  ,16473,0.119697432
32      ,32    ,2018,F,130036  ,16294,0.125303762
33      ,33    ,2018,F,122651  ,16194,0.132033167
34      ,34    ,2018,F,115185  ,16461,0.142909233
35      ,35    ,2018,F,108638  ,16970,0.156206852
36      ,36    ,2018,F,103577  ,17451,0.168483351
37      ,37    ,2018,F,99505   ,17820,0.179086478
38      ,38    ,2018,F,95391   ,18034,0.189053475
39      ,39    ,2018,F,91482   ,18037,0.19716447
40      ,40    ,2018,F,87391   ,17809,0.203785287
41      ,41    ,2018,F,82836   ,17416,0.210246753
42      ,42    ,2018,F,78063   ,16875,0.216171554
43      ,43    ,2018,F,73590   ,16215,0.220342438
44      ,44    ,2018,F,69301   ,15458,0.223055944
45      ,45    ,2018,F,65349   ,14709,0.225083781
46      ,46    ,2018,F,61857   ,13887,0.224501673
47      ,47    ,2018,F,58726   ,13024,0.221775704
48      ,48    ,2018,F,55720   ,11222,0.201399856
49      ,49    ,2018,F,52869   ,10650,0.201441298
50      ,50    ,2018,F,50222   ,10082,0.200748676
51      ,51    ,2018,F,47773   ,9525 ,0.199380403
52      ,52    ,2018,F,45504   ,8975 ,0.197235408
53      ,53    ,2018,F,43387   ,7838 ,0.180653191
54      ,54    ,2018,F,41409   ,7043 ,0.170083798
55      ,55    ,2018,F,39574   ,6342 ,0.160256734
56      ,56    ,2018,F,37877   ,5732 ,0.151331943
57      ,57    ,2018,F,36295   ,5200 ,0.143270423
58      ,58    ,2018,F,34834   ,4724 ,0.135614629
59      ,59    ,2018,F,33520   ,4284 ,0.127804296
60      ,60    ,2018,F,32151   ,3861 ,0.120089577
61      ,61    ,2018,F,30635   ,3452 ,0.112681573
62      ,62    ,2018,F,29071   ,3071 ,0.105637921
63      ,63    ,2018,F,27581   ,2723 ,0.098727385
64      ,64    ,2018,F,26064   ,2423 ,0.092963475
65      ,65    ,2018,F,24935   ,2184 ,0.087587728
66      ,66    ,2018,F,24391   ,2007 ,0.082284449
67      ,67    ,2018,F,24192   ,1871 ,0.077339616
68      ,68    ,2018,F,23943   ,1761 ,0.07354968
69      ,69    ,2018,F,23767   ,1650 ,0.069423991
70      ,70    ,2018,F,23178   ,1523 ,0.065708862
71      ,71    ,2018,F,21908   ,1373 ,0.06267117
72      ,72    ,2018,F,20198   ,1213 ,0.060055451
73      ,73    ,2018,F,18567   ,1059 ,0.057036678
74      ,74    ,2018,F,16928   ,924  ,0.054584121
75      ,75    ,2018,F,15330   ,802  ,0.052315721
76      ,76    ,2018,F,13854   ,696  ,0.050238198
77      ,77    ,2018,F,12469   ,603  ,0.048359933
78      ,78    ,2018,F,11066   ,516  ,0.046629315
