age_from,age_to,year,sex,pop_size,prev ,prev_prop
19      ,19    ,2021,M,217793  ,3731 ,0.017130945
20      ,20    ,2021,M,212318  ,3940 ,0.01855707
21      ,21    ,2021,M,206554  ,4270 ,0.02067256
22      ,22    ,2021,M,200820  ,4663 ,0.023219799
23      ,23    ,2021,M,195053  ,5106 ,0.0261775
24      ,24    ,2021,M,189062  ,5572 ,0.029471813
25      ,25    ,2021,M,182976  ,6058 ,0.033108167
26      ,26    ,2021,M,177047  ,6555 ,0.037024067
27      ,27    ,2021,M,171142  ,7070 ,0.041310724
28      ,28    ,2021,M,165545  ,7595 ,0.045878764
29      ,29    ,2021,M,160394  ,8144 ,0.050774967
30      ,30    ,2021,M,155484  ,8914 ,0.057330658
31      ,31    ,2021,M,150595  ,9439 ,0.062678044
32      ,32    ,2021,M,145919  ,9844 ,0.067462085
33      ,33    ,2021,M,140501  ,9927 ,0.070654301
34      ,34    ,2021,M,133888  ,9953 ,0.074338253
35      ,35    ,2021,M,126589  ,9854 ,0.077842467
36      ,36    ,2021,M,119485  ,9797 ,0.081993556
37      ,37    ,2021,M,112306  ,9961 ,0.088695172
38      ,38    ,2021,M,105992  ,10297,0.097148841
39      ,39    ,2021,M,101070  ,10645,0.105323043
40      ,40    ,2021,M,97059   ,10959,0.112910704
41      ,41    ,2021,M,92983   ,11208,0.120538163
42      ,42    ,2021,M,89072   ,11340,0.127312736
43      ,43    ,2021,M,84918   ,11337,0.133505264
44      ,44    ,2021,M,80230   ,11236,0.140047364
45      ,45    ,2021,M,75251   ,11106,0.147586079
46      ,46    ,2021,M,70527   ,10872,0.154153728
47      ,47    ,2021,M,65967   ,10548,0.159898131
48      ,48    ,2021,M,61573   ,10149,0.16482874
49      ,49    ,2021,M,57405   ,9680 ,0.168626426
50      ,50    ,2021,M,53447   ,9167 ,0.171515707
51      ,51    ,2021,M,49616   ,7918 ,0.159585618
52      ,52    ,2021,M,45926   ,7579 ,0.165026347
53      ,53    ,2021,M,42485   ,7224 ,0.170036483
54      ,54    ,2021,M,39340   ,6862 ,0.174428063
55      ,55    ,2021,M,36457   ,6493 ,0.178100228
56      ,56    ,2021,M,33747   ,5639 ,0.167096334
57      ,57    ,2021,M,31218   ,5072 ,0.16247037
58      ,58    ,2021,M,28915   ,4574 ,0.158187792
59      ,59    ,2021,M,26851   ,4139 ,0.154146959
60      ,60    ,2021,M,25003   ,3752 ,0.150061993
61      ,61    ,2021,M,23327   ,3397 ,0.145625241
62      ,62    ,2021,M,21818   ,3061 ,0.140297002
63      ,63    ,2021,M,20488   ,2735 ,0.133492776
64      ,64    ,2021,M,19331   ,2422 ,0.125290983
65      ,65    ,2021,M,18332   ,2133 ,0.116353917
66      ,66    ,2021,M,17428   ,1876 ,0.107642874
67      ,67    ,2021,M,16572   ,1658 ,0.100048274
68      ,68    ,2021,M,15950   ,1477 ,0.092601881
69      ,69    ,2021,M,15631   ,1332 ,0.085215277
70      ,70    ,2021,M,15485   ,1210 ,0.078140136
71      ,71    ,2021,M,15348   ,1102 ,0.071800886
72      ,72    ,2021,M,15294   ,997  ,0.065188963
73      ,73    ,2021,M,14894   ,888  ,0.059621324
74      ,74    ,2021,M,13931   ,774  ,0.055559543
75      ,75    ,2021,M,12605   ,660  ,0.052360175
76      ,76    ,2021,M,11346   ,555  ,0.048915918
77      ,77    ,2021,M,10086   ,463  ,0.045905215
78      ,78    ,2021,M,8865    ,382  ,0.043090807
79      ,79    ,2021,M,7753    ,313  ,0.040371469
80      ,80    ,2021,M,6728    ,960  ,0.142687277
