,District,Year,BCG,OPV3,HepB1,HepB3,DTP1,DTP3,DTPHepHib1,DTPHepHib3,MCV1,TT2+,PCV3,VitA_6_11months,VitA12_59months,Hib3,Pneumo1,Pneumo2,Pneumo3,Rotavirus1,Rotavirus2,PAB,MCV2,DTP2,OPV1,OPV2,MCV1_MR1,MCV2_MR2,HPV
13,Mchinji,2010,1.01,0.93,0.99,0.92,0.99,0.92,0.0,0.0,0.94,0.75,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ntcheu,2010,1.01,0.93,0.99,0.92,0.99,0.92,0.0,0.0,0.94,0.75,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Balaka,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Machinga,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Mangochi,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mulanje,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Phalombe,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Zomba,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Blantyre,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Chikwawa,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Chiradzulu,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Mwanza,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Neno,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Nsanje,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Thyolo,2010,1.22,1.16,1.22,1.14,1.22,1.14,0.0,0.0,1.09,0.79,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Chitipa,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
