Year,Sex,Age_Grp,Variant,Count,Period
1992,F,55-59,GBD_Est,2096.8280175700434,1990-1994
1992,F,60-64,GBD_Est,2663.974860073507,1990-1994
1992,F,65-69,GBD_Est,3101.225651355801,1990-1994
1992,F,70-74,GBD_Est,3506.3833167952725,1990-1994
1992,F,75-79,GBD_Est,3203.289911156479,1990-1994
1992,F,80-84,GBD_Est,2140.7507133002855,1990-1994
1992,F,85-89,GBD_Est,1026.758556341027,1990-1994
1992,F,90-94,GBD_Est,346.1456171749348,1990-1994
1992,F,95+,GBD_Est,74.220994716906,1990-1994
1992,M,1-4,GBD_Est,23372.907818749773,1990-1994
1992,M,10-14,GBD_Est,978.6763539728289,1990-1994
1992,M,15-19,GBD_Est,1308.9768609445152,1990-1994
1992,M,20-24,GBD_Est,2441.9949604727226,1990-1994
1992,M,25-29,GBD_Est,3559.6417494580596,1990-1994
1992,M,30-34,GBD_Est,3469.087100778492,1990-1994
1992,M,35-39,GBD_Est,3079.4721722819013,1990-1994
1992,M,40-44,GBD_Est,2972.112843402147,1990-1994
1992,M,45-49,GBD_Est,2733.404286867049,1990-1994
1992,M,5-9,GBD_Est,1941.9080844795474,1990-1994
1992,M,50-54,GBD_Est,2534.7181271552818,1990-1994
1992,M,55-59,GBD_Est,2620.2377088330886,1990-1994
1992,M,60-64,GBD_Est,3023.046181697641,1990-1994
1992,M,65-69,GBD_Est,3338.623342617126,1990-1994
1992,M,70-74,GBD_Est,3783.808291876511,1990-1994
1992,M,75-79,GBD_Est,3386.0369376727886,1990-1994
1992,M,80-84,GBD_Est,2158.751746250823,1990-1994
1992,M,85-89,GBD_Est,1019.9379486876262,1990-1994
1992,M,90-94,GBD_Est,349.28206963280974,1990-1994
1992,M,95+,GBD_Est,66.06803758627726,1990-1994
1993,F,1-4,GBD_Est,21459.03755311651,1990-1994
1993,F,10-14,GBD_Est,782.5149480650529,1990-1994
1993,F,15-19,GBD_Est,1339.4157322585183,1990-1994
1993,F,20-24,GBD_Est,3089.597576814306,1990-1994
1993,F,25-29,GBD_Est,4268.5026628916685,1990-1994
1993,F,30-34,GBD_Est,3556.182374695672,1990-1994
1993,F,35-39,GBD_Est,3016.0065264209034,1990-1994
1993,F,40-44,GBD_Est,2534.9594631911937,1990-1994
1993,F,45-49,GBD_Est,2273.116668819162,1990-1994
1993,F,5-9,GBD_Est,1599.2228623060437,1990-1994
1993,F,50-54,GBD_Est,2130.864957969329,1990-1994
1993,F,55-59,GBD_Est,2186.7603657902287,1990-1994
1993,F,60-64,GBD_Est,2828.4527341440285,1990-1994
1993,F,65-69,GBD_Est,3183.619281816862,1990-1994
1993,F,70-74,GBD_Est,3593.551657976982,1990-1994
1993,F,75-79,GBD_Est,3353.2256179626,1990-1994
1993,F,80-84,GBD_Est,2230.7024775126424,1990-1994
1993,F,85-89,GBD_Est,1059.266674164601,1990-1994
1993,F,90-94,GBD_Est,357.4975486483521,1990-1994
1993,F,95+,GBD_Est,78.7369926119851,1990-1994
1993,M,1-4,GBD_Est,23650.02914521606,1990-1994
1993,M,10-14,GBD_Est,956.2102327361289,1990-1994
1993,M,15-19,GBD_Est,1326.8005903943113,1990-1994
1993,M,20-24,GBD_Est,2542.2789923888336,1990-1994
1993,M,25-29,GBD_Est,3988.156937020527,1990-1994
1993,M,30-34,GBD_Est,4007.72821377691,1990-1994
1993,M,35-39,GBD_Est,3547.4999573941845,1990-1994
1993,M,40-44,GBD_Est,3399.199556922868,1990-1994
1993,M,45-49,GBD_Est,3097.374557580362,1990-1994
1993,M,5-9,GBD_Est,1931.76696902692,1990-1994
1993,M,50-54,GBD_Est,2766.4952414287413,1990-1994
1993,M,55-59,GBD_Est,2763.6042497123117,1990-1994
1993,M,60-64,GBD_Est,3226.3173975461627,1990-1994
1993,M,65-69,GBD_Est,3438.241695739024,1990-1994
1993,M,70-74,GBD_Est,3931.4287688199415,1990-1994
1993,M,75-79,GBD_Est,3531.6002773261775,1990-1994
1993,M,80-84,GBD_Est,2226.9327564357154,1990-1994
1993,M,85-89,GBD_Est,1044.4311565999121,1990-1994
1993,M,90-94,GBD_Est,352.48135543752124,1990-1994
1993,M,95+,GBD_Est,68.57210241607089,1990-1994
1994,F,1-4,GBD_Est,21496.89779441592,1990-1994
1994,F,10-14,GBD_Est,750.4421820983238,1990-1994
1994,F,15-19,GBD_Est,1329.4954336112935,1990-1994
1994,F,20-24,GBD_Est,2995.0218274960466,1990-1994
1994,F,25-29,GBD_Est,4550.794001079787,1990-1994
1994,F,30-34,GBD_Est,4027.4002102728496,1990-1994
1994,F,35-39,GBD_Est,3435.3467568195356,1990-1994
1994,F,40-44,GBD_Est,2849.2259317959415,1990-1994
1994,F,45-49,GBD_Est,2558.7087520425075,1990-1994
1994,F,5-9,GBD_Est,1610.8659127415838,1990-1994
1994,F,50-54,GBD_Est,2333.115635629845,1990-1994
1994,F,55-59,GBD_Est,2307.917197733591,1990-1994
1994,F,60-64,GBD_Est,2959.3369015919698,1990-1994
1994,F,65-69,GBD_Est,3300.1788653784542,1990-1994
1994,F,70-74,GBD_Est,3731.018346653575,1990-1994
1994,F,75-79,GBD_Est,3494.6818802432863,1990-1994
1994,F,80-84,GBD_Est,2327.3670448800276,1990-1994
1994,F,85-89,GBD_Est,1097.8902445658514,1990-1994
1994,F,90-94,GBD_Est,368.7773217898856,1990-1994
1994,F,95+,GBD_Est,83.81395814574937,1990-1994
1994,M,1-4,GBD_Est,23592.630737326243,1990-1994
1994,M,10-14,GBD_Est,914.424286205408,1990-1994
1994,M,15-19,GBD_Est,1293.4503332596332,1990-1994
1994,M,20-24,GBD_Est,2412.976893275065,1990-1994
1994,M,25-29,GBD_Est,4028.8855446338443,1990-1994
1994,M,30-34,GBD_Est,4363.451543202997,1990-1994
1994,M,35-39,GBD_Est,3965.807168705539,1990-1994
1994,M,40-44,GBD_Est,3789.594293308572,1990-1994
1994,M,45-49,GBD_Est,3474.7261993092766,1990-1994
1994,M,5-9,GBD_Est,1884.1481059269918,1990-1994
1994,M,50-54,GBD_Est,3036.0158416565014,1990-1994
1994,M,55-59,GBD_Est,2955.600325165331,1990-1994
1994,M,60-64,GBD_Est,3415.45921943397,1990-1994
1994,M,65-69,GBD_Est,3589.7148631120526,1990-1994
1994,M,70-74,GBD_Est,4098.06777175588,1990-1994
1994,M,75-79,GBD_Est,3687.7647935715627,1990-1994
1994,M,80-84,GBD_Est,2303.5208346118998,1990-1994
1994,M,85-89,GBD_Est,1074.3057575034538,1990-1994
1994,M,90-94,GBD_Est,354.54774881163723,1990-1994
1994,M,95+,GBD_Est,71.05873817299278,1990-1994
1995,F,1-4,GBD_Est,20921.06814032362,1995-1999
1995,F,10-14,GBD_Est,728.7472531822893,1995-1999
1995,F,15-19,GBD_Est,1310.1384376714739,1995-1999
1995,F,20-24,GBD_Est,2946.9906673327882,1995-1999
1995,F,25-29,GBD_Est,4865.314810940471,1995-1999
1995,F,30-34,GBD_Est,4480.799221308894,1995-1999
1995,F,35-39,GBD_Est,3851.686228814694,1995-1999
1995,F,40-44,GBD_Est,3155.2108186736805,1995-1999
1995,F,45-49,GBD_Est,2844.6585178882474,1995-1999
1995,F,5-9,GBD_Est,1638.6168163010907,1995-1999
1995,F,50-54,GBD_Est,2534.244512113752,1995-1999
1995,F,55-59,GBD_Est,2413.932659240816,1995-1999
1995,F,60-64,GBD_Est,3031.071394258586,1995-1999
1995,F,65-69,GBD_Est,3395.952874420555,1995-1999
1995,F,70-74,GBD_Est,3829.343171486287,1995-1999
1995,F,75-79,GBD_Est,3593.174596522786,1995-1999
1995,F,80-84,GBD_Est,2403.35927101747,1995-1999
1995,F,85-89,GBD_Est,1137.552332334411,1995-1999
1995,F,90-94,GBD_Est,379.4349695098731,1995-1999
1995,F,95+,GBD_Est,89.1551715424259,1995-1999
1995,M,1-4,GBD_Est,22880.033410105993,1995-1999
1995,M,10-14,GBD_Est,891.1560779611854,1995-1999
1995,M,15-19,GBD_Est,1276.9368724819383,1995-1999
1995,M,20-24,GBD_Est,2330.470170857949,1995-1999
1995,M,25-29,GBD_Est,4105.051882212558,1995-1999
1995,M,30-34,GBD_Est,4660.949656572386,1995-1999
1995,M,35-39,GBD_Est,4338.662795522898,1995-1999
1995,M,40-44,GBD_Est,4125.028155462497,1995-1999
1995,M,45-49,GBD_Est,3805.7911473861986,1995-1999
1995,M,5-9,GBD_Est,1875.496065111644,1995-1999
1995,M,50-54,GBD_Est,3280.8954215663407,1995-1999
1995,M,55-59,GBD_Est,3118.56705661871,1995-1999
1995,M,60-64,GBD_Est,3540.199934320782,1995-1999
1995,M,65-69,GBD_Est,3723.411067745965,1995-1999
1995,M,70-74,GBD_Est,4217.341803591641,1995-1999
1995,M,75-79,GBD_Est,3805.6731469120655,1995-1999
1995,M,80-84,GBD_Est,2365.0828694928655,1995-1999
1995,M,85-89,GBD_Est,1105.714763243731,1995-1999
1995,M,90-94,GBD_Est,356.47642876666555,1995-1999
1995,M,95+,GBD_Est,73.60525699598998,1995-1999
1996,F,1-4,GBD_Est,19576.58307084057,1995-1999
1996,F,10-14,GBD_Est,738.2103030641109,1995-1999
1996,F,15-19,GBD_Est,1314.8482287304605,1995-1999
1996,F,20-24,GBD_Est,3166.596284149945,1995-1999
1996,F,25-29,GBD_Est,5526.503698302958,1995-1999
1996,F,30-34,GBD_Est,5130.197187976254,1995-1999
1996,F,35-39,GBD_Est,4406.3918240273215,1995-1999
1996,F,40-44,GBD_Est,3575.038940902113,1995-1999
1996,F,45-49,GBD_Est,3175.2185798771584,1995-1999
1996,F,5-9,GBD_Est,1705.4636409815494,1995-1999
1996,F,50-54,GBD_Est,2797.466264681487,1995-1999
1996,F,55-59,GBD_Est,2542.8797454030246,1995-1999
1996,F,60-64,GBD_Est,3085.808731618757,1995-1999
1996,F,65-69,GBD_Est,3509.3914423401566,1995-1999
1996,F,70-74,GBD_Est,3912.6274126777294,1995-1999
1996,F,75-79,GBD_Est,3663.704938690264,1995-1999
1996,F,80-84,GBD_Est,2467.1241673953573,1995-1999
1996,F,85-89,GBD_Est,1181.002623384943,1995-1999
1996,F,90-94,GBD_Est,389.3981143003726,1995-1999
1996,F,95+,GBD_Est,94.35107359219427,1995-1999
1996,M,1-4,GBD_Est,21394.3432883295,1995-1999
1996,M,10-14,GBD_Est,903.6984062838729,1995-1999
1996,M,15-19,GBD_Est,1306.625731372741,1995-1999
1996,M,20-24,GBD_Est,2444.4424833463368,1995-1999
1996,M,25-29,GBD_Est,4525.422790605937,1995-1999
1996,M,30-34,GBD_Est,5201.119111965259,1995-1999
1996,M,35-39,GBD_Est,4854.765195599198,1995-1999
1996,M,40-44,GBD_Est,4542.704136619672,1995-1999
1996,M,45-49,GBD_Est,4207.711302631381,1995-1999
1996,M,5-9,GBD_Est,1927.1797433791385,1995-1999
1996,M,50-54,GBD_Est,3575.280816349284,1995-1999
1996,M,55-59,GBD_Est,3296.103593905789,1995-1999
1996,M,60-64,GBD_Est,3643.0234565401965,1995-1999
1996,M,65-69,GBD_Est,3873.2340549772075,1995-1999
1996,M,70-74,GBD_Est,4316.348094247698,1995-1999
1996,M,75-79,GBD_Est,3906.119655866177,1995-1999
1996,M,80-84,GBD_Est,2419.718035981634,1995-1999
1996,M,85-89,GBD_Est,1139.589720267072,1995-1999
1996,M,90-94,GBD_Est,359.39537442419453,1995-1999
1996,M,95+,GBD_Est,76.17327293897657,1995-1999
1997,F,1-4,GBD_Est,18244.725075960734,1995-1999
1997,F,10-14,GBD_Est,761.5551053162093,1995-1999
1997,F,15-19,GBD_Est,1290.347339093103,1995-1999
1997,F,20-24,GBD_Est,3349.013320854338,1995-1999
1997,F,25-29,GBD_Est,6115.953323941991,1995-1999
1997,F,30-34,GBD_Est,5753.429949284727,1995-1999
1997,F,35-39,GBD_Est,4958.080757903934,1995-1999
1997,F,40-44,GBD_Est,4007.511041972085,1995-1999
1997,F,45-49,GBD_Est,3481.818542989923,1995-1999
1997,F,5-9,GBD_Est,1774.5143183045643,1995-1999
1997,F,50-54,GBD_Est,3049.364388876486,1995-1999
1997,F,55-59,GBD_Est,2658.017373151714,1995-1999
1997,F,60-64,GBD_Est,3097.3987651044404,1995-1999
1997,F,65-69,GBD_Est,3599.777532202178,1995-1999
1997,F,70-74,GBD_Est,3950.40865513602,1995-1999
1997,F,75-79,GBD_Est,3699.0099388358985,1995-1999
1997,F,80-84,GBD_Est,2494.7131394731646,1995-1999
1997,F,85-89,GBD_Est,1237.9009436807023,1995-1999
1997,F,90-94,GBD_Est,400.6090418798119,1995-1999
1997,F,95+,GBD_Est,98.87643603337435,1995-1999
1997,M,1-4,GBD_Est,19921.26130313977,1995-1999
1997,M,10-14,GBD_Est,931.4551975439774,1995-1999
1997,M,15-19,GBD_Est,1320.1471220300648,1995-1999
1997,M,20-24,GBD_Est,2532.1472941152015,1995-1999
1997,M,25-29,GBD_Est,4868.416627017129,1995-1999
1997,M,30-34,GBD_Est,5713.185825335037,1995-1999
1997,M,35-39,GBD_Est,5342.679744056724,1995-1999
1997,M,40-44,GBD_Est,4957.947524786148,1995-1999
1997,M,45-49,GBD_Est,4553.380562203191,1995-1999
1997,M,5-9,GBD_Est,1984.6445511190213,1995-1999
1997,M,50-54,GBD_Est,3877.2099100045793,1995-1999
1997,M,55-59,GBD_Est,3464.075300680382,1995-1999
1997,M,60-64,GBD_Est,3732.0008594794817,1995-1999
1997,M,65-69,GBD_Est,4027.945525601166,1995-1999
1997,M,70-74,GBD_Est,4394.535065330414,1995-1999
1997,M,75-79,GBD_Est,3997.470227230583,1995-1999
1997,M,80-84,GBD_Est,2467.8159916918116,1995-1999
1997,M,85-89,GBD_Est,1175.6650898691455,1995-1999
1997,M,90-94,GBD_Est,366.6392000616541,1995-1999
1997,M,95+,GBD_Est,78.7011801947273,1995-1999
1998,F,1-4,GBD_Est,17481.136440466587,1995-1999
1998,F,10-14,GBD_Est,805.6969859545663,1995-1999
1998,F,15-19,GBD_Est,1258.7732081299196,1995-1999
1998,F,20-24,GBD_Est,3485.003958385743,1995-1999
1998,F,25-29,GBD_Est,6643.224240157249,1995-1999
1998,F,30-34,GBD_Est,6338.96475572182,1995-1999
1998,F,35-39,GBD_Est,5502.349075551149,1995-1999
1998,F,40-44,GBD_Est,4466.923869161379,1995-1999
1998,F,45-49,GBD_Est,3811.687758208188,1995-1999
1998,F,5-9,GBD_Est,1865.2021928809459,1995-1999
1998,F,50-54,GBD_Est,3288.0084595259887,1995-1999
1998,F,55-59,GBD_Est,2761.611112270411,1995-1999
1998,F,60-64,GBD_Est,3111.5717545793586,1995-1999
1998,F,65-69,GBD_Est,3733.85831639709,1995-1999
1998,F,70-74,GBD_Est,3981.842471338136,1995-1999
1998,F,75-79,GBD_Est,3729.191352945463,1995-1999
1998,F,80-84,GBD_Est,2575.866307056477,1995-1999
1998,F,85-89,GBD_Est,1274.1707727323596,1995-1999
1998,F,90-94,GBD_Est,410.11929912344505,1995-1999
1998,F,95+,GBD_Est,101.85690076797243,1995-1999
1998,M,1-4,GBD_Est,19066.079321409718,1995-1999
1998,M,10-14,GBD_Est,987.6317009461833,1995-1999
1998,M,15-19,GBD_Est,1340.627186670941,1995-1999
1998,M,20-24,GBD_Est,2614.520262907661,1995-1999
1998,M,25-29,GBD_Est,5165.573139439872,1995-1999
1998,M,30-34,GBD_Est,6187.766583087058,1995-1999
1998,M,35-39,GBD_Est,5801.910921166418,1995-1999
1998,M,40-44,GBD_Est,5368.643316710566,1995-1999
1998,M,45-49,GBD_Est,4894.944572518524,1995-1999
1998,M,5-9,GBD_Est,2074.639701529377,1995-1999
1998,M,50-54,GBD_Est,4171.511326984766,1995-1999
1998,M,55-59,GBD_Est,3631.907221052344,1995-1999
1998,M,60-64,GBD_Est,3825.6081183896154,1995-1999
1998,M,65-69,GBD_Est,4215.213730061658,1995-1999
1998,M,70-74,GBD_Est,4456.699373171451,1995-1999
1998,M,75-79,GBD_Est,4102.302732466792,1995-1999
1998,M,80-84,GBD_Est,2540.6828127171857,1995-1999
1998,M,85-89,GBD_Est,1203.9362961888332,1995-1999
1998,M,90-94,GBD_Est,376.1230457930542,1995-1999
1998,M,95+,GBD_Est,80.46902223240723,1995-1999
1999,F,1-4,GBD_Est,16842.760126836398,1995-1999
1999,F,10-14,GBD_Est,854.1622420557421,1995-1999
1999,F,15-19,GBD_Est,1221.8046562407344,1995-1999
1999,F,20-24,GBD_Est,3551.9025672241355,1995-1999
1999,F,25-29,GBD_Est,7017.473509437476,1995-1999
1999,F,30-34,GBD_Est,6884.333601113033,1995-1999
1999,F,35-39,GBD_Est,5983.44582580484,1995-1999
1999,F,40-44,GBD_Est,4876.050817223417,1995-1999
1999,F,45-49,GBD_Est,4024.7480048539715,1995-1999
1999,F,5-9,GBD_Est,1927.3980310865973,1995-1999
1999,F,50-54,GBD_Est,3465.3153134622853,1995-1999
1999,F,55-59,GBD_Est,2833.9700615458864,1995-1999
1999,F,60-64,GBD_Est,3091.55259735015,1995-1999
1999,F,65-69,GBD_Est,3717.8537024532748,1995-1999
1999,F,70-74,GBD_Est,3969.9749110808566,1995-1999
1999,F,75-79,GBD_Est,3724.637888376072,1995-1999
1999,F,80-84,GBD_Est,2589.5217281445916,1995-1999
1999,F,85-89,GBD_Est,1293.87415285948,1995-1999
1999,F,90-94,GBD_Est,418.5219469513075,1995-1999
1999,F,95+,GBD_Est,104.13730610896629,1995-1999
1999,M,1-4,GBD_Est,18389.80332108205,1995-1999
1999,M,10-14,GBD_Est,1041.815208379631,1995-1999
1999,M,15-19,GBD_Est,1339.6739838572703,1995-1999
1999,M,20-24,GBD_Est,2639.728028677986,1995-1999
1999,M,25-29,GBD_Est,5340.635202752122,1995-1999
1999,M,30-34,GBD_Est,6559.930813865144,1995-1999
1999,M,35-39,GBD_Est,6174.641291213004,1995-1999
1999,M,40-44,GBD_Est,5694.212620506386,1995-1999
1999,M,45-49,GBD_Est,5105.195941487642,1995-1999
1999,M,5-9,GBD_Est,2138.103153150118,1995-1999
1999,M,50-54,GBD_Est,4361.968464829561,1995-1999
1999,M,55-59,GBD_Est,3730.559510574395,1995-1999
1999,M,60-64,GBD_Est,3871.224239617301,1995-1999
1999,M,65-69,GBD_Est,4252.0546560322655,1995-1999
