,district,age_grp,sex,number
100,Mzimba,10-14,M,67437.65670124146
101,Likoma,10-14,M,959.5374130928615
102,Mzuzu City,10-14,M,14265.172059727394
103,Kasungu,10-14,M,61191.332915358274
104,Nkhotakota,10-14,M,28207.424652167385
105,Ntchisi,10-14,M,22735.968221428146
106,Dowa,10-14,M,55075.24728535575
107,Salima,10-14,M,33654.64045063615
108,Lilongwe,10-14,M,114032.12146437768
109,Mchinji,10-14,M,43561.10200645852
110,Dedza,10-14,M,56579.56267218294
111,Ntcheu,10-14,M,45936.414226328365
112,Lilongwe City,10-14,M,60831.005844430205
113,Mangochi,10-14,M,78274.6534727597
114,Machinga,10-14,M,52568.99756879574
115,Zomba,10-14,M,53779.708438459194
116,Chiradzulu,10-14,M,24442.809698073554
117,Blantyre,10-14,M,31391.188121093925
118,Mwanza,10-14,M,9071.433901748009
119,Thyolo,10-14,M,52349.25346244262
120,Mulanje,10-14,M,49369.830538205286
121,Phalombe,10-14,M,32152.088047502617
122,Chikwawa,10-14,M,38780.899069213934
123,Nsanje,10-14,M,20560.43794122366
124,Balaka,10-14,M,31750.162453037214
125,Neno,10-14,M,9915.225495513085
126,Zomba City,10-14,M,6736.674459352651
127,Blantyre City,10-14,M,49770.024022072714
128,Chitipa,15-19,M,13679.691342417007
129,Karonga,15-19,M,21562.927731571275
130,Nkhata Bay,15-19,M,17642.22763022471
131,Rumphi,15-19,M,13384.863288255856
132,Mzimba,15-19,M,53511.22105247484
133,Likoma,15-19,M,891.1406346802505
134,Mzuzu City,15-19,M,13112.604794099569
135,Kasungu,15-19,M,48294.56483932082
136,Nkhotakota,15-19,M,22672.17573147246
137,Ntchisi,15-19,M,17555.47266998666
138,Dowa,15-19,M,43596.85247531288
139,Salima,15-19,M,26453.979671618454
140,Lilongwe,15-19,M,90097.63099885624
141,Mchinji,15-19,M,33621.34193141349
142,Dedza,15-19,M,44624.146685418156
143,Ntcheu,15-19,M,36947.77062285478
144,Lilongwe City,15-19,M,55200.72033158196
145,Mangochi,15-19,M,61721.74130319142
146,Machinga,15-19,M,39325.99971445587
147,Zomba,15-19,M,41642.03649541196
148,Chiradzulu,15-19,M,20138.014837127845
149,Blantyre,15-19,M,26365.092682061964
150,Mwanza,15-19,M,7423.758363943214
151,Thyolo,15-19,M,41176.49428516777
152,Mulanje,15-19,M,39004.846478694126
153,Phalombe,15-19,M,24270.9654488299
154,Chikwawa,15-19,M,31703.258725233936
155,Nsanje,15-19,M,16755.597904856135
156,Balaka,15-19,M,24774.664794618355
157,Neno,15-19,M,7704.427808027999
158,Zomba City,15-19,M,6271.669421881101
159,Blantyre City,15-19,M,46555.69117191327
160,Chitipa,20-24,M,10702.140528759997
161,Karonga,20-24,M,16683.851945604172
162,Nkhata Bay,20-24,M,13391.235871027571
163,Rumphi,20-24,M,10574.966176618185
164,Mzimba,20-24,M,41914.100801545224
165,Likoma,20-24,M,766.7377985819509
166,Mzuzu City,20-24,M,12901.571351097293
167,Kasungu,20-24,M,39240.78811036914
168,Nkhotakota,20-24,M,18015.03995400392
169,Ntchisi,20-24,M,14508.610703033093
170,Dowa,20-24,M,35870.350894224335
171,Salima,20-24,M,20661.838154808444
172,Lilongwe,20-24,M,74676.0959853638
173,Mchinji,20-24,M,27901.00310972016
174,Dedza,20-24,M,36447.78807049146
175,Ntcheu,20-24,M,30095.636855526314
176,Lilongwe City,20-24,M,59288.11764265888
177,Mangochi,20-24,M,45315.5798612411
178,Machinga,20-24,M,28704.60799686717
179,Zomba,20-24,M,31244.664414161056
180,Chiradzulu,20-24,M,15391.044228371278
181,Blantyre,20-24,M,21169.540215415982
182,Mwanza,20-24,M,6395.174105949645
183,Thyolo,20-24,M,29847.869095274
184,Mulanje,20-24,M,28656.020578652173
185,Phalombe,20-24,M,17666.72931889626
186,Chikwawa,20-24,M,24917.373681563495
187,Nsanje,20-24,M,12257.74714541662
188,Balaka,20-24,M,17879.36721877645
189,Neno,20-24,M,6378.6310895141405
190,Zomba City,20-24,M,5846.9713749726225
191,Blantyre City,20-24,M,47188.83253026501
192,Chitipa,25-29,M,7691.478765744252
193,Karonga,25-29,M,11693.273735165521
194,Nkhata Bay,25-29,M,8693.85326734134
195,Rumphi,25-29,M,7478.475290298087
196,Mzimba,25-29,M,28840.551452694366
197,Likoma,25-29,M,593.7633372341159
