Variant,Period,Sex,Age_Grp,death_rate
WPP_Estimates,1970-1974,M,85-89,0.26541759
WPP_Estimates,1970-1974,M,90-94,0.40468727
WPP_Estimates,1970-1974,M,95-99,0.53561219
WPP_Estimates,1975-1979,M,0-0,0.18529558
WPP_Estimates,1975-1979,M,1-4,0.036021753
WPP_Estimates,1975-1979,M,5-9,0.0081347174
WPP_Estimates,1975-1979,M,10-14,0.0042664274
WPP_Estimates,1975-1979,M,15-19,0.0053539867
WPP_Estimates,1975-1979,M,20-24,0.007515346
WPP_Estimates,1975-1979,M,25-29,0.0078134831
WPP_Estimates,1975-1979,M,30-34,0.0083684028
WPP_Estimates,1975-1979,M,35-39,0.0093791484
WPP_Estimates,1975-1979,M,40-44,0.011083365
WPP_Estimates,1975-1979,M,45-49,0.012929347
WPP_Estimates,1975-1979,M,50-54,0.016498205
WPP_Estimates,1975-1979,M,55-59,0.020698037
WPP_Estimates,1975-1979,M,60-64,0.029311921
WPP_Estimates,1975-1979,M,65-69,0.043028319
WPP_Estimates,1975-1979,M,70-74,0.066842928
WPP_Estimates,1975-1979,M,75-79,0.10517028
WPP_Estimates,1975-1979,M,80-84,0.1686444
WPP_Estimates,1975-1979,M,85-89,0.26831358
WPP_Estimates,1975-1979,M,90-94,0.41270302
WPP_Estimates,1975-1979,M,95-99,0.55026276
WPP_Estimates,1980-1984,M,0-0,0.17493024
WPP_Estimates,1980-1984,M,1-4,0.031974432
WPP_Estimates,1980-1984,M,5-9,0.0072675015
WPP_Estimates,1980-1984,M,10-14,0.0038912781
WPP_Estimates,1980-1984,M,15-19,0.0049801786
WPP_Estimates,1980-1984,M,20-24,0.0070505002
WPP_Estimates,1980-1984,M,25-29,0.0074473032
WPP_Estimates,1980-1984,M,30-34,0.0080939768
WPP_Estimates,1980-1984,M,35-39,0.0091985485
WPP_Estimates,1980-1984,M,40-44,0.010923985
WPP_Estimates,1980-1984,M,45-49,0.012819944
WPP_Estimates,1980-1984,M,50-54,0.016427254
WPP_Estimates,1980-1984,M,55-59,0.020682944
WPP_Estimates,1980-1984,M,60-64,0.029370696
WPP_Estimates,1980-1984,M,65-69,0.04323805
WPP_Estimates,1980-1984,M,70-74,0.067282176
WPP_Estimates,1980-1984,M,75-79,0.1061355
WPP_Estimates,1980-1984,M,80-84,0.17081354
WPP_Estimates,1980-1984,M,85-89,0.27286813
WPP_Estimates,1980-1984,M,90-94,0.42145387
WPP_Estimates,1980-1984,M,95-99,0.56386552
WPP_Estimates,1985-1989,M,0-0,0.16468629
WPP_Estimates,1985-1989,M,1-4,0.029204373
WPP_Estimates,1985-1989,M,5-9,0.0068779725
WPP_Estimates,1985-1989,M,10-14,0.0038317599
WPP_Estimates,1985-1989,M,15-19,0.0048752154
WPP_Estimates,1985-1989,M,20-24,0.0070409756
WPP_Estimates,1985-1989,M,25-29,0.0079469043
WPP_Estimates,1985-1989,M,30-34,0.0090759235
WPP_Estimates,1985-1989,M,35-39,0.01076807
WPP_Estimates,1985-1989,M,40-44,0.012788446
WPP_Estimates,1985-1989,M,45-49,0.01488459
WPP_Estimates,1985-1989,M,50-54,0.018544657
WPP_Estimates,1985-1989,M,55-59,0.023022213
WPP_Estimates,1985-1989,M,60-64,0.031992271
