Variant,Period,Sex,Age_Grp,death_rate
WPP_Medium,2070-2074,M,40-44,0.0031461884
WPP_Medium,2070-2074,M,45-49,0.0043519684
WPP_Medium,2070-2074,M,50-54,0.0065301596
WPP_Medium,2070-2074,M,55-59,0.0090082095
WPP_Medium,2070-2074,M,60-64,0.013899486
WPP_Medium,2070-2074,M,65-69,0.021817676
WPP_Medium,2070-2074,M,70-74,0.034856308
WPP_Medium,2070-2074,M,75-79,0.057880823
WPP_Medium,2070-2074,M,80-84,0.098862921
WPP_Medium,2070-2074,M,85-89,0.1699721
WPP_Medium,2070-2074,M,90-94,0.28390597
WPP_Medium,2070-2074,M,95-99,0.42498226
WPP_Medium,2075-2079,M,0-0,0.0086739171
WPP_Medium,2075-2079,M,1-4,0.00057715524
WPP_Medium,2075-2079,M,5-9,0.00029381305
WPP_Medium,2075-2079,M,10-14,0.00025792058
WPP_Medium,2075-2079,M,15-19,0.0005665935
WPP_Medium,2075-2079,M,20-24,0.00091152494
WPP_Medium,2075-2079,M,25-29,0.0011410744
WPP_Medium,2075-2079,M,30-34,0.0015219645
WPP_Medium,2075-2079,M,35-39,0.0021140084
WPP_Medium,2075-2079,M,40-44,0.0028694553
WPP_Medium,2075-2079,M,45-49,0.0039683021
WPP_Medium,2075-2079,M,50-54,0.0059813802
WPP_Medium,2075-2079,M,55-59,0.0082351885
WPP_Medium,2075-2079,M,60-64,0.012746778
WPP_Medium,2075-2079,M,65-69,0.020082245
WPP_Medium,2075-2079,M,70-74,0.032180936
WPP_Medium,2075-2079,M,75-79,0.053762627
WPP_Medium,2075-2079,M,80-84,0.092423081
WPP_Medium,2075-2079,M,85-89,0.16018214
WPP_Medium,2075-2079,M,90-94,0.26971214
WPP_Medium,2075-2079,M,95-99,0.40834795
WPP_Medium,2080-2084,M,0-0,0.0081565282
WPP_Medium,2080-2084,M,1-4,0.00053096131
WPP_Medium,2080-2084,M,5-9,0.00027369729
WPP_Medium,2080-2084,M,10-14,0.00023889772
WPP_Medium,2080-2084,M,15-19,0.00053117685
WPP_Medium,2080-2084,M,20-24,0.00085124043
WPP_Medium,2080-2084,M,25-29,0.0010541747
WPP_Medium,2080-2084,M,30-34,0.0013957683
WPP_Medium,2080-2084,M,35-39,0.0019240696
WPP_Medium,2080-2084,M,40-44,0.0026088593
WPP_Medium,2080-2084,M,45-49,0.0036060289
WPP_Medium,2080-2084,M,50-54,0.0054579663
WPP_Medium,2080-2084,M,55-59,0.0074996254
WPP_Medium,2080-2084,M,60-64,0.011638604
WPP_Medium,2080-2084,M,65-69,0.018403825
WPP_Medium,2080-2084,M,70-74,0.02957836
WPP_Medium,2080-2084,M,75-79,0.049695337
WPP_Medium,2080-2084,M,80-84,0.085974953
WPP_Medium,2080-2084,M,85-89,0.15021097
WPP_Medium,2080-2084,M,90-94,0.25502368
WPP_Medium,2080-2084,M,95-99,0.39062743
WPP_Medium,2085-2089,M,0-0,0.0076821932
WPP_Medium,2085-2089,M,1-4,0.0004907225
WPP_Medium,2085-2089,M,5-9,0.00025536498
WPP_Medium,2085-2089,M,10-14,0.00022123687
WPP_Medium,2085-2089,M,15-19,0.00049703288
WPP_Medium,2085-2089,M,20-24,0.00079258891
WPP_Medium,2085-2089,M,25-29,0.00097015603
WPP_Medium,2085-2089,M,30-34,0.0012742783
WPP_Medium,2085-2089,M,35-39,0.0017428646
WPP_Medium,2085-2089,M,40-44,0.0023618475
WPP_Medium,2085-2089,M,45-49,0.0032648919
WPP_Medium,2085-2089,M,50-54,0.0049662997
WPP_Medium,2085-2089,M,55-59,0.0068123401
WPP_Medium,2085-2089,M,60-64,0.010602974
WPP_Medium,2085-2089,M,65-69,0.016833433
WPP_Medium,2085-2089,M,70-74,0.027133733
WPP_Medium,2085-2089,M,75-79,0.045843049
WPP_Medium,2085-2089,M,80-84,0.079807556
WPP_Medium,2085-2089,M,85-89,0.14055765
WPP_Medium,2085-2089,M,90-94,0.24062192
WPP_Medium,2085-2089,M,95-99,0.37293216
WPP_Medium,2090-2094,M,0-0,0.0072652027
WPP_Medium,2090-2094,M,1-4,0.00045799876
WPP_Medium,2090-2094,M,5-9,0.0002396898
WPP_Medium,2090-2094,M,10-14,0.00020553688
WPP_Medium,2090-2094,M,15-19,0.00046466976
WPP_Medium,2090-2094,M,20-24,0.00073683769
WPP_Medium,2090-2094,M,25-29,0.00089106305
WPP_Medium,2090-2094,M,30-34,0.0011601487
WPP_Medium,2090-2094,M,35-39,0.0015736479
WPP_Medium,2090-2094,M,40-44,0.0021313541
WPP_Medium,2090-2094,M,45-49,0.0029465261
WPP_Medium,2090-2094,M,50-54,0.0045030298
WPP_Medium,2090-2094,M,55-59,0.0061659966
WPP_Medium,2090-2094,M,60-64,0.0096209443
WPP_Medium,2090-2094,M,65-69,0.015340827
WPP_Medium,2090-2094,M,70-74,0.024810775
WPP_Medium,2090-2094,M,75-79,0.042158776
WPP_Medium,2090-2094,M,80-84,0.073855927
WPP_Medium,2090-2094,M,85-89,0.13110953
WPP_Medium,2090-2094,M,90-94,0.22629568
WPP_Medium,2090-2094,M,95-99,0.35487134
WPP_Medium,2095-2099,M,0-0,0.006915365
WPP_Medium,2095-2099,M,1-4,0.00043274385
WPP_Medium,2095-2099,M,5-9,0.00022700281
WPP_Medium,2095-2099,M,10-14,0.00019229068
WPP_Medium,2095-2099,M,15-19,0.00043579171
WPP_Medium,2095-2099,M,20-24,0.00068701648
WPP_Medium,2095-2099,M,25-29,0.00082079021
WPP_Medium,2095-2099,M,30-34,0.0010585211
WPP_Medium,2095-2099,M,35-39,0.0014229177
WPP_Medium,2095-2099,M,40-44,0.0019251172
WPP_Medium,2095-2099,M,45-49,0.0026604023
WPP_Medium,2095-2099,M,50-54,0.0040821986
WPP_Medium,2095-2099,M,55-59,0.0055793016
WPP_Medium,2095-2099,M,60-64,0.008723482
WPP_Medium,2095-2099,M,65-69,0.01397518
WPP_Medium,2095-2099,M,70-74,0.022687232
WPP_Medium,2095-2099,M,75-79,0.038770863
WPP_Medium,2095-2099,M,80-84,0.068329246
WPP_Medium,2095-2099,M,85-89,0.12219649
WPP_Medium,2095-2099,M,90-94,0.21251866
WPP_Medium,2095-2099,M,95-99,0.33702424
WPP_Estimates,1950-1954,F,0-0,0.18727147
WPP_Estimates,1950-1954,F,1-4,0.061847249
WPP_Estimates,1950-1954,F,5-9,0.020070483
WPP_Estimates,1950-1954,F,10-14,0.010722269
WPP_Estimates,1950-1954,F,15-19,0.009929697
WPP_Estimates,1950-1954,F,20-24,0.0094530922
WPP_Estimates,1950-1954,F,25-29,0.0094117274
WPP_Estimates,1950-1954,F,30-34,0.0099409542
WPP_Estimates,1950-1954,F,35-39,0.01050149
WPP_Estimates,1950-1954,F,40-44,0.011655653
WPP_Estimates,1950-1954,F,45-49,0.012301384
WPP_Estimates,1950-1954,F,50-54,0.015716688
WPP_Estimates,1950-1954,F,55-59,0.020813564
WPP_Estimates,1950-1954,F,60-64,0.031241997
WPP_Estimates,1950-1954,F,65-69,0.047116633
WPP_Estimates,1950-1954,F,70-74,0.072983808
WPP_Estimates,1950-1954,F,75-79,0.11024833
WPP_Estimates,1950-1954,F,80-84,0.16998893
WPP_Estimates,1950-1954,F,85-89,0.25295047
WPP_Estimates,1950-1954,F,90-94,0.36736516
WPP_Estimates,1950-1954,F,95-99,0.46813588
WPP_Estimates,1955-1959,F,0-0,0.18438117
WPP_Estimates,1955-1959,F,1-4,0.058316956
WPP_Estimates,1955-1959,F,5-9,0.018396698
WPP_Estimates,1955-1959,F,10-14,0.0098933278
WPP_Estimates,1955-1959,F,15-19,0.0092874888
WPP_Estimates,1955-1959,F,20-24,0.008945511
WPP_Estimates,1955-1959,F,25-29,0.0089621481
WPP_Estimates,1955-1959,F,30-34,0.0094995542
WPP_Estimates,1955-1959,F,35-39,0.01008379
WPP_Estimates,1955-1959,F,40-44,0.011255288
WPP_Estimates,1955-1959,F,45-49,0.011941593
WPP_Estimates,1955-1959,F,50-54,0.015327047
WPP_Estimates,1955-1959,F,55-59,0.020348519
WPP_Estimates,1955-1959,F,60-64,0.030645055
WPP_Estimates,1955-1959,F,65-69,0.046452461
WPP_Estimates,1955-1959,F,70-74,0.072317039
WPP_Estimates,1955-1959,F,75-79,0.10986245
WPP_Estimates,1955-1959,F,80-84,0.17043341
WPP_Estimates,1955-1959,F,85-89,0.25530697
WPP_Estimates,1955-1959,F,90-94,0.37357731
WPP_Estimates,1955-1959,F,95-99,0.47898285
WPP_Estimates,1960-1964,F,0-0,0.18036048
WPP_Estimates,1960-1964,F,1-4,0.054034124
WPP_Estimates,1960-1964,F,5-9,0.016494857
WPP_Estimates,1960-1964,F,10-14,0.0089449287
WPP_Estimates,1960-1964,F,15-19,0.0085430676
WPP_Estimates,1960-1964,F,20-24,0.0083500934
WPP_Estimates,1960-1964,F,25-29,0.0084306422
WPP_Estimates,1960-1964,F,30-34,0.0089756357
WPP_Estimates,1960-1964,F,35-39,0.0095859214
WPP_Estimates,1960-1964,F,40-44,0.010777455
WPP_Estimates,1960-1964,F,45-49,0.011512087
WPP_Estimates,1960-1964,F,50-54,0.014863825
WPP_Estimates,1960-1964,F,55-59,0.019798344
WPP_Estimates,1960-1964,F,60-64,0.029945253
WPP_Estimates,1960-1964,F,65-69,0.045690686
WPP_Estimates,1960-1964,F,70-74,0.071591122
WPP_Estimates,1960-1964,F,75-79,0.10955212
WPP_Estimates,1960-1964,F,80-84,0.17128357
WPP_Estimates,1960-1964,F,85-89,0.25876732
WPP_Estimates,1960-1964,F,90-94,0.38228542
WPP_Estimates,1960-1964,F,95-99,0.49401281
WPP_Estimates,1965-1969,F,0-0,0.17668103
WPP_Estimates,1965-1969,F,1-4,0.050470404
WPP_Estimates,1965-1969,F,5-9,0.014997386
WPP_Estimates,1965-1969,F,10-14,0.0081918367
WPP_Estimates,1965-1969,F,15-19,0.007941379
WPP_Estimates,1965-1969,F,20-24,0.0078610766
WPP_Estimates,1965-1969,F,25-29,0.0079900909
WPP_Estimates,1965-1969,F,30-34,0.008539037
WPP_Estimates,1965-1969,F,35-39,0.0091678838
WPP_Estimates,1965-1969,F,40-44,0.010372567
WPP_Estimates,1965-1969,F,45-49,0.011144696
WPP_Estimates,1965-1969,F,50-54,0.014463995
WPP_Estimates,1965-1969,F,55-59,0.019320857
WPP_Estimates,1965-1969,F,60-64,0.029332852
WPP_Estimates,1965-1969,F,65-69,0.045012214
WPP_Estimates,1965-1969,F,70-74,0.070923787
WPP_Estimates,1965-1969,F,75-79,0.10921662
WPP_Estimates,1965-1969,F,80-84,0.17191836
WPP_Estimates,1965-1969,F,85-89,0.26164396
WPP_Estimates,1965-1969,F,90-94,0.38975996
WPP_Estimates,1965-1969,F,95-99,0.50711512
WPP_Estimates,1970-1974,F,0-0,0.16883247
WPP_Estimates,1970-1974,F,1-4,0.043920637
WPP_Estimates,1970-1974,F,5-9,0.012414457
WPP_Estimates,1970-1974,F,10-14,0.0068778535
WPP_Estimates,1970-1974,F,15-19,0.0068651147
WPP_Estimates,1970-1974,F,20-24,0.0069675707
WPP_Estimates,1970-1974,F,25-29,0.0071766537
WPP_Estimates,1970-1974,F,30-34,0.0077276911
WPP_Estimates,1970-1974,F,35-39,0.0083831489
WPP_Estimates,1970-1974,F,40-44,0.0096009173
WPP_Estimates,1970-1974,F,45-49,0.010433521
WPP_Estimates,1970-1974,F,50-54,0.013676143
WPP_Estimates,1970-1974,F,55-59,0.018368371
WPP_Estimates,1970-1974,F,60-64,0.028087764
WPP_Estimates,1970-1974,F,65-69,0.043579046
WPP_Estimates,1970-1974,F,70-74,0.069413769
WPP_Estimates,1970-1974,F,75-79,0.10820654
WPP_Estimates,1970-1974,F,80-84,0.17258684
WPP_Estimates,1970-1974,F,85-89,0.26645385
WPP_Estimates,1970-1974,F,90-94,0.40338812
WPP_Estimates,1970-1974,F,95-99,0.53183771
WPP_Estimates,1975-1979,F,0-0,0.16100609
WPP_Estimates,1975-1979,F,1-4,0.038552108
WPP_Estimates,1975-1979,F,5-9,0.010425769
WPP_Estimates,1975-1979,F,10-14,0.0058492849
WPP_Estimates,1975-1979,F,15-19,0.0059931894
WPP_Estimates,1975-1979,F,20-24,0.0062207035
WPP_Estimates,1975-1979,F,25-29,0.0064847603
WPP_Estimates,1975-1979,F,30-34,0.0070303101
WPP_Estimates,1975-1979,F,35-39,0.0076979286
WPP_Estimates,1975-1979,F,40-44,0.0089125532
WPP_Estimates,1975-1979,F,45-49,0.0097843388
WPP_Estimates,1975-1979,F,50-54,0.012939567
WPP_Estimates,1975-1979,F,55-59,0.017464335
WPP_Estimates,1975-1979,F,60-64,0.026878379
WPP_Estimates,1975-1979,F,65-69,0.042117717
WPP_Estimates,1975-1979,F,70-74,0.067744178
WPP_Estimates,1975-1979,F,75-79,0.10677314
WPP_Estimates,1975-1979,F,80-84,0.1723346
WPP_Estimates,1975-1979,F,85-89,0.26952202
WPP_Estimates,1975-1979,F,90-94,0.41399835
WPP_Estimates,1975-1979,F,95-99,0.55234445
WPP_Estimates,1980-1984,F,0-0,0.15299983
WPP_Estimates,1980-1984,F,1-4,0.03370195
WPP_Estimates,1980-1984,F,5-9,0.0087333638
WPP_Estimates,1980-1984,F,10-14,0.0049665133
WPP_Estimates,1980-1984,F,15-19,0.0052333223
WPP_Estimates,1980-1984,F,20-24,0.005589024
WPP_Estimates,1980-1984,F,25-29,0.005940092
WPP_Estimates,1980-1984,F,30-34,0.0065037697
WPP_Estimates,1980-1984,F,35-39,0.0071996079
WPP_Estimates,1980-1984,F,40-44,0.0083979584
WPP_Estimates,1980-1984,F,45-49,0.0092936354
WPP_Estimates,1980-1984,F,50-54,0.012347608
WPP_Estimates,1980-1984,F,55-59,0.016696029
WPP_Estimates,1980-1984,F,60-64,0.025772718
WPP_Estimates,1980-1984,F,65-69,0.040675328
WPP_Estimates,1980-1984,F,70-74,0.065944762
WPP_Estimates,1980-1984,F,75-79,0.10495349
WPP_Estimates,1980-1984,F,80-84,0.17135374
WPP_Estimates,1980-1984,F,85-89,0.27143904
WPP_Estimates,1980-1984,F,90-94,0.4224208
WPP_Estimates,1980-1984,F,95-99,0.5693348
WPP_Estimates,1985-1989,F,0-0,0.14671938
WPP_Estimates,1985-1989,F,1-4,0.029725308
WPP_Estimates,1985-1989,F,5-9,0.0072117523
WPP_Estimates,1985-1989,F,10-14,0.0041839066
WPP_Estimates,1985-1989,F,15-19,0.0045982681
WPP_Estimates,1985-1989,F,20-24,0.0052622692
WPP_Estimates,1985-1989,F,25-29,0.0059827376
WPP_Estimates,1985-1989,F,30-34,0.0067516688
WPP_Estimates,1985-1989,F,35-39,0.0076412118
WPP_Estimates,1985-1989,F,40-44,0.0087939789
WPP_Estimates,1985-1989,F,45-49,0.0096855733
WPP_Estimates,1985-1989,F,50-54,0.012593044
WPP_Estimates,1985-1989,F,55-59,0.01673995
WPP_Estimates,1985-1989,F,60-64,0.025371243
WPP_Estimates,1985-1989,F,65-69,0.039675378
WPP_Estimates,1985-1989,F,70-74,0.064157586
WPP_Estimates,1985-1989,F,75-79,0.10240214
WPP_Estimates,1985-1989,F,80-84,0.16893546
WPP_Estimates,1985-1989,F,85-89,0.27125246
WPP_Estimates,1985-1989,F,90-94,0.42436438
WPP_Estimates,1985-1989,F,95-99,0.57219112
WPP_Estimates,1990-1994,F,0-0,0.13374446
WPP_Estimates,1990-1994,F,1-4,0.023308041
WPP_Estimates,1990-1994,F,5-9,0.005042769
WPP_Estimates,1990-1994,F,10-14,0.0030896576
WPP_Estimates,1990-1994,F,15-19,0.0037656162
WPP_Estimates,1990-1994,F,20-24,0.0052589159
WPP_Estimates,1990-1994,F,25-29,0.0073630633
WPP_Estimates,1990-1994,F,30-34,0.0090996461
WPP_Estimates,1990-1994,F,35-39,0.010934417
WPP_Estimates,1990-1994,F,40-44,0.011826641
WPP_Estimates,1990-1994,F,45-49,0.012622577
WPP_Estimates,1990-1994,F,50-54,0.015030475
WPP_Estimates,1990-1994,F,55-59,0.018683345
WPP_Estimates,1990-1994,F,60-64,0.026273392
WPP_Estimates,1990-1994,F,65-69,0.039106251
WPP_Estimates,1990-1994,F,70-74,0.061533919
WPP_Estimates,1990-1994,F,75-79,0.0971756
WPP_Estimates,1990-1994,F,80-84,0.16243236
WPP_Estimates,1990-1994,F,85-89,0.26673008
WPP_Estimates,1990-1994,F,90-94,0.41425095
WPP_Estimates,1990-1994,F,95-99,0.54835101
WPP_Estimates,1995-1999,F,0-0,0.11205418
WPP_Estimates,1995-1999,F,1-4,0.017359777
WPP_Estimates,1995-1999,F,5-9,0.0036570489
WPP_Estimates,1995-1999,F,10-14,0.0024120625
WPP_Estimates,1995-1999,F,15-19,0.0032919597
WPP_Estimates,1995-1999,F,20-24,0.0057735965
WPP_Estimates,1995-1999,F,25-29,0.010298383
WPP_Estimates,1995-1999,F,30-34,0.01411732
WPP_Estimates,1995-1999,F,35-39,0.018117961
WPP_Estimates,1995-1999,F,40-44,0.018074164
WPP_Estimates,1995-1999,F,45-49,0.018478466
WPP_Estimates,1995-1999,F,50-54,0.019634465
WPP_Estimates,1995-1999,F,55-59,0.022344019
WPP_Estimates,1995-1999,F,60-64,0.028399845
WPP_Estimates,1995-1999,F,65-69,0.039318082
WPP_Estimates,1995-1999,F,70-74,0.059041335
WPP_Estimates,1995-1999,F,75-79,0.09076237
WPP_Estimates,1995-1999,F,80-84,0.15178101
WPP_Estimates,1995-1999,F,85-89,0.25221578
WPP_Estimates,1995-1999,F,90-94,0.38257335
WPP_Estimates,1995-1999,F,95-99,0.4901494
WPP_Estimates,2000-2004,F,0-0,0.090625468
WPP_Estimates,2000-2004,F,1-4,0.013289673
WPP_Estimates,2000-2004,F,5-9,0.0031461547
WPP_Estimates,2000-2004,F,10-14,0.0021808964
WPP_Estimates,2000-2004,F,15-19,0.0031619115
WPP_Estimates,2000-2004,F,20-24,0.006196487
WPP_Estimates,2000-2004,F,25-29,0.01238309
WPP_Estimates,2000-2004,F,30-34,0.017809528
WPP_Estimates,2000-2004,F,35-39,0.023587472
WPP_Estimates,2000-2004,F,40-44,0.02270285
WPP_Estimates,2000-2004,F,45-49,0.022801781
WPP_Estimates,2000-2004,F,50-54,0.022949067
WPP_Estimates,2000-2004,F,55-59,0.024981065
WPP_Estimates,2000-2004,F,60-64,0.030132411
WPP_Estimates,2000-2004,F,65-69,0.040144626
WPP_Estimates,2000-2004,F,70-74,0.058658311
WPP_Estimates,2000-2004,F,75-79,0.088615341
WPP_Estimates,2000-2004,F,80-84,0.14743016
WPP_Estimates,2000-2004,F,85-89,0.24524587
WPP_Estimates,2000-2004,F,90-94,0.36678016
WPP_Estimates,2000-2004,F,95-99,0.46228505
WPP_Estimates,2005-2009,F,0-0,0.067802304
WPP_Estimates,2005-2009,F,1-4,0.0086206856
WPP_Estimates,2005-2009,F,5-9,0.002542725
WPP_Estimates,2005-2009,F,10-14,0.0017825416
WPP_Estimates,2005-2009,F,15-19,0.0026105977
WPP_Estimates,2005-2009,F,20-24,0.004744512
WPP_Estimates,2005-2009,F,25-29,0.0084269683
WPP_Estimates,2005-2009,F,30-34,0.011561149
WPP_Estimates,2005-2009,F,35-39,0.015078739
WPP_Estimates,2005-2009,F,40-44,0.015747483
WPP_Estimates,2005-2009,F,45-49,0.016741019
WPP_Estimates,2005-2009,F,50-54,0.018476152
WPP_Estimates,2005-2009,F,55-59,0.021408862
WPP_Estimates,2005-2009,F,60-64,0.027737269
WPP_Estimates,2005-2009,F,65-69,0.039378338
WPP_Estimates,2005-2009,F,70-74,0.060238926
WPP_Estimates,2005-2009,F,75-79,0.094509679
WPP_Estimates,2005-2009,F,80-84,0.16078189
WPP_Estimates,2005-2009,F,85-89,0.27266852
WPP_Estimates,2005-2009,F,90-94,0.42768862
WPP_Estimates,2005-2009,F,95-99,0.56639891
WPP_Estimates,2010-2014,F,0-0,0.050190222
WPP_Estimates,2010-2014,F,1-4,0.0052925134
WPP_Estimates,2010-2014,F,5-9,0.0016368929
WPP_Estimates,2010-2014,F,10-14,0.0011672384
WPP_Estimates,2010-2014,F,15-19,0.0017199184
WPP_Estimates,2010-2014,F,20-24,0.0027561044
WPP_Estimates,2010-2014,F,25-29,0.004054861
WPP_Estimates,2010-2014,F,30-34,0.0051529601
WPP_Estimates,2010-2014,F,35-39,0.0065357502
WPP_Estimates,2010-2014,F,40-44,0.0077129115
WPP_Estimates,2010-2014,F,45-49,0.0089200545
WPP_Estimates,2010-2014,F,50-54,0.011306488
WPP_Estimates,2010-2014,F,55-59,0.014384929
WPP_Estimates,2010-2014,F,60-64,0.020721589
WPP_Estimates,2010-2014,F,65-69,0.03226221
WPP_Estimates,2010-2014,F,70-74,0.052645726
WPP_Estimates,2010-2014,F,75-79,0.086981393
WPP_Estimates,2010-2014,F,80-84,0.15203614
WPP_Estimates,2010-2014,F,85-89,0.26363942
WPP_Estimates,2010-2014,F,90-94,0.4417201
WPP_Estimates,2010-2014,F,95-99,0.62788756
WPP_Estimates,2015-2019,F,0-0,0.038184031
WPP_Estimates,2015-2019,F,1-4,0.0034841025
WPP_Estimates,2015-2019,F,5-9,0.0010353794
WPP_Estimates,2015-2019,F,10-14,0.00079101013
WPP_Estimates,2015-2019,F,15-19,0.0012397557
WPP_Estimates,2015-2019,F,20-24,0.00204117
WPP_Estimates,2015-2019,F,25-29,0.0029736514
WPP_Estimates,2015-2019,F,30-34,0.0037661158
WPP_Estimates,2015-2019,F,35-39,0.0048303699
WPP_Estimates,2015-2019,F,40-44,0.0059324975
WPP_Estimates,2015-2019,F,45-49,0.0071004028
WPP_Estimates,2015-2019,F,50-54,0.0092742213
WPP_Estimates,2015-2019,F,55-59,0.011927001
WPP_Estimates,2015-2019,F,60-64,0.017331297
WPP_Estimates,2015-2019,F,65-69,0.027341452
WPP_Estimates,2015-2019,F,70-74,0.044882515
WPP_Estimates,2015-2019,F,75-79,0.074731232
WPP_Estimates,2015-2019,F,80-84,0.13109948
WPP_Estimates,2015-2019,F,85-89,0.22896269
WPP_Estimates,2015-2019,F,90-94,0.39150638
WPP_Estimates,2015-2019,F,95-99,0.56987314
WPP_Medium,2020-2024,F,0-0,0.029126477
WPP_Medium,2020-2024,F,1-4,0.0026462784
WPP_Medium,2020-2024,F,5-9,0.00078551082
WPP_Medium,2020-2024,F,10-14,0.00060126421
WPP_Medium,2020-2024,F,15-19,0.00094653443
WPP_Medium,2020-2024,F,20-24,0.0015711305
WPP_Medium,2020-2024,F,25-29,0.0023214439
WPP_Medium,2020-2024,F,30-34,0.0030030503
WPP_Medium,2020-2024,F,35-39,0.0039589237
WPP_Medium,2020-2024,F,40-44,0.005015851
WPP_Medium,2020-2024,F,45-49,0.0061944383
WPP_Medium,2020-2024,F,50-54,0.0083254146
WPP_Medium,2020-2024,F,55-59,0.010965056
WPP_Medium,2020-2024,F,60-64,0.016226757
WPP_Medium,2020-2024,F,65-69,0.025936668
WPP_Medium,2020-2024,F,70-74,0.042981584
WPP_Medium,2020-2024,F,75-79,0.072097634
WPP_Medium,2020-2024,F,80-84,0.12728128
WPP_Medium,2020-2024,F,85-89,0.22353672
WPP_Medium,2020-2024,F,90-94,0.38411205
WPP_Medium,2020-2024,F,95-99,0.56153847
WPP_Medium,2025-2029,F,0-0,0.021971361
WPP_Medium,2025-2029,F,1-4,0.002013332
WPP_Medium,2025-2029,F,5-9,0.00060883566
WPP_Medium,2025-2029,F,10-14,0.00047006312
WPP_Medium,2025-2029,F,15-19,0.00074506642
WPP_Medium,2025-2029,F,20-24,0.0012385314
WPP_Medium,2025-2029,F,25-29,0.0018400761
WPP_Medium,2025-2029,F,30-34,0.0024149383
WPP_Medium,2025-2029,F,35-39,0.0032531029
WPP_Medium,2025-2029,F,40-44,0.004248739
WPP_Medium,2025-2029,F,45-49,0.0053963065
WPP_Medium,2025-2029,F,50-54,0.0074553808
WPP_Medium,2025-2029,F,55-59,0.01002807
WPP_Medium,2025-2029,F,60-64,0.015099892
WPP_Medium,2025-2029,F,65-69,0.024424184
WPP_Medium,2025-2029,F,70-74,0.040810027
WPP_Medium,2025-2029,F,75-79,0.068880966
WPP_Medium,2025-2029,F,80-84,0.12211159
WPP_Medium,2025-2029,F,85-89,0.21507462
WPP_Medium,2025-2029,F,90-94,0.37030776
WPP_Medium,2025-2029,F,95-99,0.5438623
WPP_Medium,2030-2034,F,0-0,0.016567401
WPP_Medium,2030-2034,F,1-4,0.0015197045
WPP_Medium,2030-2034,F,5-9,0.00047171167
WPP_Medium,2030-2034,F,10-14,0.00037217227
WPP_Medium,2030-2034,F,15-19,0.00059921676
WPP_Medium,2030-2034,F,20-24,0.00099994637
WPP_Medium,2030-2034,F,25-29,0.001491167
WPP_Medium,2030-2034,F,30-34,0.0019788639
WPP_Medium,2030-2034,F,35-39,0.0027145684
WPP_Medium,2030-2034,F,40-44,0.0036450945
WPP_Medium,2030-2034,F,45-49,0.0047444488
WPP_Medium,2030-2034,F,50-54,0.0067151598
WPP_Medium,2030-2034,F,55-59,0.0091884557
WPP_Medium,2030-2034,F,60-64,0.014036327
WPP_Medium,2030-2034,F,65-69,0.022927569
WPP_Medium,2030-2034,F,70-74,0.038569396
WPP_Medium,2030-2034,F,75-79,0.065450855
WPP_Medium,2030-2034,F,80-84,0.11647574
WPP_Medium,2030-2034,F,85-89,0.20574993
WPP_Medium,2030-2034,F,90-94,0.35508107
WPP_Medium,2030-2034,F,95-99,0.52426588
WPP_Medium,2035-2039,F,0-0,0.012639452
WPP_Medium,2035-2039,F,1-4,0.0011628967
WPP_Medium,2035-2039,F,5-9,0.00037402061
WPP_Medium,2035-2039,F,10-14,0.00030331792
WPP_Medium,2035-2039,F,15-19,0.00049784125
WPP_Medium,2035-2039,F,20-24,0.00083510134
WPP_Medium,2035-2039,F,25-29,0.0012481546
WPP_Medium,2035-2039,F,30-34,0.0016682524
WPP_Medium,2035-2039,F,35-39,0.0023172681
WPP_Medium,2035-2039,F,40-44,0.0031788244
WPP_Medium,2035-2039,F,45-49,0.0042137797
WPP_Medium,2035-2039,F,50-54,0.0060760917
WPP_Medium,2035-2039,F,55-59,0.0084173462
WPP_Medium,2035-2039,F,60-64,0.012999385
WPP_Medium,2035-2039,F,65-69,0.021393644
WPP_Medium,2035-2039,F,70-74,0.036175207
WPP_Medium,2035-2039,F,75-79,0.061656249
WPP_Medium,2035-2039,F,80-84,0.11009497
WPP_Medium,2035-2039,F,85-89,0.19507996
WPP_Medium,2035-2039,F,90-94,0.33768884
WPP_Medium,2035-2039,F,95-99,0.50177666
WPP_Medium,2040-2044,F,0-0,0.010038087
WPP_Medium,2040-2044,F,1-4,0.00091901513
WPP_Medium,2040-2044,F,5-9,0.00030666755
WPP_Medium,2040-2044,F,10-14,0.0002557203
WPP_Medium,2040-2044,F,15-19,0.00042773007
WPP_Medium,2040-2044,F,20-24,0.00072097834
WPP_Medium,2040-2044,F,25-29,0.0010781621
WPP_Medium,2040-2044,F,30-34,0.0014457458
WPP_Medium,2040-2044,F,35-39,0.0020216419
WPP_Medium,2040-2044,F,40-44,0.0028137512
WPP_Medium,2040-2044,F,45-49,0.0037724418
WPP_Medium,2040-2044,F,50-54,0.0055083704
WPP_Medium,2040-2044,F,55-59,0.0076867371
WPP_Medium,2040-2044,F,60-64,0.011961552
WPP_Medium,2040-2044,F,65-69,0.019799335
WPP_Medium,2040-2044,F,70-74,0.033632325
WPP_Medium,2040-2044,F,75-79,0.057591449
WPP_Medium,2040-2044,F,80-84,0.10328467
WPP_Medium,2040-2044,F,85-89,0.18382921
WPP_Medium,2040-2044,F,90-94,0.31967428
WPP_Medium,2040-2044,F,95-99,0.47884049
WPP_Medium,2045-2049,F,0-0,0.0084092458
WPP_Medium,2045-2049,F,1-4,0.00076663525
