Variant,Period,Age_Grp,asfr
WPP_High variant,2030-2034,20-24,0.19853700000000002
WPP_High variant,2035-2039,20-24,0.18865700000000002
WPP_High variant,2040-2044,20-24,0.179729
WPP_High variant,2045-2049,20-24,0.171117
WPP_High variant,2050-2054,20-24,0.163555
WPP_High variant,2055-2059,20-24,0.156008
WPP_High variant,2060-2064,20-24,0.149121
WPP_High variant,2065-2069,20-24,0.142202
WPP_High variant,2070-2074,20-24,0.135321
WPP_High variant,2075-2079,20-24,0.12853
WPP_High variant,2080-2084,20-24,0.12190000000000001
WPP_High variant,2085-2089,20-24,0.115327
WPP_High variant,2090-2094,20-24,0.10878199999999999
WPP_High variant,2095-2099,20-24,0.10239100000000001
WPP_Estimates,1950-1954,25-29,0.27924400000000005
WPP_Estimates,1955-1959,25-29,0.281282
WPP_Estimates,1960-1964,25-29,0.285509
WPP_Estimates,1965-1969,25-29,0.29366699999999996
WPP_Estimates,1970-1974,25-29,0.301743
WPP_Estimates,1975-1979,25-29,0.309819
WPP_Estimates,1980-1984,25-29,0.309819
WPP_Estimates,1985-1989,25-29,0.29555000000000003
WPP_Estimates,1990-1994,25-29,0.264137
WPP_Estimates,1995-1999,25-29,0.26592
WPP_Estimates,2000-2004,25-29,0.25734300000000004
WPP_Estimates,2005-2009,25-29,0.23906899999999998
WPP_Estimates,2010-2014,25-29,0.21268
WPP_Estimates,2015-2019,25-29,0.186024
WPP_Low variant,2020-2024,25-29,0.163305
WPP_Low variant,2025-2029,25-29,0.145777
WPP_Low variant,2030-2034,25-29,0.131736
WPP_Low variant,2035-2039,25-29,0.123972
WPP_Low variant,2040-2044,25-29,0.117482
WPP_Low variant,2045-2049,25-29,0.11163500000000001
WPP_Low variant,2050-2054,25-29,0.10707599999999999
WPP_Low variant,2055-2059,25-29,0.102806
WPP_Low variant,2060-2064,25-29,0.099427
WPP_Low variant,2065-2069,25-29,0.096248
WPP_Low variant,2070-2074,25-29,0.09331300000000001
WPP_Low variant,2075-2079,25-29,0.09066500000000001
WPP_Low variant,2080-2084,25-29,0.08838299999999999
WPP_Low variant,2085-2089,25-29,0.086346
WPP_Low variant,2090-2094,25-29,0.084525
WPP_Low variant,2095-2099,25-29,0.08308199999999999
WPP_Medium variant,2020-2024,25-29,0.17444900000000002
WPP_Medium variant,2025-2029,25-29,0.163898
WPP_Medium variant,2030-2034,25-29,0.154729
WPP_Medium variant,2035-2039,25-29,0.147304
WPP_Medium variant,2040-2044,25-29,0.14116499999999998
WPP_Medium variant,2045-2049,25-29,0.13568799999999998
WPP_Medium variant,2050-2054,25-29,0.131526
WPP_Medium variant,2055-2059,25-29,0.12768300000000002
WPP_Medium variant,2060-2064,25-29,0.12476000000000001
WPP_Medium variant,2065-2069,25-29,0.122067
WPP_Medium variant,2070-2074,25-29,0.11963700000000001
WPP_Medium variant,2075-2079,25-29,0.117508
WPP_Medium variant,2080-2084,25-29,0.115746
WPP_Medium variant,2085-2089,25-29,0.114216
WPP_Medium variant,2090-2094,25-29,0.112871
WPP_Medium variant,2095-2099,25-29,0.111856
WPP_High variant,2020-2024,25-29,0.18559299999999998
WPP_High variant,2025-2029,25-29,0.18201900000000001
WPP_High variant,2030-2034,25-29,0.17772200000000002
WPP_High variant,2035-2039,25-29,0.170637
WPP_High variant,2040-2044,25-29,0.16484800000000002
WPP_High variant,2045-2049,25-29,0.15974100000000002
WPP_High variant,2050-2054,25-29,0.155976
WPP_High variant,2055-2059,25-29,0.15256
WPP_High variant,2060-2064,25-29,0.15009299999999998
WPP_High variant,2065-2069,25-29,0.147884
WPP_High variant,2070-2074,25-29,0.145961
WPP_High variant,2075-2079,25-29,0.144351
WPP_High variant,2080-2084,25-29,0.14310900000000001
WPP_High variant,2085-2089,25-29,0.14208600000000002
WPP_High variant,2090-2094,25-29,0.141217
WPP_High variant,2095-2099,25-29,0.14063
WPP_Estimates,1950-1954,30-34,0.246708
WPP_Estimates,1955-1959,30-34,0.248508
WPP_Estimates,1960-1964,30-34,0.252243
WPP_Estimates,1965-1969,30-34,0.25945
WPP_Estimates,1970-1974,30-34,0.266584
WPP_Estimates,1975-1979,30-34,0.273719
WPP_Estimates,1980-1984,30-34,0.273719
WPP_Estimates,1985-1989,30-34,0.261113
WPP_Estimates,1990-1994,30-34,0.23752500000000001
WPP_Estimates,1995-1999,30-34,0.211001
WPP_Estimates,2000-2004,30-34,0.204194
WPP_Estimates,2005-2009,30-34,0.20525100000000002
WPP_Estimates,2010-2014,30-34,0.17371799999999998
WPP_Estimates,2015-2019,30-34,0.154158
WPP_Low variant,2020-2024,30-34,0.133191
WPP_Low variant,2025-2029,30-34,0.117389
WPP_Low variant,2030-2034,30-34,0.105078
WPP_Low variant,2035-2039,30-34,0.098261
WPP_Low variant,2040-2044,30-34,0.092833
WPP_Low variant,2045-2049,30-34,0.08821999999999999
WPP_Low variant,2050-2054,30-34,0.084895
WPP_Low variant,2055-2059,30-34,0.082028
WPP_Low variant,2060-2064,30-34,0.080081
WPP_Low variant,2065-2069,30-34,0.078485
WPP_Low variant,2070-2074,30-34,0.077266
WPP_Low variant,2075-2079,30-34,0.076442
WPP_Low variant,2080-2084,30-34,0.076083
WPP_Low variant,2085-2089,30-34,0.076083
WPP_Low variant,2090-2094,30-34,0.076417
WPP_Low variant,2095-2099,30-34,0.077247
WPP_Medium variant,2020-2024,30-34,0.14228100000000002
WPP_Medium variant,2025-2029,30-34,0.131981
