Variant,Year,Sex,Age_Grp,Count,Period
WPP_Low variant,2035,M,5-9,1578507.0,2035-2039
WPP_Low variant,2040,M,5-9,1609085.0,2040-2044
WPP_Low variant,2045,M,5-9,1656832.0,2045-2049
WPP_Low variant,2050,M,5-9,1672732.0,2050-2054
WPP_Low variant,2055,M,5-9,1656998.0,2055-2059
WPP_Low variant,2060,M,5-9,1631833.0,2060-2064
WPP_Low variant,2065,M,5-9,1591679.0,2065-2069
WPP_Low variant,2070,M,5-9,1547050.0,2070-2074
WPP_Low variant,2075,M,5-9,1487817.0,2075-2079
WPP_Low variant,2080,M,5-9,1416961.0,2080-2084
WPP_Low variant,2085,M,5-9,1338176.0,2085-2089
WPP_Low variant,2090,M,5-9,1257138.0,2090-2094
WPP_Low variant,2095,M,5-9,1175703.0,2095-2099
WPP_Low variant,2100,M,5-9,1095486.0,2100+
WPP_Medium variant,2020,M,5-9,1381621.0,2020-2024
WPP_Medium variant,2025,M,5-9,1461152.0,2025-2029
WPP_Medium variant,2030,M,5-9,1623805.0,2030-2034
WPP_Medium variant,2035,M,5-9,1774835.0,2035-2039
WPP_Medium variant,2040,M,5-9,1890088.0,2040-2044
WPP_Medium variant,2045,M,5-9,1983335.0,2045-2049
WPP_Medium variant,2050,M,5-9,2069585.9999999998,2050-2054
WPP_Medium variant,2055,M,5-9,2144758.0,2055-2059
WPP_Medium variant,2060,M,5-9,2218533.0,2060-2064
WPP_Medium variant,2065,M,5-9,2271703.0,2065-2069
WPP_Medium variant,2070,M,5-9,2311137.0,2070-2074
WPP_Medium variant,2075,M,5-9,2326968.0,2075-2079
WPP_Medium variant,2080,M,5-9,2326352.0,2080-2084
WPP_Medium variant,2085,M,5-9,2314488.0,2085-2089
WPP_Medium variant,2090,M,5-9,2294882.0,2090-2094
WPP_Medium variant,2095,M,5-9,2265794.0,2095-2099
WPP_Medium variant,2100,M,5-9,2227727.0,2100+
WPP_High variant,2020,M,5-9,1381621.0,2020-2024
WPP_High variant,2025,M,5-9,1461153.0,2025-2029
WPP_High variant,2030,M,5-9,1727599.0,2030-2034
WPP_High variant,2035,M,5-9,1971164.0,2035-2039
WPP_High variant,2040,M,5-9,2171093.0,2040-2044
WPP_High variant,2045,M,5-9,2314430.0,2045-2049
WPP_High variant,2050,M,5-9,2486393.0,2050-2054
WPP_High variant,2055,M,5-9,2678799.0,2055-2059
WPP_High variant,2060,M,5-9,2885407.0,2060-2064
WPP_High variant,2065,M,5-9,3070706.0,2065-2069
WPP_High variant,2070,M,5-9,3238975.0,2070-2074
WPP_High variant,2075,M,5-9,3383444.0,2075-2079
WPP_High variant,2080,M,5-9,3517649.0,2080-2084
WPP_High variant,2085,M,5-9,3647822.0,2085-2089
WPP_High variant,2090,M,5-9,3772235.0,2090-2094
WPP_High variant,2095,M,5-9,3882553.0,2095-2099
WPP_High variant,2100,M,5-9,3977193.0,2100+
WPP_Estimates,1950,F,5-9,219802.0,1950-1954
WPP_Estimates,1955,F,5-9,243275.0,1955-1959
WPP_Estimates,1960,F,5-9,242763.0,1960-1964
WPP_Estimates,1965,F,5-9,282163.0,1965-1969
WPP_Estimates,1970,F,5-9,329835.0,1970-1974
WPP_Estimates,1975,F,5-9,388614.0,1975-1979
WPP_Estimates,1980,F,5-9,456233.0,1980-1984
WPP_Estimates,1985,F,5-9,540939.0,1985-1989
WPP_Estimates,1990,F,5-9,666811.0,1990-1994
WPP_Estimates,1995,F,5-9,742338.0,1995-1999
WPP_Estimates,2000,F,5-9,840585.0,2000-2004
WPP_Estimates,2005,F,5-9,959105.0,2005-2009
WPP_Estimates,2010,F,5-9,1104866.0,2010-2014
WPP_Estimates,2015,F,5-9,1282700.0,2015-2019
WPP_Estimates,2020,F,5-9,1356955.0,2020-2024
WPP_Low variant,2020,F,5-9,1356955.0,2020-2024
WPP_Low variant,2025,F,5-9,1434871.0,2025-2029
WPP_Low variant,2030,F,5-9,1492875.0,2030-2034
WPP_Low variant,2035,F,5-9,1550642.0,2035-2039
WPP_Low variant,2040,F,5-9,1580475.0,2040-2044
WPP_Low variant,2045,F,5-9,1626675.0,2045-2049
WPP_Low variant,2050,F,5-9,1641007.0,2050-2054
WPP_Low variant,2055,F,5-9,1623747.0,2055-2059
WPP_Low variant,2060,F,5-9,1597260.0,2060-2064
WPP_Low variant,2065,F,5-9,1556182.0,2065-2069
WPP_Low variant,2070,F,5-9,1510907.0,2070-2074
WPP_Low variant,2075,F,5-9,1451718.0,2075-2079
WPP_Low variant,2080,F,5-9,1381435.0,2080-2084
WPP_Low variant,2085,F,5-9,1303743.0,2085-2089
WPP_Low variant,2090,F,5-9,1224122.0,2090-2094
WPP_Low variant,2095,F,5-9,1144257.0,2095-2099
WPP_Low variant,2100,F,5-9,1065743.0,2100+
WPP_Medium variant,2020,F,5-9,1356955.0,2020-2024
WPP_Medium variant,2025,F,5-9,1434870.0,2025-2029
WPP_Medium variant,2030,F,5-9,1594817.0,2030-2034
WPP_Medium variant,2035,F,5-9,1743507.0,2035-2039
WPP_Medium variant,2040,F,5-9,1856485.0,2040-2044
WPP_Medium variant,2045,F,5-9,1947237.0,2045-2049
WPP_Medium variant,2050,F,5-9,2030336.0,2050-2054
WPP_Medium variant,2055,F,5-9,2101724.0,2055-2059
WPP_Medium variant,2060,F,5-9,2171535.0,2060-2064
WPP_Medium variant,2065,F,5-9,2221046.0,2065-2069
WPP_Medium variant,2070,F,5-9,2257152.0,2070-2074
WPP_Medium variant,2075,F,5-9,2270521.0,2075-2079
WPP_Medium variant,2080,F,5-9,2268041.0,2080-2084
WPP_Medium variant,2085,F,5-9,2254947.0,2085-2089
WPP_Medium variant,2090,F,5-9,2234624.0,2090-2094
WPP_Medium variant,2095,F,5-9,2205212.0,2095-2099
WPP_Medium variant,2100,F,5-9,2167266.0,2100+
WPP_High variant,2020,F,5-9,1356955.0,2020-2024
WPP_High variant,2025,F,5-9,1434871.0,2025-2029
WPP_High variant,2030,F,5-9,1696758.0,2030-2034
WPP_High variant,2035,F,5-9,1936370.0,2035-2039
WPP_High variant,2040,F,5-9,2132495.0,2040-2044
WPP_High variant,2045,F,5-9,2272308.0,2045-2049
WPP_High variant,2050,F,5-9,2439243.0,2050-2054
WPP_High variant,2055,F,5-9,2625054.0,2055-2059
WPP_High variant,2060,F,5-9,2824286.0,2060-2064
WPP_High variant,2065,F,5-9,3002240.0,2065-2069
WPP_High variant,2070,F,5-9,3163324.0,2070-2074
WPP_High variant,2075,F,5-9,3301380.0,2075-2079
WPP_High variant,2080,F,5-9,3429487.0,2080-2084
WPP_High variant,2085,F,5-9,3553993.0,2085-2089
WPP_High variant,2090,F,5-9,3673204.0,2090-2094
WPP_High variant,2095,F,5-9,3778758.0,2095-2099
WPP_High variant,2100,F,5-9,3869269.0,2100+
WPP_Estimates,1950,M,10-14,170952.0,1950-1954
WPP_Estimates,1955,M,10-14,195882.0,1955-1959
WPP_Estimates,1960,M,10-14,224184.0,1960-1964
WPP_Estimates,1965,M,10-14,236952.0,1965-1969
WPP_Estimates,1970,M,10-14,275472.0,1970-1974
WPP_Estimates,1975,M,10-14,322999.0,1975-1979
WPP_Estimates,1980,M,10-14,381621.0,1980-1984
WPP_Estimates,1985,M,10-14,448836.0,1985-1989
WPP_Estimates,1990,M,10-14,577464.0,1990-1994
WPP_Estimates,1995,M,10-14,585415.0,1995-1999
WPP_Estimates,2000,M,10-14,716190.0,2000-2004
WPP_Estimates,2005,M,10-14,816189.0,2005-2009
WPP_Estimates,2010,M,10-14,944001.0,2010-2014
WPP_Estimates,2015,M,10-14,1098320.0,2015-2019
WPP_Estimates,2020,M,10-14,1286629.0,2020-2024
WPP_Low variant,2020,M,10-14,1286629.0,2020-2024
WPP_Low variant,2025,M,10-14,1374107.0,2025-2029
WPP_Low variant,2030,M,10-14,1454481.0,2030-2034
WPP_Low variant,2035,M,10-14,1514102.0,2035-2039
WPP_Low variant,2040,M,10-14,1573172.0,2040-2044
WPP_Low variant,2045,M,10-14,1604264.0,2045-2049
WPP_Low variant,2050,M,10-14,1652408.0,2050-2054
WPP_Low variant,2055,M,10-14,1668703.0,2055-2059
WPP_Low variant,2060,M,10-14,1653351.0,2060-2064
WPP_Low variant,2065,M,10-14,1628564.0,2065-2069
WPP_Low variant,2070,M,10-14,1588738.0,2070-2074
WPP_Low variant,2075,M,10-14,1544398.0,2075-2079
WPP_Low variant,2080,M,10-14,1485449.0,2080-2084
WPP_Low variant,2085,M,10-14,1414832.0,2085-2089
WPP_Low variant,2090,M,10-14,1336269.0,2090-2094
WPP_Low variant,2095,M,10-14,1255428.0,2095-2099
WPP_Low variant,2100,M,10-14,1174155.0,2100+
WPP_Medium variant,2020,M,10-14,1286629.0,2020-2024
WPP_Medium variant,2025,M,10-14,1374106.0,2025-2029
WPP_Medium variant,2030,M,10-14,1454481.0,2030-2034
WPP_Medium variant,2035,M,10-14,1617516.0,2035-2039
WPP_Medium variant,2040,M,10-14,1768876.0,2040-2044
WPP_Medium variant,2045,M,10-14,1884482.0,2045-2049
WPP_Medium variant,2050,M,10-14,1978101.0,2050-2054
WPP_Medium variant,2055,M,10-14,2064676.0,2055-2059
WPP_Medium variant,2060,M,10-14,2140132.0,2060-2064
WPP_Medium variant,2065,M,10-14,2214202.0,2065-2069
WPP_Medium variant,2070,M,10-14,2267639.0,2070-2074
WPP_Medium variant,2075,M,10-14,2307330.0,2075-2079
WPP_Medium variant,2080,M,10-14,2323443.0,2080-2084
WPP_Medium variant,2085,M,10-14,2323058.0,2085-2089
WPP_Medium variant,2090,M,10-14,2311419.0,2090-2094
WPP_Medium variant,2095,M,10-14,2292017.0,2095-2099
WPP_Medium variant,2100,M,10-14,2263101.0,2100+
WPP_High variant,2020,M,10-14,1286629.0,2020-2024
WPP_High variant,2025,M,10-14,1374107.0,2025-2029
WPP_High variant,2030,M,10-14,1454480.0,2030-2034
WPP_High variant,2035,M,10-14,1720927.0,2035-2039
WPP_High variant,2040,M,10-14,1964581.0,2040-2044
WPP_High variant,2045,M,10-14,2164699.0,2045-2049
WPP_High variant,2050,M,10-14,2308374.0,2050-2054
WPP_High variant,2055,M,10-14,2480557.0,2055-2059
WPP_High variant,2060,M,10-14,2673100.0,2060-2064
WPP_High variant,2065,M,10-14,2879871.0,2065-2069
WPP_High variant,2070,M,10-14,3065323.0,2070-2074
WPP_High variant,2075,M,10-14,3233769.0,2075-2079
WPP_High variant,2080,M,10-14,3378460.0,2080-2084
WPP_High variant,2085,M,10-14,3512831.0,2085-2089
WPP_High variant,2090,M,10-14,3643167.0,2090-2094
WPP_High variant,2095,M,10-14,3767732.0,2095-2099
WPP_High variant,2100,M,10-14,3878160.0,2100+
WPP_Estimates,1950,F,10-14,182928.0,1950-1954
WPP_Estimates,1955,F,10-14,203324.0,1955-1959
WPP_Estimates,1960,F,10-14,226484.0,1960-1964
WPP_Estimates,1965,F,10-14,227660.0,1965-1969
WPP_Estimates,1970,F,10-14,266133.0,1970-1974
WPP_Estimates,1975,F,10-14,314054.0,1975-1979
WPP_Estimates,1980,F,10-14,373160.0,1980-1984
WPP_Estimates,1985,F,10-14,440798.0,1985-1989
WPP_Estimates,1990,F,10-14,571709.0,1990-1994
WPP_Estimates,1995,F,10-14,591145.0,1995-1999
WPP_Estimates,2000,F,10-14,729517.0,2000-2004
WPP_Estimates,2005,F,10-14,827818.0,2005-2009
WPP_Estimates,2010,F,10-14,947145.0,2010-2014
WPP_Estimates,2015,F,10-14,1095508.0,2015-2019
WPP_Estimates,2020,F,10-14,1275213.0,2020-2024
WPP_Low variant,2020,F,10-14,1275213.0,2020-2024
WPP_Low variant,2025,F,10-14,1351968.0,2025-2029
WPP_Low variant,2030,F,10-14,1430719.0,2030-2034
WPP_Low variant,2035,F,10-14,1489433.0,2035-2039
WPP_Low variant,2040,F,10-14,1547730.0,2040-2044
WPP_Low variant,2045,F,10-14,1577956.0,2045-2049
WPP_Low variant,2050,F,10-14,1624400.0,2050-2054
WPP_Low variant,2055,F,10-14,1638910.0,2055-2059
WPP_Low variant,2060,F,10-14,1621800.0,2060-2064
WPP_Low variant,2065,F,10-14,1595436.0,2065-2069
WPP_Low variant,2070,F,10-14,1554459.0,2070-2074
WPP_Low variant,2075,F,10-14,1509270.0,2075-2079
WPP_Low variant,2080,F,10-14,1450177.0,2080-2084
WPP_Low variant,2085,F,10-14,1379997.0,2085-2089
WPP_Low variant,2090,F,10-14,1302395.0,2090-2094
WPP_Low variant,2095,F,10-14,1222874.0,2095-2099
WPP_Low variant,2100,F,10-14,1143097.0,2100+
WPP_Medium variant,2020,F,10-14,1275213.0,2020-2024
WPP_Medium variant,2025,F,10-14,1351967.0,2025-2029
WPP_Medium variant,2030,F,10-14,1430719.0,2030-2034
WPP_Medium variant,2035,F,10-14,1591161.0,2035-2039
WPP_Medium variant,2040,F,10-14,1740267.0,2040-2044
WPP_Medium variant,2045,F,10-14,1853576.0,2045-2049
WPP_Medium variant,2050,F,10-14,1944570.0,2050-2054
WPP_Medium variant,2055,F,10-14,2027811.0,2055-2059
WPP_Medium variant,2060,F,10-14,2099287.0,2060-2064
WPP_Medium variant,2065,F,10-14,2169157.0,2065-2069
WPP_Medium variant,2070,F,10-14,2218710.0,2070-2074
WPP_Medium variant,2075,F,10-14,2254851.0,2075-2079
WPP_Medium variant,2080,F,10-14,2268275.0,2080-2084
WPP_Medium variant,2085,F,10-14,2265867.0,2085-2089
WPP_Medium variant,2090,F,10-14,2252829.0,2090-2094
WPP_Medium variant,2095,F,10-14,2232590.0,2095-2099
WPP_Medium variant,2100,F,10-14,2203244.0,2100+
WPP_High variant,2020,F,10-14,1275213.0,2020-2024
WPP_High variant,2025,F,10-14,1351967.0,2025-2029
WPP_High variant,2030,F,10-14,1430719.0,2030-2034
WPP_High variant,2035,F,10-14,1692887.0,2035-2039
WPP_High variant,2040,F,10-14,1932806.0,2040-2044
WPP_High variant,2045,F,10-14,2129197.0,2045-2049
WPP_High variant,2050,F,10-14,2269245.0,2050-2054
WPP_High variant,2055,F,10-14,2436269.0,2055-2059
WPP_High variant,2060,F,10-14,2622086.0,2060-2064
WPP_High variant,2065,F,10-14,2821283.0,2065-2069
WPP_High variant,2070,F,10-14,2999185.0,2070-2074
WPP_High variant,2075,F,10-14,3160217.0,2075-2079
WPP_High variant,2080,F,10-14,3298249.0,2080-2084
WPP_High variant,2085,F,10-14,3426350.0,2085-2089
WPP_High variant,2090,F,10-14,3550822.0,2090-2094
WPP_High variant,2095,F,10-14,3670046.0,2095-2099
WPP_High variant,2100,F,10-14,3775594.0,2100+
WPP_Estimates,1950,M,15-19,145758.0,1950-1954
WPP_Estimates,1955,M,15-19,164921.0,1955-1959
WPP_Estimates,1960,M,15-19,189337.0,1960-1964
WPP_Estimates,1965,M,15-19,217175.0,1965-1969
WPP_Estimates,1970,M,15-19,229974.0,1970-1974
WPP_Estimates,1975,M,15-19,267733.0,1975-1979
WPP_Estimates,1980,M,15-19,316080.0,1980-1984
WPP_Estimates,1985,M,15-19,373470.0,1985-1989
WPP_Estimates,1990,M,15-19,483102.0,1990-1994
WPP_Estimates,1995,M,15-19,506053.0,1995-1999
WPP_Estimates,2000,M,15-19,571747.0,2000-2004
WPP_Estimates,2005,M,15-19,699181.0,2005-2009
WPP_Estimates,2010,M,15-19,800344.0,2010-2014
WPP_Estimates,2015,M,15-19,932164.0,2015-2019
WPP_Estimates,2020,M,15-19,1088019.0,2020-2024
WPP_Low variant,2020,M,15-19,1088019.0,2020-2024
WPP_Low variant,2025,M,15-19,1277811.0,2025-2029
WPP_Low variant,2030,M,15-19,1366214.0,2030-2034
WPP_Low variant,2035,M,15-19,1447240.0,2035-2039
WPP_Low variant,2040,M,15-19,1507382.0,2040-2044
WPP_Low variant,2045,M,15-19,1566817.0,2045-2049
WPP_Low variant,2050,M,15-19,1598287.0,2050-2054
WPP_Low variant,2055,M,15-19,1646698.0,2055-2059
WPP_Low variant,2060,M,15-19,1663280.0,2060-2064
WPP_Low variant,2065,M,15-19,1648282.0,2065-2069
WPP_Low variant,2070,M,15-19,1623832.0,2070-2074
WPP_Low variant,2075,M,15-19,1584347.0,2075-2079
WPP_Low variant,2080,M,15-19,1540331.0,2080-2084
WPP_Low variant,2085,M,15-19,1481686.0,2085-2089
WPP_Low variant,2090,M,15-19,1411366.0,2090-2094
WPP_Low variant,2095,M,15-19,1333080.0,2095-2099
WPP_Low variant,2100,M,15-19,1252489.0,2100+
WPP_Medium variant,2020,M,15-19,1088019.0,2020-2024
WPP_Medium variant,2025,M,15-19,1277811.0,2025-2029
WPP_Medium variant,2030,M,15-19,1366215.0,2030-2034
WPP_Medium variant,2035,M,15-19,1447240.0,2035-2039
WPP_Medium variant,2040,M,15-19,1610413.0,2040-2044
WPP_Medium variant,2045,M,15-19,1761868.0,2045-2049
WPP_Medium variant,2050,M,15-19,1877653.0,2050-2054
WPP_Medium variant,2055,M,15-19,1971485.0,2055-2059
WPP_Medium variant,2060,M,15-19,2058232.0,2060-2064
WPP_Medium variant,2065,M,15-19,2133899.0,2065-2069
WPP_Medium variant,2070,M,15-19,2208170.0,2070-2074
WPP_Medium variant,2075,M,15-19,2261848.0,2075-2079
WPP_Medium variant,2080,M,15-19,2301806.0,2080-2084
WPP_Medium variant,2085,M,15-19,2318188.0,2085-2089
WPP_Medium variant,2090,M,15-19,2318085.0,2090-2094
WPP_Medium variant,2095,M,15-19,2306719.0,2095-2099
WPP_Medium variant,2100,M,15-19,2287576.0,2100+
WPP_High variant,2020,M,15-19,1088019.0,2020-2024
WPP_High variant,2025,M,15-19,1277811.0,2025-2029
WPP_High variant,2030,M,15-19,1366215.0,2030-2034
WPP_High variant,2035,M,15-19,1447241.0,2035-2039
WPP_High variant,2040,M,15-19,1713442.0,2040-2044
WPP_High variant,2045,M,15-19,1956920.0,2045-2049
WPP_High variant,2050,M,15-19,2157023.0,2050-2054
WPP_High variant,2055,M,15-19,2300840.0,2055-2059
WPP_High variant,2060,M,15-19,2473041.0,2060-2064
WPP_High variant,2065,M,15-19,2665593.0,2065-2069
WPP_High variant,2070,M,15-19,2872359.0,2070-2074
WPP_High variant,2075,M,15-19,3057893.0,2075-2079
WPP_High variant,2080,M,15-19,3226474.0,2080-2084
WPP_High variant,2085,M,15-19,3371329.0,2085-2089
WPP_High variant,2090,M,15-19,3505882.0,2090-2094
WPP_High variant,2095,M,15-19,3636402.0,2095-2099
WPP_High variant,2100,M,15-19,3761150.0,2100+
WPP_Estimates,1950,F,15-19,154088.0,1950-1954
WPP_Estimates,1955,F,15-19,173633.0,1955-1959
WPP_Estimates,1960,F,15-19,193724.0,1960-1964
WPP_Estimates,1965,F,15-19,216732.0,1965-1969
WPP_Estimates,1970,F,15-19,218613.0,1970-1974
WPP_Estimates,1975,F,15-19,256721.0,1975-1979
WPP_Estimates,1980,F,15-19,305268.0,1980-1984
