Variant,Year,Sex,Age_Grp,Count,Period
WPP_Estimates,1950,M,0-4,276828.0,1950-1954
WPP_Estimates,1955,M,0-4,288843.0,1955-1959
WPP_Estimates,1960,M,0-4,331283.0,1960-1964
WPP_Estimates,1965,M,0-4,382853.0,1965-1969
WPP_Estimates,1970,M,0-4,442401.0,1970-1974
WPP_Estimates,1975,M,0-4,511347.0,1975-1979
WPP_Estimates,1980,M,0-4,598471.0,1980-1984
WPP_Estimates,1985,M,0-4,695284.0,1985-1989
WPP_Estimates,1990,M,0-4,865316.0,1990-1994
WPP_Estimates,1995,M,0-4,889564.0,1995-1999
WPP_Estimates,2000,M,0-4,1013409.0,2000-2004
WPP_Estimates,2005,M,0-4,1152574.0,2005-2009
WPP_Estimates,2010,M,0-4,1325479.0,2010-2014
WPP_Estimates,2015,M,0-4,1402524.0,2015-2019
WPP_Estimates,2020,M,0-4,1477013.0,2020-2024
WPP_Low variant,2020,M,0-4,1477013.0,2020-2024
WPP_Low variant,2025,M,0-4,1533624.0,2025-2029
WPP_Low variant,2030,M,0-4,1590249.0,2030-2034
WPP_Low variant,2035,M,0-4,1619185.0,2035-2039
WPP_Low variant,2040,M,0-4,1665743.0,2040-2044
WPP_Low variant,2045,M,0-4,1680490.0,2045-2049
WPP_Low variant,2050,M,0-4,1663718.0,2050-2054
WPP_Low variant,2055,M,0-4,1637705.0,2055-2059
WPP_Low variant,2060,M,0-4,1596762.0,2060-2064
WPP_Low variant,2065,M,0-4,1551522.0,2065-2069
WPP_Low variant,2070,M,0-4,1491765.0,2070-2074
WPP_Low variant,2075,M,0-4,1420418.0,2075-2079
WPP_Low variant,2080,M,0-4,1341271.0,2080-2084
WPP_Low variant,2085,M,0-4,1259900.0,2085-2089
WPP_Low variant,2090,M,0-4,1178191.0,2090-2094
WPP_Low variant,2095,M,0-4,1097740.0,2095-2099
WPP_Low variant,2100,M,0-4,1021728.0,2100+
WPP_Medium variant,2020,M,0-4,1477013.0,2020-2024
WPP_Medium variant,2025,M,0-4,1638310.0,2025-2029
WPP_Medium variant,2030,M,0-4,1787971.0,2030-2034
WPP_Medium variant,2035,M,0-4,1901859.0,2035-2039
WPP_Medium variant,2040,M,0-4,1993895.0,2040-2044
WPP_Medium variant,2045,M,0-4,2079056.9999999998,2045-2049
WPP_Medium variant,2050,M,0-4,2153301.0,2050-2054
WPP_Medium variant,2055,M,0-4,2226323.0,2055-2059
WPP_Medium variant,2060,M,0-4,2278727.0,2060-2064
WPP_Medium variant,2065,M,0-4,2317555.0,2065-2069
WPP_Medium variant,2070,M,0-4,2332841.0,2070-2074
WPP_Medium variant,2075,M,0-4,2331687.0,2075-2079
WPP_Medium variant,2080,M,0-4,2319451.0,2080-2084
WPP_Medium variant,2085,M,0-4,2299482.0,2085-2089
WPP_Medium variant,2090,M,0-4,2270095.0,2090-2094
WPP_Medium variant,2095,M,0-4,2231763.0,2095-2099
WPP_Medium variant,2100,M,0-4,2190221.0,2100+
WPP_High variant,2020,M,0-4,1477013.0,2020-2024
WPP_High variant,2025,M,0-4,1742998.0,2025-2029
WPP_High variant,2030,M,0-4,1985694.0,2030-2034
WPP_High variant,2035,M,0-4,2184533.0,2035-2039
WPP_High variant,2040,M,0-4,2326664.0,2040-2044
WPP_High variant,2045,M,0-4,2497665.0,2045-2049
WPP_High variant,2050,M,0-4,2689336.0,2050-2054
WPP_High variant,2055,M,0-4,2895379.0,2055-2059
WPP_High variant,2060,M,0-4,3080016.0,2060-2064
WPP_High variant,2065,M,0-4,3247756.0,2065-2069
WPP_High variant,2070,M,0-4,3391743.0,2070-2074
WPP_High variant,2075,M,0-4,3525444.0,2075-2079
WPP_High variant,2080,M,0-4,3655337.0,2080-2084
WPP_High variant,2085,M,0-4,3779456.0,2085-2089
WPP_High variant,2090,M,0-4,3889542.0,2090-2094
WPP_High variant,2095,M,0-4,3983981.0,2095-2099
WPP_High variant,2100,M,0-4,4072112.0,2100+
WPP_Estimates,1950,F,0-4,292623.0,1950-1954
WPP_Estimates,1955,F,0-4,288701.0,1955-1959
WPP_Estimates,1960,F,0-4,331045.0,1960-1964
WPP_Estimates,1965,F,0-4,382720.0,1965-1969
WPP_Estimates,1970,F,0-4,442269.0,1970-1974
WPP_Estimates,1975,F,0-4,510350.0,1975-1979
WPP_Estimates,1980,F,0-4,596766.0,1980-1984
WPP_Estimates,1985,F,0-4,692915.0,1985-1989
WPP_Estimates,1990,F,0-4,861414.0,1990-1994
WPP_Estimates,1995,F,0-4,887205.0,1995-1999
WPP_Estimates,2000,F,0-4,1000455.0,2000-2004
WPP_Estimates,2005,F,0-4,1137530.0,2005-2009
WPP_Estimates,2010,F,0-4,1306965.0,2010-2014
WPP_Estimates,2015,F,0-4,1374541.0,2015-2019
WPP_Estimates,2020,F,0-4,1446930.0,2020-2024
WPP_Low variant,2020,F,0-4,1446930.0,2020-2024
WPP_Low variant,2025,F,0-4,1502449.0,2025-2029
WPP_Low variant,2030,F,0-4,1558245.0,2030-2034
WPP_Low variant,2035,F,0-4,1586525.0,2035-2039
WPP_Low variant,2040,F,0-4,1631724.0,2040-2044
WPP_Low variant,2045,F,0-4,1645371.0,2045-2049
WPP_Low variant,2050,F,0-4,1627598.0,2050-2054
WPP_Low variant,2055,F,0-4,1600750.0,2055-2059
WPP_Low variant,2060,F,0-4,1559410.0,2060-2064
WPP_Low variant,2065,F,0-4,1513934.0,2065-2069
WPP_Low variant,2070,F,0-4,1454561.0,2070-2074
WPP_Low variant,2075,F,0-4,1384083.0,2075-2079
WPP_Low variant,2080,F,0-4,1306219.0,2080-2084
WPP_Low variant,2085,F,0-4,1226429.0,2085-2089
WPP_Low variant,2090,F,0-4,1146416.0,2090-2094
WPP_Low variant,2095,F,0-4,1067746.0,2095-2099
WPP_Low variant,2100,F,0-4,993550.0,2100+
WPP_Medium variant,2020,F,0-4,1446930.0,2020-2024
WPP_Medium variant,2025,F,0-4,1605007.0,2025-2029
WPP_Medium variant,2030,F,0-4,1751989.0,2030-2034
WPP_Medium variant,2035,F,0-4,1863500.0,2035-2039
WPP_Medium variant,2040,F,0-4,1953177.0,2040-2044
WPP_Medium variant,2045,F,0-4,2035609.0,2045-2049
WPP_Medium variant,2050,F,0-4,2106550.0,2050-2054
WPP_Medium variant,2055,F,0-4,2176090.0,2055-2059
WPP_Medium variant,2060,F,0-4,2225427.0,2060-2064
WPP_Medium variant,2065,F,0-4,2261413.0,2065-2069
WPP_Medium variant,2070,F,0-4,2274667.0,2070-2074
WPP_Medium variant,2075,F,0-4,2272047.0,2075-2079
WPP_Medium variant,2080,F,0-4,2258843.0,2080-2084
WPP_Medium variant,2085,F,0-4,2238400.0,2085-2089
WPP_Medium variant,2090,F,0-4,2208880.0,2090-2094
WPP_Medium variant,2095,F,0-4,2170792.0,2095-2099
WPP_Medium variant,2100,F,0-4,2129827.0,2100+
WPP_High variant,2020,F,0-4,1446930.0,2020-2024
WPP_High variant,2025,F,0-4,1707566.0,2025-2029
WPP_High variant,2030,F,0-4,1945733.0,2030-2034
WPP_High variant,2035,F,0-4,2140474.0,2035-2039
WPP_High variant,2040,F,0-4,2279152.0,2040-2044
WPP_High variant,2045,F,0-4,2445471.0,2045-2049
WPP_High variant,2050,F,0-4,2630952.0,2050-2054
WPP_High variant,2055,F,0-4,2830050.0,2055-2059
WPP_High variant,2060,F,0-4,3007972.0,2060-2064
WPP_High variant,2065,F,0-4,3169085.0,2065-2069
WPP_High variant,2070,F,0-4,3307168.0,2070-2074
WPP_High variant,2075,F,0-4,3435273.0,2075-2079
WPP_High variant,2080,F,0-4,3559828.0,2080-2084
WPP_High variant,2085,F,0-4,3679067.0,2085-2089
WPP_High variant,2090,F,0-4,3784663.0,2090-2094
WPP_High variant,2095,F,0-4,3875148.0,2095-2099
WPP_High variant,2100,F,0-4,3959832.0,2100+
WPP_Estimates,1950,M,5-9,206449.0,1950-1954
WPP_Estimates,1955,M,5-9,235459.0,1955-1959
WPP_Estimates,1960,M,5-9,247896.0,1960-1964
WPP_Estimates,1965,M,5-9,287270.0,1965-1969
WPP_Estimates,1970,M,5-9,334908.0,1970-1974
WPP_Estimates,1975,M,5-9,393549.0,1975-1979
WPP_Estimates,1980,M,5-9,461590.0,1980-1984
WPP_Estimates,1985,M,5-9,545884.0,1985-1989
WPP_Estimates,1990,M,5-9,669865.0,1990-1994
WPP_Estimates,1995,M,5-9,734347.0,1995-1999
WPP_Estimates,2000,M,5-9,837242.0,2000-2004
WPP_Estimates,2005,M,5-9,962810.0,2005-2009
WPP_Estimates,2010,M,5-9,1110865.0,2010-2014
WPP_Estimates,2015,M,5-9,1296534.0,2015-2019
WPP_Estimates,2020,M,5-9,1381621.0,2020-2024
WPP_Low variant,2020,M,5-9,1381621.0,2020-2024
WPP_Low variant,2025,M,5-9,1461153.0,2025-2029
WPP_Low variant,2030,M,5-9,1520011.0,2030-2034
