Year,frac_births_male
1950,0.504950495049505
1951,0.504950495049505
1952,0.504950495049505
1953,0.504950495049505
1954,0.504950495049505
1955,0.504950495049505
1956,0.504950495049505
1957,0.504950495049505
1958,0.504950495049505
1959,0.504950495049505
1960,0.504950495049505
1961,0.504950495049505
1962,0.504950495049505
1963,0.504950495049505
1964,0.504950495049505
1965,0.504950495049505
1966,0.504950495049505
1967,0.504950495049505
1968,0.504950495049505
1969,0.504950495049505
1970,0.504950495049505
1971,0.504950495049505
1972,0.504950495049505
1973,0.504950495049505
1974,0.504950495049505
1975,0.504950495049505
1976,0.504950495049505
1977,0.504950495049505
1978,0.504950495049505
1979,0.504950495049505
1980,0.504950495049505
1981,0.504950495049505
1982,0.504950495049505
1983,0.504950495049505
1984,0.504950495049505
1985,0.504950495049505
1986,0.504950495049505
1987,0.504950495049505
1988,0.504950495049505
1989,0.504950495049505
1990,0.504950495049505
1991,0.504950495049505
1992,0.504950495049505
1993,0.504950495049505
1994,0.504950495049505
1995,0.504950495049505
1996,0.504950495049505
1997,0.504950495049505
1998,0.504950495049505
1999,0.504950495049505
2000,0.504950495049505
2001,0.504950495049505
2002,0.504950495049505
2003,0.504950495049505
2004,0.504950495049505
2005,0.5061728395061729
2006,0.5061728395061729
2007,0.5061728395061729
2008,0.5061728395061729
2009,0.5061728395061729
2010,0.5073891625615763
2011,0.5073891625615763
2012,0.5073891625615763
2013,0.5073891625615763
2014,0.5073891625615763
2015,0.5073891625615763
2016,0.5073891625615763
2017,0.5073891625615763
2018,0.5073891625615763
2019,0.5073891625615763
2020,0.5073891625615763
2021,0.5073891625615763
2022,0.5073891625615763
2023,0.5073891625615763
2024,0.5073891625615763
2025,0.5073891625615763
2026,0.5073891625615763
2027,0.5073891625615763
2028,0.5073891625615763
2029,0.5073891625615763
2030,0.5073891625615763
2031,0.5073891625615763
2032,0.5073891625615763
2033,0.5073891625615763
2034,0.5073891625615763
2035,0.5073891625615763
2036,0.5073891625615763
2037,0.5073891625615763
2038,0.5073891625615763
2039,0.5073891625615763
2040,0.5073891625615763
2041,0.5073891625615763
2042,0.5073891625615763
2043,0.5073891625615763
2044,0.5073891625615763
2045,0.5073891625615763
2046,0.5073891625615763
2047,0.5073891625615763
2048,0.5073891625615763
2049,0.5073891625615763
2050,0.5073891625615763
2051,0.5073891625615763
2052,0.5073891625615763
2053,0.5073891625615763
2054,0.5073891625615763
2055,0.5073891625615763
2056,0.5073891625615763
2057,0.5073891625615763
2058,0.5073891625615763
2059,0.5073891625615763
2060,0.5073891625615763
2061,0.5073891625615763
2062,0.5073891625615763
2063,0.5073891625615763
2064,0.5073891625615763
2065,0.5073891625615763
2066,0.5073891625615763
2067,0.5073891625615763
2068,0.5073891625615763
2069,0.5073891625615763
2070,0.5073891625615763
2071,0.5073891625615763
2072,0.5073891625615763
2073,0.5073891625615763
2074,0.5073891625615763
2075,0.5073891625615763
2076,0.5073891625615763
2077,0.5073891625615763
2078,0.5073891625615763
2079,0.5073891625615763
2080,0.5073891625615763
2081,0.5073891625615763
2082,0.5073891625615763
2083,0.5073891625615763
2084,0.5073891625615763
2085,0.5073891625615763
2086,0.5073891625615763
2087,0.5073891625615763
2088,0.5073891625615763
2089,0.5073891625615763
2090,0.5073891625615763
2091,0.5073891625615763
2092,0.5073891625615763
2093,0.5073891625615763
2094,0.5073891625615763
2095,0.5073891625615763
2096,0.5073891625615763
2097,0.5073891625615763
2098,0.5073891625615763
2099,0.5073891625615763
