Variant,Period,Sex,Age_Grp,Count
WPP_Estimates,1950-1954,M,0-4,133907.0
WPP_Estimates,1955-1959,M,0-4,144079.0
WPP_Estimates,1960-1964,M,0-4,159115.0
WPP_Estimates,1965-1969,M,0-4,175904.0
WPP_Estimates,1970-1974,M,0-4,185037.0
WPP_Estimates,1975-1979,M,0-4,197880.0
WPP_Estimates,1980-1984,M,0-4,211467.0
WPP_Estimates,1985-1989,M,0-4,238665.0
WPP_Estimates,1990-1994,M,0-4,224519.0
WPP_Estimates,1995-1999,M,0-4,192523.0
WPP_Estimates,2000-2004,M,0-4,175907.0
WPP_Estimates,2005-2009,M,0-4,152520.0
WPP_Estimates,2010-2014,M,0-4,116616.0
WPP_Estimates,2015-2019,M,0-4,92337.0
WPP_Low variant,2020-2024,M,0-4,77207.0
WPP_Low variant,2025-2029,M,0-4,64879.00000000001
WPP_Low variant,2030-2034,M,0-4,63009.0
WPP_Low variant,2035-2039,M,0-4,55069.0
WPP_Low variant,2040-2044,M,0-4,48900.0
WPP_Low variant,2045-2049,M,0-4,43653.0
WPP_Low variant,2050-2054,M,0-4,39532.0
WPP_Low variant,2055-2059,M,0-4,36132.0
WPP_Low variant,2060-2064,M,0-4,32932.0
WPP_Low variant,2065-2069,M,0-4,30209.0
WPP_Low variant,2070-2074,M,0-4,27772.0
WPP_Low variant,2075-2079,M,0-4,25519.0
WPP_Low variant,2080-2084,M,0-4,23706.0
WPP_Low variant,2085-2089,M,0-4,21984.0
WPP_Low variant,2090-2094,M,0-4,20408.0
WPP_Low variant,2095-2099,M,0-4,19051.0
WPP_Medium variant,2020-2024,M,0-4,81413.0
WPP_Medium variant,2025-2029,M,0-4,72489.0
WPP_Medium variant,2030-2034,M,0-4,63009.0
WPP_Medium variant,2035-2039,M,0-4,55069.0
WPP_Medium variant,2040-2044,M,0-4,48900.0
WPP_Medium variant,2045-2049,M,0-4,43653.0
WPP_Medium variant,2050-2054,M,0-4,39532.0
WPP_Medium variant,2055-2059,M,0-4,36132.0
WPP_Medium variant,2060-2064,M,0-4,32932.0
WPP_Medium variant,2065-2069,M,0-4,30209.0
WPP_Medium variant,2070-2074,M,0-4,27772.0
WPP_Medium variant,2075-2079,M,0-4,25519.0
WPP_Medium variant,2080-2084,M,0-4,23706.0
