Facility_ID,Officer_Type_Code,GenericClinic,CancerClinic,CardiometabolicClinic,ChronicRespiratoryClinic,NeurologicalMentalHealthClinic
11.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
11.0,Nutrition,0.8,0.03,0.1,0.02,0.05
11.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
11.0,Radiography,0.8,0.03,0.1,0.02,0.05
12.0,Clinical,0.8,0.03,0.1,0.02,0.05
12.0,DCSA,0.8,0.03,0.1,0.02,0.05
12.0,Dental,0.8,0.03,0.1,0.02,0.05
12.0,Laboratory,0.8,0.03,0.1,0.02,0.05
12.0,Mental,0.8,0.03,0.1,0.02,0.05
12.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
12.0,Nutrition,0.8,0.03,0.1,0.02,0.05
12.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
12.0,Radiography,0.8,0.03,0.1,0.02,0.05
13.0,Clinical,0.8,0.03,0.1,0.02,0.05
13.0,DCSA,0.8,0.03,0.1,0.02,0.05
13.0,Dental,0.8,0.03,0.1,0.02,0.05
13.0,Laboratory,0.8,0.03,0.1,0.02,0.05
13.0,Mental,0.8,0.03,0.1,0.02,0.05
13.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
13.0,Nutrition,0.8,0.03,0.1,0.02,0.05
13.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
13.0,Radiography,0.8,0.03,0.1,0.02,0.05
14.0,Clinical,0.8,0.03,0.1,0.02,0.05
14.0,DCSA,0.8,0.03,0.1,0.02,0.05
14.0,Dental,0.8,0.03,0.1,0.02,0.05
14.0,Laboratory,0.8,0.03,0.1,0.02,0.05
14.0,Mental,0.8,0.03,0.1,0.02,0.05
14.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
14.0,Nutrition,0.8,0.03,0.1,0.02,0.05
14.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
