Region,District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Central Region,Lilongwe,2010,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2011,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2012,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2013,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2014,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2015,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2016,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2017,0,local,0,1,vague prior,MAP
Central Region,Lilongwe,2018,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2010,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2011,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2012,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2013,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2014,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2015,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2016,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2017,0,local,0,1,vague prior,MAP
Central Region,Lilongwe City,2018,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2010,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2011,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2012,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2013,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2014,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2015,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2016,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2017,0,local,0,1,vague prior,MAP
Southern Region,Machinga,2018,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2010,0.264321025,local,0,1,vague prior,MAP
Southern Region,Mangochi,2011,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2012,0.236382235,local,0,1,vague prior,MAP
Southern Region,Mangochi,2013,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2014,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2015,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2016,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2017,0,local,0,1,vague prior,MAP
Southern Region,Mangochi,2018,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2010,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2011,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2012,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2013,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2014,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2015,0.374022456,local,0,1,vague prior,MAP
Central Region,Mchinji,2016,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2017,0,local,0,1,vague prior,MAP
Central Region,Mchinji,2018,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2010,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2011,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2012,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2013,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2014,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2015,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2016,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2017,0,local,0,1,vague prior,MAP
Southern Region,Mulanje,2018,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2010,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2011,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2012,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2013,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2014,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2015,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2016,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2017,0,local,0,1,vague prior,MAP
Southern Region,Mwanza,2018,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2010,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2011,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2012,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2013,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2014,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2015,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2016,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2017,0,local,0,1,vague prior,MAP
Northern Region,Mzimba,2018,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2010,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2011,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2012,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2013,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2014,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2015,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2016,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2017,0,local,0,1,vague prior,MAP
Northern Region,Mzuzu City,2018,0,local,0,1,vague prior,MAP
Southern Region,Neno,2010,0,local,0,1,vague prior,MAP
Southern Region,Neno,2011,0,local,0,1,vague prior,MAP
Southern Region,Neno,2012,0,local,0,1,vague prior,MAP
Southern Region,Neno,2013,0,local,0,1,vague prior,MAP
Southern Region,Neno,2014,0,local,0,1,vague prior,MAP
Southern Region,Neno,2015,0,local,0,1,vague prior,MAP
Southern Region,Neno,2016,0,local,0,1,vague prior,MAP
Southern Region,Neno,2017,0,local,0,1,vague prior,MAP
Southern Region,Neno,2018,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2010,1,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2011,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2012,0.883860981,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2013,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2014,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2015,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2016,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2017,0,local,0,1,vague prior,MAP
Northern Region,Nkhata Bay,2018,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2010,0.376785947,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2011,0.575915205,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2012,0.585150448,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2013,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2014,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2015,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2016,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2017,0,local,0,1,vague prior,MAP
Central Region,Nkhotakota,2018,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2010,0.849360278,local,0,1,vague prior,MAP
Southern Region,Nsanje,2011,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2012,0.748722684,local,0,1,vague prior,MAP
Southern Region,Nsanje,2013,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2014,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2015,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2016,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2017,0,local,0,1,vague prior,MAP
Southern Region,Nsanje,2018,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2010,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2011,0,local,0,1,vague prior,MAP
