Country,Year,Pop,CasesLower,CasesPoint,CasesUpper,DeathsLower,DeathsPoint,DeathsUpper,cases1000pyLower,cases1000pyPoint,cases1000pyUpper,MortRatePerPersonLower,MortRatePerPersonPoint,MortRatePerPersonUpper
Malawi,2010,15167096,3214000,4602005,6681000,7800,9506,11200,211.90608933971274,303.42031197007,440.4930251644745,0.0005142711564560546,0.0006267514888809301,0.0007384406349112579
Malawi,2011,15627611,3085000,4476529,6518000,7480,9085,10700,197.40701249858344,286.4499890610279,417.08230387869264,0.00047864001733854267,0.0005813428552835107,0.0006846855862997869
Malawi,2012,16097313,2969000,4317650,6244000,7290,8819,10400,184.4407200133339,268.22178334980504,387.8908237666746,0.00045287061262957366,0.0005478554091605226,0.0006460705584838911
Malawi,2013,16577150,2817000,4169285,6014000,6790,8161,9530,169.9327085777712,251.50794919512703,362.788537233481,0.0004095999613926399,0.0004923041656738342,0.0005748877219546182
Malawi,2014,17068838,2743000,4161861,6007000,6490,7737,8990,160.70221066015156,243.82802156772476,351.92788167536656,0.00038022506277228714,0.0004532821742171318,0.000526690803439578
Malawi,2015,17573606,2573000,4102579,6068000,6240,7384,8530,146.4127510312909,233.4511767249135,345.2905453781085,0.00035507795042178595,0.00042017557466578003,0.00048538700594516574
Malawi,2016,18091580,2647000,4223467,6235000,6110,7177,8250,146.3111569028244,233.449317306725,344.6354602527806,0.0003377261687481138,0.0003967038810319497,0.00045601323930800957
Malawi,2017,18622107,2707000,4303543,6366000,6060,7077,8090,145.36486123723807,231.0986076924593,341.8517571615285,0.0003254196745835474,0.000380032184328014,0.000434429895607409
