Officer_Type_Code,Total_Av_Working_Days
M01,155.625
M02,192.189331054688
M03,209.180160522461
N01,183.785705566406
N02,190.835372924805
P01,203.727264404297
P02,203.727264404297
P03,203.727264404297
L01,203.727264404297
L02,203.727264404297
L03,203.727264404297
E01,211.918838500977
D01,249
D02,249
D03,249
T01,
C01,249
R01,142.285720825195
R02,142.285720825195
R03,142.285720825195
R04,142.285720825195
,
,
,
,
,Imputed based on officer category 
,Officer cateogory not needed in model 
