Module,Event,Treatment,Facility level,Appointment footprint,Bed days footprint
Epi,HSI_HpvVaccine,Epi_Adolescent_Hpv,1a,EPI,
Epi,HSI_BcgVaccine,Epi_Childhood_Bcg,1a,EPI,
Epi,HSI_DtpHibHepVaccine,Epi_Childhood_DtpHibHep,1a,EPI,
Epi,HSI_MeaslesRubellaVaccine,Epi_Childhood_MeaslesRubella,1a,EPI,
Epi,HSI_opv,Epi_Childhood_Opv,1a,EPI,
Epi,HSI_PneumoVaccine,Epi_Childhood_Pneumo,1a,EPI,
Epi,HSI_RotaVaccine,Epi_Childhood_Rota,1a,EPI,
Epi,HSI_TdVaccine,Epi_Pregnancy_Td,1a,EPI,
Epilepsy,HSI_Epilepsy_Follow_Up,Epilepsy_Treatment_Followup,1b,Over5OPD,
Epilepsy,HSI_Epilepsy_Start_Anti_Epileptic,Epilepsy_Treatment_Start,1b,Over5OPD,
HealthSeekingBehaviour,_BaseHSIGenericFirstAppt,,,,
HealthSeekingBehaviour,HSI_GenericEmergencyFirstAppt,FirstAttendance_Emergency,1b,,
HealthSeekingBehaviour,HSI_GenericNonEmergencyFirstAppt,FirstAttendance_NonEmergency,0,,
HealthSeekingBehaviour,HSI_EmergencyCare_SpuriousSymptom,FirstAttendance_SpuriousEmergencyCare,1a,AccidentsandEmerg,
Hiv,HSI_Hiv_EndOfLifeCare,Hiv_PalliativeCare,2,,general_bed (17 days)
Hiv,HSI_Hiv_Circ,Hiv_Prevention_Circumcision,1b,MaleCirc,
Hiv,HSI_Hiv_StartInfantProphylaxis,Hiv_Prevention_Infant,1a,"Peds, VCTNegative",
Hiv,HSI_Hiv_StartOrContinueOnPrep,Hiv_Prevention_Prep,1a,"PharmDispensing, VCTNegative",
Hiv,HSI_Hiv_TestAndRefer,Hiv_Test,1a,VCTNegative,
Hiv,HSI_Hiv_SelfTest,Hiv_Test_Selftest,0,ConWithDCSA,
Hiv,HSI_Hiv_StartOrContinueTreatment,Hiv_Treatment,,Peds,
Labour,HSI_Labour_ReceivesSkilledBirthAttendanceDuringLabour,DeliveryCare_Basic,,NormalDelivery,maternity_bed (2 days)
Labour,HSI_Labour_ReceivesComprehensiveEmergencyObstetricCare,PostnatalCare_Comprehensive,,MajorSurg,
Labour,HSI_Labour_ReceivesPostnatalCheck,PostnatalCare_Maternal,1a,Over5OPD,
Labour,HSI_Labour_PostnatalWardInpatientCare,PostnatalCare_Maternal_Inpatient,,,maternity_bed (5 days)
Malaria,HSI_MalariaIPTp,Malaria_Prevention_Iptp,1a,Over5OPD,
Malaria,HSI_Malaria_rdt_community,Malaria_Test,0,ConWithDCSA,
Malaria,HSI_Malaria_rdt,Malaria_Test,1a,Over5OPD,
Malaria,HSI_Malaria_Treatment,Malaria_Treatment,1a,Over5OPD,
Malaria,HSI_Malaria_Treatment_Complicated,Malaria_Treatment_Complicated,1b,Over5OPD,general_bed (5 days)
Measles,HSI_Measles_Treatment,Measles_Treatment,1a,Over5OPD,
NewbornOutcomes,HSI_NewbornOutcomes_ReceivesPostnatalCheck,PostnatalCare_Neonatal,1a,Under5OPD,
NewbornOutcomes,HSI_NewbornOutcomes_NeonatalWardInpatientCare,PostnatalCare_Neonatal_Inpatient,,,general_bed (5 days)
OesophagealCancer,HSI_OesophagealCancer_Investigation_Following_Dysphagia,OesophagealCancer_Investigation,1b,Over5OPD,
OesophagealCancer,HSI_OesophagealCancer_PalliativeCare,OesophagealCancer_PalliativeCare,2,,general_bed (15 days)
OesophagealCancer,HSI_OesophagealCancer_StartTreatment,OesophagealCancer_Treatment,3,MajorSurg,general_bed (5 days)
OesophagealCancer,HSI_OesophagealCancer_PostTreatmentCheck,OesophagealCancer_Treatment,3,Over5OPD,
OtherAdultCancer,HSI_OtherAdultCancer_Investigation_Following_early_other_adult_ca_symptom,OtherAdultCancer_Investigation,1b,Over5OPD,
