District,Factor
Balaka,1
Blantyre,1
Blantyre City,1
Chikwawa,1
Chiradzulu,1
Chitipa,1
Dedza,1
Dowa,1
Karonga,1
Kasungu,1
Likoma,1
Lilongwe,1
Lilongwe City,1
Machinga,1
Mangochi,1
Mchinji,1
Mulanje,1
Mwanza,1
Mzimba,1
Mzuzu City,1
Neno,1
Nkhata Bay,1
Nkhotakota,1
Nsanje,1
Ntcheu,1
Ntchisi,1
Phalombe,1
Rumphi,1
Salima,1
Thyolo,1
Zomba,1
Zomba City,1
