age_from,age_to,year,sex,pop_size,prev ,prev_prop,prevalence_simplified,updated_prev_mw2021_v14,prop_hiv_mw2021_v14
50,50,2010,F,37705,5150,0.13658665959421828,0.1221,5040,0.13366927463201167
51,51,2010,F,36349,4601,0.12657844782524966,0.1221,4498,0.12374480728493219
52,52,2010,F,34940,4101,0.11737263880938752,0.1221,4005,0.11462507155123068
53,53,2010,F,33378,3643,0.10914374737851279,0.1221,3554,0.10647732039067649
54,54,2010,F,31774,3229,0.10162396928306162,0.1221,3148,0.09907471517593
55,55,2010,F,30268,2858,0.09442315316505881,0.1221,2783,0.0919452887537994
56,56,2010,F,28745,2538,0.08829361628109236,0.1221,2470,0.0859279874760828
57,57,2010,F,27692,2280,0.08233424815831288,0.1221,2217,0.08005922288025423
58,58,2010,F,27338,2082,0.0761577291681908,0.1221,2023,0.07399956105055235
59,59,2010,F,27408,1926,0.07027145359019264,0.1221,1870,0.0682282545242265
60,60,2010,F,27430,1795,0.06543930003645644,0.1221,1742,0.06350710900473934
61,61,2010,F,27538,1671,0.06067978792940664,0.1221,1621,0.058864115041034205
62,62,2010,F,27217,1543,0.05669250835874637,0.1221,1496,0.05496564647095565
63,63,2010,F,26177,1406,0.05371127325514765,0.1221,1363,0.05206860984834014
64,64,2010,F,24667,1267,0.05136417075444927,0.1221,1227,0.04974257104633721
65,65,2010,F,23238,1136,0.048885446251828904,0.1221,1101,0.04737929253808417
66,66,2010,F,21788,1020,0.046814760418579036,0.1221,988,0.045346062052505964
67,67,2010,F,20377,914,0.044854492810521666,0.1221,886,0.04348039456249693
68,68,2010,F,19092,820,0.042949926670856904,0.1221,794,0.04158809972763461
69,69,2010,F,17886,735,0.041093592754109357,0.1221,712,0.03980767080398077
70,70,2010,F,16632,657,0.039502164502164504,0.1221,636,0.03823953823953824
71,71,2010,F,15362,584,0.03801588334852233,0.1221,566,0.036844160916547325
72,72,2010,F,14119,516,0.036546497627310714,0.1221,499,0.03534244634889157
73,73,2010,F,12917,451,0.03491522799411628,0.1221,437,0.033831384996516216
74,74,2010,F,11756,390,0.03317454916638312,0.1221,378,0.03215379380741749
75,75,2010,F,10624,336,0.03162650602409638,0.1221,326,0.03068524096385542
76,76,2010,F,9525,289,0.030341207349081366,0.1221,280,0.029396325459317585
77,77,2010,F,8491,249,0.029325167824755624,0.1221,242,0.02850076551642916
78,78,2010,F,7537,217,0.02879129627172615,0.1221,210,0.027862544779089823
79,79,2010,F,6654,190,0.02855425308085362,0.1221,185,0.027802825368199578
80,80,2010,F,5817,560,0.09626955475330927,0.1221,538,0.09248753653085783
0,0,2010,M,297207,4724,0.015894645819243828,0.0194,4795,0.016133536558694782
1,1,2010,M,284655,4853,0.017048708085225975,0.0194,4905,0.01723138536122675
2,2,2010,M,273219,4429,0.01621043924470846,0.0194,4471,0.016364162082432042
3,3,2010,M,262808,4690,0.017845727679522694,0.0194,4738,0.018028370521445312
4,4,2010,M,253325,4658,0.018387446955491958,0.0194,4710,0.018592716865686372
5,5,2010,M,244679,4610,0.018841012101569812,0.0194,4699,0.01920475398379101
6,6,2010,M,236775,4604,0.019444620420230176,0.0194,4663,0.019693802132826524
7,7,2010,M,229520,4564,0.01988497734402231,0.0194,4623,0.0201420355524573
8,8,2010,M,222819,4502,0.020204740170272732,0.0194,4561,0.020469529079656584
9,9,2010,M,216579,4415,0.020385171230821085,0.0194,4474,0.020657589147608957
10,10,2010,M,210804,4277,0.020288988823741486,0.0194,4335,0.02056412591791427
11,11,2010,M,205498,4094,0.019922335010559712,0.0194,4153,0.02020944242766353
12,12,2010,M,200078,3880,0.01939243694958966,0.0194,3941,0.019697318045962076
13,13,2010,M,194256,3631,0.018691829338604728,0.0194,3692,0.019005847953216373
14,14,2010,M,188230,3357,0.01783456409711523,0.0194,3415,0.018142697763374595
15,15,2010,M,182424,3102,0.017004341534008684,0.0796,3154,0.017289391746699995
16,16,2010,M,176678,2816,0.015938600165272418,0.0796,2857,0.01617066075006509
17,17,2010,M,171239,2523,0.014733793119558044,0.0796,2551,0.014897307272291943
18,18,2010,M,166249,2332,0.014027152043019808,0.0796,2353,0.014153468592292285
19,19,2010,M,161507,2343,0.014507111146885274,0.0796,2365,0.014643328152959314
20,20,2010,M,156796,2572,0.016403479680604096,0.0796,2604,0.01660756651955407
21,21,2010,M,152312,3008,0.019748936393718157,0.0796,3058,0.020077209937496718
22,22,2010,M,147100,3603,0.02449354180829368,0.0796,3673,0.02496940856560163
23,23,2010,M,140712,4287,0.030466484734777418,0.0796,4375,0.031091875604070725
24,24,2010,M,133658,5002,0.03742387286956261,0.0796,5105,0.03819449640126293
25,25,2010,M,126800,5712,0.04504731861198738,0.0796,5826,0.04594637223974763
26,26,2010,M,119850,6429,0.053642052565707136,0.0796,6550,0.05465164789319983
27,27,2010,M,113865,7165,0.0629253941070566,0.0796,7290,0.06402318535107364
28,28,2010,M,109423,7946,0.07261727424764446,0.0796,8073,0.07377790775248348
29,29,2010,M,105976,8763,0.08268853325281196,0.0796,8888,0.0838680455952291
30,30,2010,M,102428,9563,0.09336314289061584,0.0796,9684,0.09454446049908229
31,31,2010,M,99030,10283,0.10383722104412804,0.0796,10395,0.10496819145713421
32,32,2010,M,95289,10901,0.11439935354552991,0.0796,11002,0.11545928701109257
33,33,2010,M,90859,11373,0.12517196975533518,0.0796,11461,0.12614050341738298
34,34,2010,M,86015,11694,0.13595303144800325,0.0796,11767,0.13680172063012266
35,35,2010,M,81402,11851,0.14558610353553966,0.0796,11900,0.14618805434755902
36,36,2010,M,76924,11885,0.15450314596224846,0.0796,11910,0.15482814206229525
37,37,2010,M,72488,11768,0.1623441121289041,0.0796,11766,0.1623165213552588
38,38,2010,M,68124,11511,0.16897128765192884,0.0796,11483,0.16856027244436617
39,39,2010,M,63853,11132,0.17433793243856985,0.0796,11080,0.173523561931311
40,40,2010,M,59678,10648,0.17842420992660613,0.0796,10576,0.17721773517879286
41,41,2010,M,55603,10088,0.18142905958311603,0.0796,10001,0.17986439580598168
42,42,2010,M,51756,9488,0.18332174047453437,0.0796,9390,0.1814282402040343
43,43,2010,M,48202,8874,0.1841002448031202,0.0796,8769,0.18192191195386084
44,44,2010,M,44907,8258,0.18389115282695348,0.0796,8149,0.18146391431179995
45,45,2010,M,41769,7578,0.18142641672053436,0.0796,7466,0.17874500227441403
46,46,2010,M,38806,6894,0.177652940266969,0.0796,6780,0.1747152502190383
47,47,2010,M,36081,6232,0.17272248551869404,0.0796,6119,0.1695906432748538
48,48,2010,M,33614,5609,0.166864996727554,0.0796,5500,0.16362230023204616
49,49,2010,M,31389,5033,0.1603427952467425,0.0796,4927,0.15696581605020868
50,50,2010,M,29364,4507,0.15348726331562457,0.0796,4407,0.15008173273395994
51,51,2010,M,27540,4028,0.14625998547567176,0.0796,3933,0.14281045751633986
52,52,2010,M,25940,3590,0.13839629915188897,0.0796,3501,0.13496530454895914
53,53,2010,M,24569,3189,0.12979771256461395,0.0796,3106,0.12641947169196954
54,54,2010,M,23416,2826,0.12068670994192006,0.0796,2750,0.11744106593782029
55,55,2010,M,22391,2499,0.1116073422357197,0.0796,2430,0.10852574695190031
56,56,2010,M,21427,2215,0.10337424744481262,0.0796,2151,0.10038736173986092
57,57,2010,M,20853,1976,0.09475854793075338,0.0796,1917,0.09192921881743633
58,58,2010,M,20798,1781,0.08563323396480431,0.0796,1727,0.08303683046446773
59,59,2010,M,21057,1619,0.07688654604169635,0.0796,1569,0.07451203875195897
60,60,2010,M,21325,1480,0.0694021101992966,0.0796,1433,0.06719812426729191
61,61,2010,M,21695,1351,0.06227241299838673,0.0796,1308,0.06029038949066605
62,62,2010,M,21668,1224,0.05648883145652575,0.0796,1184,0.05464279121284844
63,63,2010,M,20978,1094,0.05214987129373629,0.0796,1058,0.050433787777671844
64,64,2010,M,19847,965,0.0486219579785358,0.0796,934,0.047060009069380765
65,65,2010,M,18783,847,0.04509396794974179,0.0796,819,0.043603258265452804
66,66,2010,M,17702,743,0.041972658456671565,0.0796,718,0.04056038865664897
67,67,2010,M,16592,650,0.039175506268081,0.0796,628,0.03784956605593057
68,68,2010,M,15502,569,0.036704941297897045,0.0796,550,0.03547929299445233
69,69,2010,M,14425,498,0.034523396880415946,0.0796,481,0.03334488734835355
70,70,2010,M,13302,434,0.03262667268079988,0.0796,419,0.03149902270335288
71,71,2010,M,12144,375,0.030879446640316204,0.0796,363,0.029891304347826088
72,72,2010,M,11053,323,0.029222835429295213,0.0796,312,0.02822763050755451
73,73,2010,M,10073,276,0.027399980144941924,0.0796,267,0.026506502531519906
74,74,2010,M,9176,235,0.0256102877070619,0.0796,227,0.0247384481255449
75,75,2010,M,8290,199,0.024004825090470448,0.0796,192,0.02316043425814234
76,76,2010,M,7435,167,0.022461331540013448,0.0796,161,0.021654337592468056
77,77,2010,M,6606,140,0.02119285498032092,0.0796,135,0.020435967302452316
78,78,2010,M,5796,117,0.020186335403726708,0.0796,113,0.019496204278812976
79,79,2010,M,5017,98,0.019533585808251944,0.0796,95,0.018935618895754434
80,80,2010,M,4287,243,0.05668299510146956,0.0796,234,0.05458362491252624
