age_from,age_to,year,sex,pop_size,prev ,prev_prop,prevalence_simplified,updated_prev_mw2021_v14,prop_hiv_mw2021_v14
0,0,2010,F,290951,4618,0.01587208842726095,0.019,4688,0.0161126787672151
1,1,2010,F,279629,4759,0.017018978718230226,0.019,4810,0.017201363234857613
2,2,2010,F,269211,4353,0.01616947301559,0.019,4394,0.016321769912819313
3,3,2010,F,259626,4618,0.017787124556092226,0.019,4665,0.017968154191028634
4,4,2010,F,250803,4598,0.018333114037710874,0.019,4648,0.018532473694493286
5,5,2010,F,242668,4561,0.018795226399854946,0.019,4650,0.019161982626469086
6,6,2010,F,235152,4566,0.01941722800571545,0.019,4625,0.01966812955024835
7,7,2010,F,228181,4536,0.019878955741275565,0.019,4595,0.020137522405458824
8,8,2010,F,221685,4482,0.02021787671696326,0.019,4540,0.020479509213523695
9,9,2010,F,215590,4401,0.02041374831856765,0.019,4460,0.020687415928382576
10,10,2010,F,209889,4268,0.020334557790069988,0.019,4326,0.020610894329860067
11,11,2010,F,204569,4090,0.019993254109860244,0.019,4150,0.020286553681154035
12,12,2010,F,199251,3884,0.019493001289830416,0.019,3945,0.019799147808542993
13,13,2010,F,193741,3644,0.018808615626016177,0.019,3705,0.01912346896113884
14,14,2010,F,188151,3379,0.017958979755621815,0.019,3438,0.018272557679735957
15,15,2010,F,182718,3932,0.021519499994527087,0.1221,3999,0.021886185269103207
16,16,2010,F,177308,4759,0.02684030049405554,0.1221,4836,0.027274573059309224
17,17,2010,F,172159,5755,0.03342840049024448,0.1221,5843,0.03393955587567307
18,18,2010,F,167381,6850,0.040924597176501515,0.1221,6958,0.04156983170132811
19,19,2010,F,162782,8009,0.04920077158408178,0.1221,8144,0.05003010160828593
20,20,2010,F,158195,9219,0.05827617813458074,0.1221,9386,0.059331837289421284
21,21,2010,F,153823,10491,0.06820176436553702,0.1221,10693,0.06951496200178127
22,22,2010,F,148590,11734,0.07896897503196716,0.1221,11963,0.0805101285416246
23,23,2010,F,141995,12861,0.09057361174689249,0.1221,13104,0.09228493961054966
24,24,2010,F,134608,13847,0.10286907167478902,0.1221,14092,0.10468917152026626
25,25,2010,F,127415,14667,0.11511203547463014,0.1221,14900,0.11694070556841817
26,26,2010,F,120117,15386,0.12809177718391235,0.1221,15602,0.12989002389337062
27,27,2010,F,113769,16071,0.1412599214197189,0.1221,16268,0.14299150032082553
28,28,2010,F,108961,16802,0.15420196216995072,0.1221,16980,0.15583557419627206
29,29,2010,F,105161,17559,0.16697254685672444,0.1221,17717,0.16847500499234508
30,30,2010,F,101286,18236,0.18004462610824792,0.1221,18373,0.18139723160160337
31,31,2010,F,97601,18729,0.19189352568108933,0.1221,18839,0.19302056331390047
32,32,2010,F,93629,19024,0.20318491065802263,0.1221,19101,0.20400730542887352
33,33,2010,F,89039,19054,0.21399611406237717,0.1221,19094,0.21444535540605802
34,34,2010,F,84121,18830,0.22384422439105575,0.1221,18831,0.22385611202910094
35,35,2010,F,79492,18343,0.23075278015397777,0.1221,18303,0.23024958486388566
36,36,2010,F,75030,17689,0.23575902972144475,0.1221,17614,0.23475942956150872
37,37,2010,F,70857,16873,0.23812749622479076,0.1221,16771,0.2366879771935024
38,38,2010,F,67095,15946,0.23766301512780386,0.1221,15826,0.23587450629704151
39,39,2010,F,63664,14949,0.23481088213118875,0.1221,14816,0.23272178939432017
40,40,2010,F,60343,13913,0.23056526854813317,0.1221,13772,0.22822862635268382
41,41,2010,F,57163,12865,0.22505816699613387,0.1221,12720,0.22252156114969474
42,42,2010,F,54226,11838,0.21830856046914765,0.1221,11693,0.2156345664441412
43,43,2010,F,51558,10847,0.21038442142829436,0.1221,10704,0.20761084603747237
44,44,2010,F,49122,9906,0.20166117014779528,0.1221,9766,0.1988111233255975
45,45,2010,F,46837,8953,0.1911522941264385,0.1221,8815,0.1882059055874629
46,46,2010,F,44700,8050,0.18008948545861297,0.1221,7916,0.1770917225950783
47,47,2010,F,42728,7213,0.16881202022093242,0.1221,7084,0.1657929226736566
48,48,2010,F,40914,6451,0.1576721904482573,0.1221,6328,0.15466588453829985
49,49,2010,F,39237,5763,0.14687667252848077,0.1221,5647,0.14392027932818513
