year,age  ,single_age,sex,art_coverage,prop_coverage,prop_coverage_revised,prop_coverage_reduced
2009,80,99,F,49.21,0.4921,0.249293126,0.124646563
2009,80,100,F,49.21,0.4921,0.249293126,0.124646563
2009,0_4  ,0,M,14.66,0.1466,0.085434855,0.042717428
2009,0_4  ,1,M,14.66,0.1466,0.085434855,0.042717428
2009,0_4  ,2,M,14.66,0.1466,0.085434855,0.042717428
2009,0_4  ,3,M,14.66,0.1466,0.085434855,0.042717428
2009,0_4  ,4,M,14.66,0.1466,0.085434855,0.042717428
2009,5_9  ,5,M,11.51,0.1151,0.085434855,0.042717428
2009,5_9  ,6,M,11.51,0.1151,0.085434855,0.042717428
2009,5_9  ,7,M,11.51,0.1151,0.085434855,0.042717428
2009,5_9  ,8,M,11.51,0.1151,0.085434855,0.042717428
2009,5_9  ,9,M,11.51,0.1151,0.085434855,0.042717428
2009,10_14,10,M,8.84,0.0884,0.085434855,0.042717428
2009,10_14,11,M,8.84,0.0884,0.085434855,0.042717428
2009,10_14,12,M,8.84,0.0884,0.085434855,0.042717428
2009,10_14,13,M,8.84,0.0884,0.085434855,0.042717428
2009,10_14,14,M,8.84,0.0884,0.085434855,0.042717428
2009,15_19,15,M,25.99,0.2599,0.230712338,0.115356169
2009,15_19,16,M,25.99,0.2599,0.230712338,0.115356169
2009,15_19,17,M,25.99,0.2599,0.230712338,0.115356169
2009,15_19,18,M,25.99,0.2599,0.230712338,0.115356169
2009,15_19,19,M,25.99,0.2599,0.230712338,0.115356169
2009,20_24,20,M,7.87,0.0787,0.230712338,0.115356169
2009,20_24,21,M,7.87,0.0787,0.230712338,0.115356169
2009,20_24,22,M,7.87,0.0787,0.230712338,0.115356169
2009,20_24,23,M,7.87,0.0787,0.230712338,0.115356169
2009,20_24,24,M,7.87,0.0787,0.230712338,0.115356169
2009,25_29,25,M,8.31,0.0831,0.230712338,0.115356169
2009,25_29,26,M,8.31,0.0831,0.230712338,0.115356169
2009,25_29,27,M,8.31,0.0831,0.230712338,0.115356169
2009,25_29,28,M,8.31,0.0831,0.230712338,0.115356169
2009,25_29,29,M,8.31,0.0831,0.230712338,0.115356169
2009,30_34,30,M,14.48,0.1448,0.230712338,0.115356169
2009,30_34,31,M,14.48,0.1448,0.230712338,0.115356169
2009,30_34,32,M,14.48,0.1448,0.230712338,0.115356169
2009,30_34,33,M,14.48,0.1448,0.230712338,0.115356169
2009,30_34,34,M,14.48,0.1448,0.230712338,0.115356169
2009,35_39,35,M,21.13,0.2113,0.230712338,0.115356169
2009,35_39,36,M,21.13,0.2113,0.230712338,0.115356169
2009,35_39,37,M,21.13,0.2113,0.230712338,0.115356169
2009,35_39,38,M,21.13,0.2113,0.230712338,0.115356169
2009,35_39,39,M,21.13,0.2113,0.230712338,0.115356169
2009,40_44,40,M,26.91,0.2691,0.230712338,0.115356169
2009,40_44,41,M,26.91,0.2691,0.230712338,0.115356169
2009,40_44,42,M,26.91,0.2691,0.230712338,0.115356169
2009,40_44,43,M,26.91,0.2691,0.230712338,0.115356169
2009,40_44,44,M,26.91,0.2691,0.230712338,0.115356169
2009,45_49,45,M,32.41,0.3241,0.230712338,0.115356169
2009,45_49,46,M,32.41,0.3241,0.230712338,0.115356169
2009,45_49,47,M,32.41,0.3241,0.230712338,0.115356169
2009,45_49,48,M,32.41,0.3241,0.230712338,0.115356169
2009,45_49,49,M,32.41,0.3241,0.230712338,0.115356169
2009,50_54,50,M,37.95,0.3795,0.230712338,0.115356169
2009,50_54,51,M,37.95,0.3795,0.230712338,0.115356169
2009,50_54,52,M,37.95,0.3795,0.230712338,0.115356169
2009,50_54,53,M,37.95,0.3795,0.230712338,0.115356169
2009,50_54,54,M,37.95,0.3795,0.230712338,0.115356169
2009,55_59,55,M,37.55,0.3755,0.230712338,0.115356169
2009,55_59,56,M,37.55,0.3755,0.230712338,0.115356169
2009,55_59,57,M,37.55,0.3755,0.230712338,0.115356169
2009,55_59,58,M,37.55,0.3755,0.230712338,0.115356169
2009,55_59,59,M,37.55,0.3755,0.230712338,0.115356169
2009,60_64,60,M,36.54,0.3654,0.230712338,0.115356169
2009,60_64,61,M,36.54,0.3654,0.230712338,0.115356169
2009,60_64,62,M,36.54,0.3654,0.230712338,0.115356169
2009,60_64,63,M,36.54,0.3654,0.230712338,0.115356169
2009,60_64,64,M,36.54,0.3654,0.230712338,0.115356169
2009,65_69,65,M,36.07,0.3607,0.230712338,0.115356169
2009,65_69,66,M,36.07,0.3607,0.230712338,0.115356169
2009,65_69,67,M,36.07,0.3607,0.230712338,0.115356169
2009,65_69,68,M,36.07,0.3607,0.230712338,0.115356169
2009,65_69,69,M,36.07,0.3607,0.230712338,0.115356169
2009,70_74,70,M,35.84,0.3584,0.230712338,0.115356169
2009,70_74,71,M,35.84,0.3584,0.230712338,0.115356169
2009,70_74,72,M,35.84,0.3584,0.230712338,0.115356169
2009,70_74,73,M,35.84,0.3584,0.230712338,0.115356169
2009,70_74,74,M,35.84,0.3584,0.230712338,0.115356169
2009,75_79,75,M,35.6,0.356,0.230712338,0.115356169
2009,75_79,76,M,35.6,0.356,0.230712338,0.115356169
2009,75_79,77,M,35.6,0.356,0.230712338,0.115356169
2009,75_79,78,M,35.6,0.356,0.230712338,0.115356169
2009,75_79,79,M,35.6,0.356,0.230712338,0.115356169
2009,80,80,M,39.77,0.3977,0.230712338,0.115356169
2009,80,81,M,39.77,0.3977,0.230712338,0.115356169
2009,80,82,M,39.77,0.3977,0.230712338,0.115356169
2009,80,83,M,39.77,0.3977,0.230712338,0.115356169
2009,80,84,M,39.77,0.3977,0.230712338,0.115356169
2009,80,85,M,39.77,0.3977,0.230712338,0.115356169
2009,80,86,M,39.77,0.3977,0.230712338,0.115356169
2009,80,87,M,39.77,0.3977,0.230712338,0.115356169
2009,80,88,M,39.77,0.3977,0.230712338,0.115356169
2009,80,89,M,39.77,0.3977,0.230712338,0.115356169
2009,80,90,M,39.77,0.3977,0.230712338,0.115356169
2009,80,91,M,39.77,0.3977,0.230712338,0.115356169
2009,80,92,M,39.77,0.3977,0.230712338,0.115356169
2009,80,93,M,39.77,0.3977,0.230712338,0.115356169
2009,80,94,M,39.77,0.3977,0.230712338,0.115356169
2009,80,95,M,39.77,0.3977,0.230712338,0.115356169
2009,80,96,M,39.77,0.3977,0.230712338,0.115356169
2009,80,97,M,39.77,0.3977,0.230712338,0.115356169
2009,80,98,M,39.77,0.3977,0.230712338,0.115356169
2009,80,99,M,39.77,0.3977,0.230712338,0.115356169
2009,80,100,M,39.77,0.3977,0.230712338,0.115356169
