parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,Notes
pop_intervention_cost,1300000000,local,1000,1E+12,vague prior,,implementation cost of Pop intervention for whole population of Malawi in 2016 (2015 MWK - Malawi Kwacha)
ppfp_intervention_cost,146000000,local,1000,1E+12,vague prior,,implementation cost of PPFP intervention for whole population of Malawi in 2016 (2015 MWK - Malawi Kwacha)
