Sex,Age_Grp,Acute glomerulonephritis,Acute hepatitis,Adverse effects of medical treatment,African trypanosomiasis,Alcohol use disorders,Alzheimer's disease and other dementias,Animal contact,Aortic aneurysm,Appendicitis,Asthma,Atrial fibrillation and flutter,Bacterial skin diseases,Bladder cancer,Brain and central nervous system cancer,Breast cancer,Cardiomyopathy and myocarditis,Cervical cancer,Chagas disease,Chronic kidney disease,Chronic obstructive pulmonary disease,Cirrhosis and other chronic liver diseases,Colon and rectum cancer,Conflict and terrorism,Congenital birth defects,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Diabetes mellitus,Diarrheal diseases,Diphtheria,Drowning,Drug use disorders,Eating disorders,Ebola,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Environmental heat and cold exposure,Esophageal cancer,Exposure to forces of nature,Exposure to mechanical forces,Falls,"Fire, heat, and hot substances",Foreign body,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gynecological diseases,HIV/AIDS,Hemoglobinopathies and hemolytic anemias,Hodgkin lymphoma,Hypertensive heart disease,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Invasive Non-typhoidal Salmonella (iNTS),Ischemic heart disease,Kidney cancer,Larynx cancer,Leishmaniasis,Leukemia,Lip and oral cavity cancer,Liver cancer,Lower extremity peripheral arterial disease,Lower respiratory infections,Malaria,Malignant skin melanoma,Maternal disorders,Measles,Meningitis,Mesothelioma,Motor neuron disease,Multiple myeloma,Multiple sclerosis,Nasopharynx cancer,Neonatal disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-rheumatic valvular heart disease,Other cardiovascular and circulatory diseases,Other chronic respiratory diseases,Other digestive diseases,Other intestinal infectious diseases,Other malignant neoplasms,Other musculoskeletal disorders,Other neglected tropical diseases,Other neoplasms,Other neurological disorders,Other nutritional deficiencies,Other pharynx cancer,Other skin and subcutaneous diseases,Other transport injuries,Other unintentional injuries,Other unspecified infectious diseases,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pneumoconiosis,Poisonings,Police conflict and executions,Prostate cancer,Protein-energy malnutrition,Rabies,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Schistosomiasis,Self-harm,Sexually transmitted infections excluding HIV,Stomach cancer,Stroke,Sudden infant death syndrome,Testicular cancer,Tetanus,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Tuberculosis,Typhoid and paratyphoid,Upper digestive system diseases,Upper respiratory infections,Urinary diseases and male infertility,Uterine cancer,Varicella and herpes zoster,Vascular intestinal disorders,Yellow fever,Zika virus,pertussis
F,0-4,5.1409228552780124e-05,0.0005262183057492983,0.0030263182756434938,6.20323179809346e-07,0.0,0.0,0.0017523863354966824,0.0,0.0003419728247597507,0.002752196418883557,0.0,0.0009940075596147776,0.0,0.0009804101500619933,0.0,0.0026291944524113537,0.0,0.0,0.002110930476314132,0.0004993559115720202,0.001213758330965323,0.0,0.0,0.0694313829568638,2.682225053172251e-05,5.552592025746473e-06,2.0259983477510012e-06,0.000403497572413137,0.0007045924483395276,0.08136863826095315,5.5282790138541e-05,0.004173084920916542,0.0,0.0,0.0,0.0005766109050242052,0.00017037993869234452,0.0006245676467524077,0.00024967055490234257,0.0,0.0002851470589035912,0.0017195885281290314,0.0009397979442931592,0.003622327874413472,0.0014357974716733572,0.0001446805711453547,0.0,0.0,0.027802284112738673,0.001574661347750493,1.1575342584611719e-05,0.0,0.0007374878245256978,0.0002627734758717922,0.00045973181946908445,0.0010177389982686743,4.173602107123242e-05,0.00011282016132737959,0.017345443059314014,0.0,0.0005761297528706076,0.0,0.0,0.0024275277281746795,0.0,0.000944817118852154,0.0,0.13557054602115667,0.15202288742178596,7.301920739177533e-05,0.0,0.00631995139867806,0.02764864203305822,0.0,2.1657594178563166e-05,0.0,0.0,0.0,0.2928411439112186,0.0006600273216807787,0.0,0.0,0.0007805699879608326,0.0004584637523468621,0.0006471041155239725,0.00032105468725017157,0.006827734718159666,0.0,0.00012721206021293086,1.6582741084306492e-05,0.0003623735296839005,0.0002859384759027487,0.0,9.618144284530941e-06,0.0002732224961186591,0.0008072552611114269,0.0023006192222970578,0.0001111414046964905,0.0,0.0,1.851175494118418e-05,0.002852593303522005,0.0,0.0,0.0023273831079129205,1.1940587137708326e-05,0.0,0.034858854653875095,6.122161322851892e-05,0.00022325959316494903,0.0,0.004379306257884259,5.300297518952745e-05,0.0,0.04020855698944666,0.0,0.0007526518838136902,0.004221942717203889,0.0,0.0044550437254125,0.0,0.0,0.01259289022195333,0.0011045702400627317,0.0001067525969835631,0.0016393978789836226,0.0007743630006314117,0.0,0.0016381943203688887,2.4442913511643918e-05,0.0,0.0,0.023075400518505988
F,10-14,0.0005478362682428478,0.0032764502575809333,0.004629926885496735,3.4810001765293255e-05,0.0,0.0,0.005588110219976834,0.0,0.0030593647834907915,0.006561985272520501,0.0,0.00026209606547786837,0.0,0.005456457634854117,0.0,0.002498809891056971,0.0,0.0,0.012647637988733758,0.00045081558364114174,0.01211594478457705,0.00037261222945970707,0.0,0.02137319801685312,7.850435955385039e-05,0.00014050397720113332,2.0281613171965448e-06,0.0008015681866198236,0.0025949966895308456,0.07242318325803715,5.016431199474471e-05,0.011918204570204366,0.0,5.562634544618187e-06,0.0,0.0014434637789514087,0.0016006284043295225,0.001178053897295124,0.0008616959991684498,0.0,0.0030521072629463744,0.0025226504731970575,0.004755755612854419,0.004279967806252164,0.0025021321724554117,0.0004645740283835843,0.0,4.470334952096891e-05,0.34367112390502513,0.008245060074718463,0.0026318954364976323,0.0,0.006571974108053331,0.00031229330272504685,0.0004069531895890914,0.004000266424153111,0.00013216840087765513,6.513734504770782e-05,0.011388724535477027,0.0,0.0008379736404105008,0.0,0.0,0.0049746330456558125,0.0004039079159205843,0.0034078926338823807,0.0,0.048612696023499,0.10557571672835232,0.0005994578825310383,0.006226675532530115,0.002798798781799814,0.05916038944897978,0.0,0.00017289167639192527,0.0,7.811918746310403e-06,0.00022679673061120655,0.0,0.0041017903512924,0.0,0.0,0.008342536017518557,0.0007425993241317885,0.0023032317738010725,0.00026909449323572125,0.05179179375238074,0.0005504842079926051,0.0002285198723486327,0.0001778352513171633,0.0014674986416257907,0.0003639923714504291,0.0,7.476456822387029e-05,0.002188224907489335,0.0036673747890605297,0.0005761531568604062,0.0001349745784360511,0.001436870144594604,0.0,0.00022434863646360922,0.005284535953652711,0.0,0.0,0.002975110167187501,0.00017557491705224164,0.0,0.01701123048320311,0.0003304552039177386,0.0028637784703824773,4.6343060914377505e-05,0.032345481363367394,0.0008203549338076248,0.007984823328823285,0.0006788173661336338,0.0,0.00536528351309108,0.0,0.0,0.002454845839814695,0.0005309607809038031,0.00034042348305856864,0.023884108207650946,0.010155685997335214,0.0007739480228925627,0.0005161389643843652,0.0018730639135945118,0.0,0.0016415857013695264,8.001249787381653e-05,0.0,0.0,0.0031976074918047344
F,15-19,0.00021499848341558368,0.004046438984147461,0.0047020265126434925,3.2636197641973246e-05,0.0001551572854163282,0.0,0.0029577622128901795,0.00027255521734334385,0.0022686379462629647,0.007574151651468037,0.0,0.0006672738059786419,0.0004767876731201007,0.0026685478584937733,0.0021359316800210458,0.0013207214864664185,0.0012008843014964135,0.0,0.012036362847820132,0.0013385253710926624,0.01783374989870389,0.00046978287939627354,0.0,0.01046332195393712,4.074767187184375e-05,0.00015524953783561737,0.0002638086214419679,0.0018797433633329994,0.005651716720435129,0.08302387900476402,1.50104217785535e-05,0.002951001148902326,0.0012721032745410404,2.2475553528208645e-05,0.0,0.0012082574227818936,0.0013039314955250964,0.0010275590343815828,0.0015782911404421118,0.0,0.001919459720836019,0.0038428297354274697,0.002101913293259099,0.003912197891822578,0.0033414272740712194,0.0010273888043087842,0.0,0.00014413016803381157,0.24718161416554488,0.007529571777222338,0.0030189640986432883,0.0018296739683488926,0.012230047217077936,0.0005696910177647821,0.00022183443657592265,0.008642009193341692,0.0001699455349919283,1.9562569339180964e-05,0.006649634768182365,0.012036684518855915,0.0004171320054666455,0.0,0.0,0.004856576427327273,0.0006830980510792876,0.0007341223439431472,0.0,0.04427655869654497,0.05635410089445823,0.0014944895154187698,0.11734771503207647,0.0008583818097498126,0.050279322656690675,0.0,0.00012017848044522829,0.0,4.01583531791195e-05,0.0001829423117354506,0.0,0.004192306778203581,0.0,0.0010717055055550157,0.005156778792199318,0.000682928566412078,0.0024644208791900837,0.00010958114361313772,0.0384700727700488,0.0015734072193888534,0.00012407421982426185,0.00012447032802941665,0.0009014714783083091,0.0009642524056161343,0.0,6.89822976011177e-05,0.002487390729448942,0.003662332843847561,0.0007615827386297062,5.094074029222763e-05,0.001739480563309747,0.00012953073081323901,0.0004991243625832494,0.006843684601388442,0.0,5.5602328146798966e-05,0.0032538575109877592,0.00012547882633218895,0.0,0.008121325160200348,0.0004377120822113928,0.005837986475064178,6.903258692207192e-05,0.03579607234534387,0.00104051149697767,0.016937382305238932,0.0034856634727518424,0.00019607957909705106,0.009110056605779591,0.0,0.0,0.004455993950205591,0.0011292019664212096,0.0002585490466346669,0.05763143401118494,0.005644794308861877,0.0003852038805219938,0.0002509626749267725,0.004677149452047698,0.0,0.0006624640442942476,0.00015560364793268586,0.0,0.0,0.0009399771565297128
F,20-24,0.00010066704015466084,0.004899361264811809,0.004302565798477668,2.067919813093797e-05,0.00010647589312737792,0.0,0.0018921277834393552,0.000310637448342594,0.0010997149207980165,0.007492772640697282,0.0,0.0005925799004910216,0.0005117864231209774,0.001556041426139078,0.0037392605031388174,0.0011144086262492102,0.007427793956037076,0.0,0.011850952879661246,0.0015612170758513067,0.013236028392074864,0.0008197360245917469,0.0,0.005882800312027083,3.119072610064392e-05,0.00014916506807236625,9.635081337782153e-07,0.00027324878946044783,0.004523370204328727,0.06608177784741015,5.796222583823627e-06,0.0014134440429560524,0.0005436232996330182,1.8984748906847306e-05,0.0,0.0007810986382635947,0.0013427234964047486,0.0007896930568959452,0.0008564500816832511,0.001572834985219084,0.001339945808575113,0.002412951952701372,0.0013415922744742838,0.003009501513465432,0.002139031845215049,0.0010754049979117472,7.266168729976777e-05,0.0003892267401139535,0.3328162337771228,0.004981581326950731,0.0033860121767629045,0.0019535693053070085,0.004736237086935192,0.00044856723524230147,0.0001513810155464938,0.00791297886856373,0.00019283522000044243,9.463421276322324e-06,0.006638442454089729,0.0074800200940605315,0.00037015348454055326,7.664610653026058e-05,0.0,0.002763625168749835,0.0007656433767548802,0.0006683830699996405,0.0,0.03224046945618398,0.04462772067128321,0.0032448331843747194,0.14949551945385062,0.0003143291213394162,0.028706084184260204,0.00012782790180217412,7.261125102493867e-05,7.38886418927582e-05,0.00015260209619879977,0.00015352066118925692,0.0,0.0028415896153903856,8.691564546617045e-05,0.0008906134177019387,0.004475056830863757,0.0006800197060838637,0.0018751844797373109,6.335310184706057e-05,0.03512280828378279,0.00144646718794241,7.023738044039784e-05,7.765430830096981e-05,0.0005538294863834782,0.0006405871626313591,7.260793356362693e-05,7.166950819190549e-05,0.002244592338996832,0.00215984304902901,0.0004539699395192926,1.8657617128266303e-05,0.0020820929701619913,0.00018442095596774553,0.000537165123410959,0.0006832478893286469,8.650370606818871e-06,4.266005177998564e-05,0.002315348003797148,7.710321511978997e-05,0.0,0.005831060621069085,0.00018226508183095312,0.005313229110191281,5.227367262466287e-05,0.021489054383612816,0.0010233699931329575,0.013037460131858152,0.003079520651665031,0.00047516528010959605,0.009461189903662348,0.0,0.0,0.0018618877778137023,0.0016801933278504796,0.00033306119472650283,0.06912519184405864,0.0023757399365150612,0.0069520430864829065,0.00013621191422023268,0.00336217787599727,8.502483949563664e-05,0.00041747230147222897,0.00018955234689315296,0.0,0.0,0.000517040296539184
F,25-29,0.00010380535106777293,0.0035678998839765866,0.0033273453726041465,1.410061104779869e-05,0.0003794853883877269,0.0,0.0016208888329760122,0.0003957993609669587,0.0008764107208556154,0.00652059445830284,0.0,0.00034651856883023875,0.0008360393629752764,0.0014959414059131228,0.005878735296286532,0.0014135858929722601,0.020019837991504898,0.0,0.008133117500991471,0.0013489434069614446,0.01768487325138624,0.0012847986515533592,0.0,0.0037473255615172074,3.59138795788516e-05,0.0001575928234748783,7.187688019879339e-07,0.0001993547923195664,0.003911476711071285,0.05040330388502013,3.978621847230464e-06,0.0009033610237616828,0.0004564804236083182,1.3648413628919214e-05,0.0,0.001061230760567546,0.0013369480145828173,0.0005745492739524109,0.0005378252478964625,0.0027265944392547508,0.0010719767331738128,0.00176551191898765,0.0012550257027118537,0.002166142554135606,0.0014334924016278234,0.0015318931067975817,5.55108450918473e-05,0.0003787942596426426,0.4166496161666031,0.003509333678912014,0.0030159061153376488,0.00319200984274475,0.004739628804623718,0.0005662398911676949,0.00011377126907808309,0.005143095345615003,0.00019110039272428366,6.844669275198747e-06,0.006322690348482512,0.005945855668003272,0.0005285485923041167,7.641175672806118e-05,0.0,0.0020268385220982986,0.000994716566666418,0.0006431085830763793,0.0,0.029104249873418957,0.0343141566914698,0.003925321022001135,0.12998284661561835,0.0001293680221459103,0.023432299886221582,0.00016561379044441416,4.9303473151689844e-05,6.0489085745627344e-05,0.0001802006343105973,0.00015773740926337145,0.0,0.0017478729419743368,7.68203907025479e-05,0.000757761061786825,0.0044643005046821616,0.0006368362904292633,0.0023098486361296283,2.230253929276208e-05,0.029103452770521888,0.0015770417065584584,4.9856668360964804e-05,6.378019049604696e-05,0.00039854444813527024,0.0008615354125903222,4.9260162056738945e-05,2.8344015108741693e-05,0.001510287203824954,0.0014503097378733608,0.00037185964112778453,1.4961482165113697e-05,0.002283003864028482,0.00023573637577838563,0.0006896263658140348,0.0006349480537061289,4.534878889583724e-06,3.5765702430847884e-05,0.0017737618185466406,5.266302322841793e-05,0.0,0.006183731616063388,5.4153776571675036e-05,0.0029778101748047466,7.000615966412938e-05,0.013040661119484365,0.0011251545690332955,0.009870143310220849,0.002442548431055993,0.000833277069853422,0.008817820969863638,0.0,0.0,0.0013010421960025702,0.0017090111559874292,0.00047768861204688413,0.06734997717468275,0.0012942545425294663,0.0031598175662286734,0.00012887220225381763,0.0008726059095374178,0.0001731434900314049,0.00033083087088822075,0.00018834246808513395,0.0,0.0,0.00024941653902582584
F,30-34,8.899718798420955e-05,0.0020300469767492177,0.0028552995610970073,1.1065551133806807e-05,0.00045286557400633465,0.0,0.0013777137904770883,0.0003871582252661972,0.0006165479252384107,0.005324522173376201,8.623018665098761e-05,0.0003822017775604846,0.000896700567970402,0.0013106983172098783,0.011009346331399137,0.0012726488736407692,0.035051893093372526,0.0,0.008767519532098304,0.001293455616012228,0.01854740013008219,0.0017429286466158836,0.0,0.0021525530921043157,3.4777429821294173e-05,0.0001442375256218589,4.4083446576164203e-07,0.00012418337014114133,0.004263474057491199,0.040120235238828086,3.737877966905946e-06,0.0007061826467352438,0.0006706830049918018,9.401891873781585e-06,0.0,0.0007999471829043079,0.0007927942467343423,0.0009892182586687262,0.0004562818126490674,0.004215501210356685,0.000699668802853355,0.001775593026835071,0.000992092837289572,0.0015932641793208334,0.0011779248243956914,0.0014531132308772151,7.450804443735263e-05,0.0003958929447596763,0.486125831013128,0.0024928132061662485,0.0017855114793980712,0.004079301878974765,0.002855758259372446,0.00044342137279250877,0.00014463872571050693,0.0032285990695282885,0.0001779792643704584,6.926001577817263e-06,0.004229081786217269,0.00821240806979893,0.0006097170855563055,9.593612502008219e-05,0.0,0.0015807665251620724,0.0011541201837762078,0.0008949668839572037,0.0,0.023077468524599954,0.02716371160218334,0.004241410248991016,0.09985227823454132,6.105698544123251e-05,0.018527470401536555,0.0001497740038233597,3.386034574358597e-05,0.00011654838721447211,0.00023325632967405665,0.00020689907823605405,0.0,0.00145102112902035,9.281173949489379e-05,0.0005489999933692639,0.0030918198310943635,0.00044323910717793553,0.001811256835466769,3.936549068052513e-05,0.02124131471599743,0.0007576107479433601,2.9742253770926047e-05,5.065679518422739e-05,0.000319401348055967,0.0008510442902882299,3.419750573758237e-05,3.3570197505024493e-05,0.0008743006007394732,0.0010791665887385769,0.0002705018305554928,1.3519514445848848e-05,0.002648754001830578,0.00040281151653787567,0.0006026422153259848,0.00041075864014504364,6.642382584773783e-06,2.554468033591839e-05,0.0014295087411918897,3.614780484974717e-05,0.0,0.004667791118669819,0.00018219540802980928,0.0022436426434872224,6.474823298407992e-05,0.008560299520166265,0.0011472603411330595,0.007453367849552771,0.0011074140481987147,0.0012637731585356097,0.013312690959281824,0.0,0.0,0.0015790107231241019,0.0012521663377866152,0.0008649149942427694,0.06280953812002243,0.000699319357661388,0.0021790050403071026,9.922256320305e-05,0.001975936700759107,0.0002928940781323799,0.00035774921947057933,0.00022270379589184593,0.0,0.0,0.0001355466087350725
F,35-39,8.600520514215629e-05,0.002418508722767708,0.0020691042364028947,8.481403670145417e-06,0.0005660578374326172,0.0,0.001343832072386562,0.00046412190517206134,0.0005662051177554105,0.007600107242146168,6.0454720010489504e-05,0.0002747092959970823,0.0011752809587849457,0.001214132751428937,0.021434807355203065,0.0015969736680987738,0.04941839172612282,0.0,0.0090054850633496,0.0020772278866854547,0.016109320987111233,0.0020547532587397296,0.0,0.001459231701451272,3.412816085093153e-05,0.00011578234773628055,5.886105975573587e-07,6.48650688144557e-05,0.007863305766553016,0.033686120807912834,3.1242441094176435e-06,0.0005153911244377484,0.00048515848581789846,7.839831165874803e-06,0.0,0.00013229356342821472,0.0007951713125232362,0.0004662023123285654,0.0003823396080148002,0.00665515615511318,0.0005286491524639851,0.0012020733142923052,0.0008925886765593689,0.001339589680356073,0.0012117021586985843,0.0016712168522072769,0.00011577555748478255,0.0003953249103989356,0.4950081884605575,0.0017324085286621305,0.001025689157942889,0.0060971745004954545,0.002086472521107519,0.00038079428688406197,0.00011541435154766406,0.0019260780037899745,0.00031167335976327624,5.908294119372263e-06,0.0026473058031895765,0.011936603313654384,0.0007285622137840327,0.0001418474664783476,0.0,0.0015269852056949544,0.0012013842647949186,0.0012440515869845716,0.0,0.020607598525723903,0.02636008842685723,0.0042576662615038405,0.08318815514026848,2.9650848461384103e-05,0.013799173509388068,0.0002165206943859396,2.3866259909460234e-05,0.00019143477999015518,0.0002970907232044941,0.00024331493855468515,0.0,0.0017040561888838027,0.00013052332448436511,0.0005505488230121355,0.0029760346195216027,0.0005932954466141242,0.0017057463269917743,1.706755697237822e-05,0.01572510401311391,0.0006093750544422923,3.093903727944565e-05,4.9591272962188795e-05,0.00032272589254684855,0.0006409425030109677,3.0769597062533986e-05,4.61196873768636e-05,0.0006472962444766268,0.0008958537067630954,0.0003163117213837823,2.043810762182196e-05,0.003132053803165255,0.0006606553811969181,0.0005527261431612037,0.000680556513487646,1.2978681033617238e-05,3.489575615869941e-05,0.0014141797516719525,2.5735977019264178e-05,0.0,0.0038548776508945445,0.00032062206166275184,0.0014566121028094388,5.642033832925375e-05,0.007620620262990269,0.0013561588029574057,0.006789445759934195,0.0007313331436522819,0.0016273749444698285,0.01879327827103096,0.0,0.0,0.0012650765218838835,0.001146989873944561,0.0013972474518551576,0.05792956062321772,0.0003693056592715382,0.002386040873749377,0.00010940695613335957,0.0013215178332649763,0.00046845387402717016,0.00025139927317397923,0.0002387255181508525,0.0,0.0,8.432882575870147e-05
F,40-44,6.532840274663661e-05,0.0017488557988154,0.0019485474699144439,5.749906190264667e-06,0.0003660239362293761,0.0002137430459624199,0.0013702227006555595,0.0005921648798058753,0.0004610456290097439,0.006662602691946036,0.00027598398650118835,0.00034139476185085494,0.002018067416992508,0.001128589569507228,0.024465633611647532,0.0018291533234668438,0.06178787113356766,0.0,0.010449846417433333,0.0022230720198398043,0.025179466007307246,0.0026208424794791456,0.0,0.0011583045690402112,3.005540665196914e-05,9.489779904122932e-05,2.796161848692182e-07,1.7917513303363584e-05,0.009886833732012826,0.029810474571553485,3.552675875926002e-06,0.00042426403784010913,0.0004779007647447751,6.456854423947066e-06,0.0,5.152079118121424e-05,0.0008135223628329561,0.0006474711486645602,0.00035584633147133757,0.011199545826543665,0.0004351443988929245,0.0014089260156188162,0.0009567765083899825,0.0011995683149550872,0.0009407814850292976,0.001694276934161125,0.00017971783320471302,0.0005033885918871219,0.46692768450986805,0.0014761947880535691,0.0005766586822479518,0.008775060339191518,0.0031543926333191304,0.0003683113773983298,0.00022433331697470493,0.0011953873512020278,0.00027516394171431724,4.1262919619664465e-06,0.0017112036041959811,0.019092699437095947,0.0008971720249922622,0.00022874397179543568,0.0,0.0014430499512925782,0.001685130061680914,0.0015175628154395341,0.00010725079423330246,0.022975183012126674,0.029179714828988755,0.003882119186381786,0.06944537607820903,1.5200986635623392e-05,0.011969567938008104,0.00027062653922678767,1.8064613286373856e-05,0.000271061906827329,0.0003288304286558872,0.00031712745717608237,0.0,0.002134100823299309,0.00015778518725391194,0.0005600413646569478,0.00308200087668372,0.0005357982238203947,0.0017221876411849023,1.6227661110551956e-05,0.017534939329215734,0.0005106422599825131,2.3543731691373226e-05,7.515844246021326e-05,0.0003500350133036965,0.0006714099348654072,4.615466117028435e-05,6.245461008103128e-05,0.0004570975017096349,0.0008769940023574692,0.0002066991015708021,1.704328348674415e-05,0.0043935050960022945,0.001144776774025586,0.0005825672404140124,0.002045009718838128,0.00011872817499799607,3.7460778337364595e-05,0.0013453469574927193,1.947905058866256e-05,0.0,0.004388218630580398,0.00014330647853969314,0.0013245341585084065,7.716039518000685e-05,0.006884059207401393,0.001472220689363541,0.005578740430162391,0.00027291726901116915,0.001760900319052251,0.02599830456168692,0.0,0.0,0.0011950120862217741,0.001032008116873615,0.002126388291395405,0.04861266027562178,0.00024769046193808626,0.0010539650102796894,7.88761013368701e-05,0.0013902141098432804,0.0007795782855032223,0.00013998361457108789,0.0002729487891540893,0.0,0.0,5.849713661921435e-05
F,45-49,7.014011252825373e-05,0.003071547422019296,0.002224441670211166,4.986399555502078e-06,0.00046881106972726993,0.0010281518848570662,0.0015332963906430905,0.0007629450328154664,0.0004977105309600996,0.00805435801283661,0.0004285934935919421,0.0005079857236893316,0.0028861613172255877,0.0012891006813717007,0.028944155482930303,0.002301778266526919,0.06837240782407959,0.0,0.01013683733542688,0.0036250248434731075,0.03045167618649338,0.004054417529824245,0.0,0.0007388243579125544,3.2027195327327524e-05,8.997942950625515e-05,6.378540343413063e-07,4.236474113027182e-06,0.013282999624278499,0.033907598132337055,5.714088406756564e-06,0.00044015920855889083,0.00021773907902750082,5.874260103505003e-06,0.0,0.0003252176577488029,0.0006779766616235121,0.0013922635260767342,0.00036934866609177915,0.016948927225607806,0.00034691041811147196,0.0013561382171639548,0.0011615883803927317,0.0013359341200440248,0.0009788939912263128,0.002008694615322398,0.00034095181096817476,0.0006254322055563031,0.4039667695389483,0.0014384103916339664,0.00039186206566182476,0.013816945635163577,0.0017747411219154506,0.00041476124747662956,0.0002527431145086528,0.000781841916794095,0.0003585527976566827,4.0903544095675484e-06,0.001189570590267591,0.028303566467636057,0.001442181465088015,0.0003199521055787057,0.0,0.0017989524314497632,0.002352819533870112,0.0019332342147258574,8.842969763707792e-05,0.02549323463239373,0.027510859437551213,0.0038518056959996744,0.04813277350458878,9.204643182718315e-06,0.01278059814844198,0.00026447002614444825,1.7145203916203245e-05,0.0004095825334328145,0.00035722465115665757,0.00037536524687799787,0.0,0.0025687297418638152,0.0001900316418234035,0.0006121956305226593,0.0034493820784435645,0.0004394268669829173,0.0021714881521005354,1.0164146138958534e-05,0.014943199372019057,0.0005505388345153447,2.4034690427360836e-05,8.606244852098715e-05,0.00042371220155057584,0.0008083456373834843,0.00010715644377099647,5.453613093228211e-05,0.00030906844283187394,0.0009329377115055001,0.00029222633148606237,1.5590663394139608e-05,0.006650888425679758,0.001931695372100875,0.000749520583953285,0.0018359706930209,0.000256451852422623,3.9077340401024546e-05,0.0015853928266885235,1.572097115757449e-05,0.0,0.005544057941151389,0.00022776331656422925,0.0010502321348742438,0.00019777048237927712,0.006754314809637373,0.0017229342627860158,0.005931564285909609,0.0005644886665724065,0.0020117155159283173,0.04163614484466219,0.0,0.0,0.0012139737046743464,0.001091420474665686,0.0031371434781591687,0.054727722375048776,0.00022771830527702414,0.00021199417319096148,9.496464828385705e-05,0.0036538642799292774,0.001190966605123124,0.00014384835616891781,0.00041892346181801333,0.0,0.0,5.264582112330081e-05
F,5-9,0.0005853145200989496,0.002242305609879019,0.005342488380192499,2.6258978762074117e-05,0.0,0.0,0.008309407362543791,0.0,0.003071917749883843,0.007760151186709244,0.0,0.00010234545759327725,0.0,0.006584711096310975,0.0,0.002086163287038449,0.0,0.0,0.006476317195881007,0.0007898421914670052,0.007178755326261529,0.00023897947560418454,0.0,0.026514331994878893,0.00013669609197503036,0.00012611342574388062,1.0221764346513575e-06,0.0017738834809494953,0.0014815572153524341,0.15296038709587245,0.0001139062337648951,0.013224596221809819,0.0,3.95013480921587e-07,0.0,0.0004066638411521949,0.0006372042598189508,0.0010162403523704723,0.0010124774487957591,0.0,0.00265611212735879,0.003215395436236891,0.006163953483138197,0.007610456874868203,0.0031563147074887945,0.0004950543655889569,0.0,0.0,0.20172516104510985,0.007351725415056402,0.0011530703969716335,0.0,0.0035952323061984623,0.0003451862187539853,0.00038724506060661726,0.003926870529749004,0.00023187274702186957,0.00027898862171851644,0.02880300598336056,0.0,0.0031056962695536388,0.0,0.0,0.005070793415152306,0.0002216662758264422,0.003951661405179582,0.0,0.07674982664425867,0.11773235307821901,0.0003969878411402168,0.0,0.00927163432657141,0.054002876709089966,0.0,0.00014752266239466898,0.0,3.4719658834335474e-06,0.00015432226120327242,0.0,0.004743259200886303,0.0,0.0,0.004746262507019479,0.0011589359464662925,0.0027516741040730713,0.0004196366210033698,0.03952487441048966,0.0005171027361952093,0.0003164522907789607,0.000147472272654114,0.0011574687959385033,0.00031494648111459454,0.0,4.446489806200917e-05,0.0022292105079645616,0.0033423967590460856,0.0006145619024687223,0.00014402252383761125,0.0007475871096027483,0.0,0.00014860357650121788,0.004792317513864178,0.0,0.0,0.0034613069158425432,0.0001499553324904484,0.0,0.02618619819077918,0.0006644112712408253,0.003232303069373313,0.00010586432537205676,0.039496553449526996,0.0005024326554172333,0.0,0.003165904260785191,0.0,0.002950781057110466,0.0,0.0,0.0035311180943828004,0.00020608245533695896,0.0,0.020349484248279096,0.01032180251055976,0.000746292934212511,0.0015201682552605576,0.00325858316171233,0.0,0.004677248244389688,6.0362910780879e-05,0.0,0.0,0.015447005654855397
