Year,Sex,Age_Grp,Variant,Count
1992,M,90-94,GBD_Est,270.0483436339696
1993,F,0-4,GBD_Est,45498.44771114651
1993,F,10-14,GBD_Est,733.9958059053764
1993,F,15-19,GBD_Est,1596.9279737043378
1993,F,20-24,GBD_Est,2993.969168044516
1993,F,25-29,GBD_Est,3783.522180862926
1993,F,30-34,GBD_Est,3499.264930692009
1993,F,35-39,GBD_Est,2810.5229995241752
1993,F,40-44,GBD_Est,2519.6984978867877
1993,F,45-49,GBD_Est,2431.007431595602
1993,F,5-9,GBD_Est,1576.074139484278
1993,F,50-54,GBD_Est,2308.2531363585535
1993,F,55-59,GBD_Est,2174.312552505703
1993,F,60-64,GBD_Est,2472.9348518810975
1993,F,65-69,GBD_Est,2886.5066790840597
1993,F,70-74,GBD_Est,3146.343234993974
1993,F,75-79,GBD_Est,2506.7049491549833
1993,F,80-84,GBD_Est,1737.945880131276
1993,F,85-89,GBD_Est,813.5669295166471
1993,F,90-94,GBD_Est,338.85079590419645
1993,M,0-4,GBD_Est,51022.17310743948
1993,M,10-14,GBD_Est,987.7166322632391
1993,M,15-19,GBD_Est,1236.876634760811
1993,M,20-24,GBD_Est,1588.5969285389328
1993,M,25-29,GBD_Est,2393.254773531218
1993,M,30-34,GBD_Est,2960.4394399819053
1993,M,35-39,GBD_Est,3186.264967138651
1993,M,40-44,GBD_Est,3092.7482243437653
1993,M,45-49,GBD_Est,2891.4147812328474
1993,M,5-9,GBD_Est,1862.0174404761008
1993,M,50-54,GBD_Est,2865.644945767287
1993,M,55-59,GBD_Est,2839.8373261754523
1993,M,60-64,GBD_Est,3331.3796277964984
1993,M,65-69,GBD_Est,3628.061338969793
1993,M,70-74,GBD_Est,3562.2095410085417
1993,M,75-79,GBD_Est,2554.5422414614995
1993,M,80-84,GBD_Est,1603.869619645774
1993,M,85-89,GBD_Est,748.678136680287
1993,M,90-94,GBD_Est,278.21795940066636
1994,F,0-4,GBD_Est,44029.306303158235
1994,F,10-14,GBD_Est,729.3363592811698
1994,F,15-19,GBD_Est,1648.1567306377035
1994,F,20-24,GBD_Est,3268.3830389738227
1994,F,25-29,GBD_Est,4238.8101340399735
1994,F,30-34,GBD_Est,4069.8533272242103
1994,F,35-39,GBD_Est,3216.221329204979
1994,F,40-44,GBD_Est,2831.489607784625
1994,F,45-49,GBD_Est,2731.9124365882417
1994,F,5-9,GBD_Est,1584.7191084410513
1994,F,50-54,GBD_Est,2546.2661019845677
1994,F,55-59,GBD_Est,2297.8405226036307
