parameter_name,value,lower,upper,Source: GBD per 100 PY
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,0.12682089412808,0.179795732689397,0.08459833717246239,
m_25-29,0.133901491659637,0.19279142112401298,0.08457634881081119,
m_30-34,0.14088501582173601,0.20410720319289002,0.08492212586677719,
m_35-39,0.15310070853125501,0.221130549477399,0.0963726675242287,
m_40-44,0.274663994265597,0.35596548386126803,0.202542176934427,
m_45-49,0.497774168241804,0.6803526553114719,0.340650636582031,
m_50-54,0.647550234033728,0.8071648270406659,0.503451207068988,
m_55-59,0.7288346528639831,1.05618480924189,0.487227144434648,
m_60-64,0.8913406942925779,1.15016802198409,0.6759722104910639,
m_65-69,1.1168151488968499,1.46945577040881,0.7493652320983161,
m_70-74,1.01906541392193,1.3212943894123401,0.689327267851727,
m_75-79,0.673263596059488,0.848701433005656,0.5264385471621511,
m_80-84,0.391972316507463,0.598818342781135,0.242747950900973,
m_85-89,0.149846759052083,0.220135163572774,0.100066600596199,
m_90-94,0.0206067576672789,0.0385664921273869,0.009160292681955,
m_95-99,0.012478966403236199,0.0296450736848199,0.00144315477149049,
m_100+,0.012478966403236199,0.0296450736848199,0.00144315477149049,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,0.0861457264337815,0.12444150038478,0.0537632220193875,
f_25-29,0.09817832056939681,0.143073265686187,0.0627075604071637,
f_30-34,0.125198146119715,0.17393034772285001,0.0827927423865042,
f_35-39,0.166556935602079,0.23130546509253902,0.113327340039686,
f_40-44,0.219448720575734,0.28582404160907404,0.16115025245890002,
f_45-49,0.282983171593449,0.388823256217142,0.19258939053753701,
f_50-54,0.404481331242051,0.510204412122654,0.306019840649261,
f_55-59,0.577325723449091,0.7628121080431519,0.413817356472567,
f_60-64,0.6264074611141379,0.804458218927776,0.481047922755025,
f_65-69,0.567197516109901,0.7598020166063141,0.388404940478507,
f_70-74,0.508470084090283,0.6939331354685889,0.333880803790301,
f_75-79,0.45168346577074,0.5825807331599371,0.338194962547962,
f_80-84,0.324807965453064,0.46569300784217105,0.205003606904833,
f_85-89,0.126284806666017,0.173865264623782,0.084880286066151,
f_90-94,0.0211730002380331,0.0381425089807887,0.0101048523849662,
f_95-99,0.0124609606590198,0.0271408484973822,0.0017209390884962501,
f_100+,0.0124609606590198,0.0271408484973822,0.0017209390884962501,
