parameter_name,value,lower,upper,Source: GBD 2019 per 100 PY
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,0.0128257045553699,0.0239638708861875,0.00428968724679625,
m_25-29,0.0106779988197089,0.0212701341322,0.00302287353433975,
m_30-34,0.018117191119961098,0.0316853845359299,0.00580823990644,
m_35-39,0.033419274402643195,0.052516465958949904,0.0165561691579324,
m_40-44,0.047746693608668504,0.070744611702125,0.0283112475470499,
m_45-49,0.0747337859230799,0.10830664266624901,0.04309608379375,
m_50-54,0.145372694129845,0.2087676601,0.0989707948949999,
m_55-59,0.26426686225382,0.364085808519999,0.1722905563725,
m_60-64,0.42524853913319,0.5763490779799999,0.300789729675,
m_65-69,0.6500094847069,0.878904778414999,0.45396864378375,
m_70-74,0.912562971158649,1.2265570825249899,0.6466496062875,
m_75-79,0.8929921080965,1.200864447125,0.6048533966249999,
m_80-84,0.6480033652885,0.9363807492749989,0.443483218462499,
m_85-89,0.5005379613205,0.7467757932125001,0.30668626862500004,
m_90-94,0.5795067810169999,0.836963477425,0.376015180109999,
m_95-99,0.820895084166,1.30692627715,0.48618716434499903,
m_100+,0.820895084166,1.30692627715,0.48618716434499903,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,0.007316798695984471,0.0140703621285999,0.001888748902133,
f_25-29,0.0101471557372436,0.020136404322674998,0.00272549624010049,
f_30-34,0.0186594414514069,0.0333256769848374,0.00596764198439999,
f_35-39,0.036172507172749196,0.05553121227045,0.01884215560955,
f_40-44,0.0546381971497093,0.0812852138147625,0.033506044189625,
f_45-49,0.0922316233760855,0.13407549712425001,0.055500204360625,
f_50-54,0.168007889826745,0.23829839376125,0.110837277014749,
f_55-59,0.269354609651499,0.372854426598749,0.172094170136249,
f_60-64,0.39796818375397,0.569450214093749,0.2676399025175,
f_65-69,0.55694699977095,0.75601766272875,0.36467897904749996,
f_70-74,0.7538707925524499,1.0405346052,0.4977960867,
f_75-79,0.89984256031375,1.2510128104999998,0.6192411503125,
f_80-84,0.9840785682125001,1.3389491397500002,0.683871928425,
f_85-89,0.887027472211499,1.24327299862499,0.5646639649999999,
f_90-94,0.840917664814299,1.181464976375,0.5513974794700001,
f_95-99,1.0127761185569901,1.6013663698749898,0.600725760125,
f_100+,1.0127761185569901,1.6013663698749898,0.600725760125,
