parameter_name,value,lower,upper,Source: GBD 2019 per 100 PY
m_0-4,0.0,0.0,0.0,
m_5-9,0.0,0.0,0.0,
m_10-14,0.0,0.0,0.0,
m_15-19,0.0,0.0,0.0,
m_20-24,1.14279881549999,0.00114279881549999,1.14279881549999e-06,
m_25-29,1.529439321625,0.001529439321625,1.529439321625e-06,
m_30-34,1.9506263259249998,0.0019506263259249999,1.950626325925e-06,
m_35-39,2.3300660480625,0.0023300660480625,2.3300660480625e-06,
m_40-44,2.7033641117125,0.0027033641117124997,2.7033641117124997e-06,
m_45-49,3.1064676897375003,0.0031064676897375005,3.1064676897375004e-06,
m_50-54,3.4610504260624997,0.0034610504260624998,3.4610504260624998e-06,
m_55-59,4.0608249325,0.0040608249325,4.0608249325000005e-06,
m_60-64,4.378512037499999,0.004378512037499999,4.378512037499999e-06,
m_65-69,4.838401839375,0.004838401839375,4.838401839375e-06,
m_70-74,5.2626568605,0.0052626568605,5.2626568605e-06,
m_75-79,5.547825073875,0.005547825073875,5.547825073875e-06,
m_80-84,5.48985686399999,0.00548985686399999,5.48985686399999e-06,
m_85-89,4.6744513295,0.0046744513295,4.6744513295e-06,
m_90-94,4.2683818022499995,0.00426838180225,4.26838180225e-06,
m_95-99,3.530117577375,0.003530117577375,3.530117577375e-06,
m_100+,3.530117577375,0.003530117577375,3.530117577375e-06,
f_0-4,0.0,0.0,0.0,
f_5-9,0.0,0.0,0.0,
f_10-14,0.0,0.0,0.0,
f_15-19,0.0,0.0,0.0,
f_20-24,0.820176403105,0.0008201764031049999,8.20176403105e-07,
f_25-29,1.08127214802,0.00108127214802,1.08127214802e-06,
f_30-34,1.36745673490499,0.00136745673490499,1.36745673490499e-06,
f_35-39,1.7602620849750001,0.0017602620849750002,1.7602620849750001e-06,
f_40-44,2.1014304674999997,0.0021014304674999997,2.1014304674999997e-06,
f_45-49,2.55462364162499,0.00255462364162499,2.5546236416249898e-06,
f_50-54,2.9498117419375,0.0029498117419375,2.9498117419374997e-06,
f_55-59,3.7763206371374998,0.0037763206371374996,3.7763206371374997e-06,
f_60-64,4.146076445249999,0.0041460764452499995,4.146076445249999e-06,
f_65-69,4.3632040638500005,0.004363204063850001,4.363204063850001e-06,
f_70-74,4.78191856649999,0.00478191856649999,4.78191856649999e-06,
f_75-79,4.992769476625,0.004992769476625,4.992769476625e-06,
f_80-84,4.947270403249999,0.0049472704032499995,4.94727040325e-06,
f_85-89,4.77013918074999,0.00477013918074999,4.77013918074999e-06,
f_90-94,4.68448322835,0.00468448322835,4.68448322835e-06,
f_95-99,3.8743548968250003,0.0038743548968250005,3.874354896825e-06,
f_100+,3.8743548968250003,0.0038743548968250005,3.874354896825e-06,
