switchfrom,pill,IUD,injections,implant,male_condom,female_sterilization,other_modern,periodic_abstinence,withdrawal,other_traditional
pill,0.0,0.0,0.540322580645161,0.217741935483871,0.104838709677419,0.0564516129032258,0.0241935483870968,0.00806451612903226,0.0403225806451613,0.00806451612903226
IUD,0.125,0.0,0.375,0.25,0.125,0.125,0.0,0.0,0.0,0.0
injections,0.262806236080178,0.0267260579064588,0.0,0.447661469933185,0.106904231625835,0.0757238307349666,0.0089086859688196,0.0089086859688196,0.044543429844098,0.0178173719376392
implant,0.205882352941176,0.0294117647058824,0.632352941176471,0.0,0.102941176470588,0.0294117647058824,0.0,0.0,0.0,0.0
male_condom,0.0829268292682927,0.00487804878048781,0.595121951219512,0.224390243902439,0.0,0.0292682926829268,0.00487804878048781,0.00975609756097561,0.048780487804878,0.0
other_modern,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
periodic_abstinence,0.0,0.0,0.333333333333333,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
withdrawal,0.037037037037037,0.0185185185185185,0.518518518518519,0.296296296296296,0.111111111111111,0.0185185185185185,0.0,0.0,0.0,0.0
other_traditional,0.0,0.0,0.739130434782609,0.144927536231884,0.0579710144927536,0.0579710144927536,0.0,0.0,0.0,0.0
