age,not_using,pill,IUD,injections,implant,male_condom,female_sterilization,other_modern,periodic_abstinence,withdrawal,other_traditional
15,0.981540918350219,0.0,0.0,0.0048154094256461,0,0.0104333870112896,0.0,0.0,0.0008025682182051,0.0016051364364102,0.0
16,0.956447482109069,0.0,0.0008539709378965,0.0187873616814613,0,0.0204953029751778,0.0,0.0,0.0025619128718972,0.0,0.0008539709378965
17,0.91737288236618,0.0010593220358714,0.0,0.0413135588169098,0,0.0275423731654882,0.0,0.0,0.003177965991199,0.0074152541346848,0.0010593220358714
18,0.843714594841003,0.0067950170487165,0.0,0.103057757019996,0,0.0396375991404057,0.0,0.0,0.0,0.0056625143624842,0.0
19,0.738693475723266,0.0188442207872868,0.0,0.182160809636116,0,0.0376884415745735,0.0,0.0,0.0012562813935801,0.0138190956786275,0.0025125627871603
20,0.693304538726806,0.0107991360127926,0.0,0.218142554163932,0,0.0410367175936699,0.0043196543119848,0.0,0.0021598271559924,0.0215982720255852,0.0032397408504039
21,0.644361853599548,0.0173482038080692,0.0012391573982313,0.272614628076553,0,0.0371747203171253,0.0012391573982313,0.0,0.0012391573982313,0.0074349441565573,0.0061957868747413
22,0.634743869304657,0.018930958583951,0.0,0.263919830322265,0,0.0356347449123859,0.0044543431140482,0.0,0.005567928776145,0.0155902002006769,0.0066815144382417
23,0.642615556716918,0.0067643742077053,0.0022547913249582,0.264937996864318,0,0.0394588485360146,0.0033821871038526,0.0,0.007891770452261,0.0124013526365161,0.0067643742077053
24,0.588100671768188,0.0205949656665325,0.0011441647075117,0.28604120016098,0,0.0297482833266258,0.0125858122482896,0.0,0.0080091534182429,0.0228832960128784,0.0091533176600933
25,0.565121412277221,0.0242825616151094,0.0022075055167079,0.305739521980285,0,0.0375275947153568,0.0132450331002474,0.0,0.0066225165501237,0.0198675505816936,0.0055187637917697
26,0.551801800727844,0.0270270276814699,0.0011261261533946,0.324324309825897,0,0.0360360369086266,0.0202702693641186,0.0,0.0033783784601837,0.013513513840735,0.0022522523067892
27,0.543315529823303,0.0310160424560308,0.0010695187374949,0.315508008003234,0,0.0331550799310207,0.0149732623249292,0.0,0.0053475936874747,0.019251337274909,0.0053475936874747
28,0.555555582046508,0.0400916375219822,0.003436426166445,0.29438716173172,0,0.0229095071554184,0.029782360419631,0.0,0.0080183278769255,0.0171821303665638,0.0022909508552402
29,0.545710265636444,0.0323488041758537,0.0014064697315916,0.279887467622757,0,0.0295358654111624,0.047819972038269,0.0014064697315916,0.0070323487743735,0.0140646975487471,0.0098452884703875
30,0.535802483558654,0.0234567895531654,0.0,0.275308638811111,0,0.0320987664163113,0.0580246895551682,0.0012345679569989,0.0037037036381662,0.0246913582086563,0.0197530873119831
31,0.557350575923919,0.0403877235949039,0.0032310178503394,0.250403881072998,0,0.0258481428027153,0.0662358626723289,0.0,0.0064620357006788,0.0193861071020365,0.0032310178503394
32,0.534107387065887,0.0261248182505369,0.0029027576092631,0.262699574232101,0,0.0275761969387531,0.0885341092944145,0.0,0.010159651748836,0.0159651674330235,0.0072568939067423
33,0.525483310222625,0.0351493842899799,0.0017574692610651,0.237258344888687,0,0.0193321611732244,0.12126538157463,0.0,0.0070298770442605,0.0210896302014589,0.0123022850602865
34,0.535655081272125,0.0281923711299896,0.0082918740808964,0.200663343071937,0,0.0331674963235855,0.127694860100746,0.0016583747928962,0.0082918740808964,0.0215588714927435,0.0149253727868199
35,0.515103340148925,0.0286168530583382,0.0015898251440376,0.235294118523597,0,0.0254372023046017,0.133545309305191,0.0015898251440376,0.0063593005761504,0.0206677261739969,0.0158982519060373
36,0.497277677059173,0.0344827584922314,0.0,0.201451912522316,0,0.0254083480685949,0.168784022331237,0.0018148820381612,0.0108892917633057,0.0290381126105785,0.0127041740342975
37,0.551383376121521,0.0138339921832085,0.0039525693282485,0.179841890931129,0,0.0177865605801344,0.158102765679359,0.0019762846641243,0.0059288535267115,0.0375494062900543,0.0118577070534229
38,0.542168676853179,0.0321285128593445,0.002008032053709,0.150602415204048,0,0.0200803205370903,0.192771077156066,0.0,0.0040160641074181,0.0200803205370903,0.0220883525907993
39,0.524296700954437,0.0332480818033218,0.0076726344414055,0.125319689512252,0,0.0306905377656221,0.219948843121528,0.0076726344414055,0.0102301789447665,0.0230179019272327,0.0076726344414055
40,0.502024292945861,0.020242914557457,0.0,0.149797573685646,0,0.0242914985865355,0.238866403698921,0.0,0.0121457492932677,0.0141700403764844,0.0323886647820473
41,0.559523820877075,0.0238095242530107,0.0,0.0982142835855484,0,0.0148809524253011,0.255952388048172,0.0,0.0089285718277097,0.0119047621265054,0.020833333954215
42,0.580562651157379,0.0127877239137888,0.0,0.104859337210655,0,0.020460357889533,0.230179026722908,0.0,0.0102301789447665,0.0179028138518333,0.0179028138518333
43,0.566037714481353,0.0113207548856735,0.0,0.132075473666191,0,0.0188679248094559,0.22641509771347,0.0,0.022641509771347,0.0075471699237823,0.0075471699237823
44,0.58075600862503,0.00687285233289,0.0,0.0721649453043938,0,0.00687285233289,0.285223364830017,0.0,0.00687285233289,0.00687285233289,0.0309278350323439
45,0.601823687553405,0.0060790274292231,0.0,0.0547112450003624,0,0.0334346517920494,0.246200606226921,0.0,0.0121580548584461,0.0243161097168922,0.0182370822876692
46,0.558904111385345,0.0054794522002339,0.002739726100117,0.0657534226775169,0,0.0054794522002339,0.295890420675277,0.0,0.0109589044004679,0.0109589044004679,0.0383561626076698
47,0.642857134342193,0.0057142856530845,0.0,0.0599999986588955,0,0.011428571306169,0.254285722970962,0.0,0.0,0.0142857143655419,0.011428571306169
48,0.651026368141174,0.0,0.0029325513169169,0.0381231680512428,0,0.0029325513169169,0.263929605484008,0.0,0.0058651026338339,0.0117302052676678,0.0234604105353355
49,0.705645143985748,0.0080645158886909,0.0,0.0322580635547638,0,0.0040322579443455,0.217741936445236,0.0,0.0,0.0120967738330364,0.0201612897217274
