age,AnnualProb,param_label,prior_min,prior_max,prior_note,reference
15,0.015327224,local,0,1,vague prior,
16,0.078086212,local,0,1,vague prior,
17,0.14849773,local,0,1,vague prior,
18,0.29808754,local,0,1,vague prior,
19,0.40234497,local,0,1,vague prior,
20,0.53286183,local,0,1,vague prior,
21,0.5524134,local,0,1,vague prior,
22,0.58647424,local,0,1,vague prior,
23,0.56937099,local,0,1,vague prior,
24,0.59874201,local,0,1,vague prior,
25,0.62274724,local,0,1,vague prior,
26,0.5699172,local,0,1,vague prior,
27,0.60536563,local,0,1,vague prior,
28,0.55011225,local,0,1,vague prior,
29,0.55630732,local,0,1,vague prior,
30,0.47369072,local,0,1,vague prior,
31,0.47488752,local,0,1,vague prior,
32,0.51261216,local,0,1,vague prior,
33,0.51421094,local,0,1,vague prior,
34,0.46073267,local,0,1,vague prior,
35,0.43992573,local,0,1,vague prior,
36,0.42045826,local,0,1,vague prior,
37,0.40027237,local,0,1,vague prior,
38,0.36753744,local,0,1,vague prior,
39,0.37553552,local,0,1,vague prior,
40,0.33978653,local,0,1,vague prior,
41,0.17850453,local,0,1,vague prior,
42,0.1971695,local,0,1,vague prior,
43,0.17429532,local,0,1,vague prior,
44,0.14719824,local,0,1,vague prior,
45,0.075361669,local,0,1,vague prior,
46,0.079170711,local,0,1,vague prior,
47,0.038770452,local,0,1,vague prior,
48,0.050504014,local,0,1,vague prior,
49,0.035605323,local,0,1,vague prior,
