al yearly usage of TBNotifiedAll (.csv)
=======================================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/healthsystem/real_appt_usage_data/real_yearly_usage_of_TBNotifiedAll.csv>`

====  ======  ==============  ============  =======
  ..    Year    Facility\_ID  Appt\_Type      Usage
====  ======  ==============  ============  =======
 107    2011              45  TBNew               0
 108    2011              46  TBNew               0
 109    2011              47  TBNew               0
 110    2011              53  TBNew               0
 111    2011              55  TBNew               0
 112    2011              57  TBNew               0
 113    2011              58  TBNew               0
 114    2011              59  TBNew               0
 115    2011              61  TBNew               0
 116    2011              62  TBNew               0
 117    2011              63  TBNew               0
 118    2011              65  TBNew               0
 119    2011              66  TBNew               0
 120    2011              67  TBNew               0
 121    2011              69  TBNew               0
 122    2011              71  TBNew               0
 123    2011              73  TBNew               0
 124    2011              74  TBNew               0
 125    2011              75  TBNew               0
 126    2011              81  TBNew               0
 127    2011              83  TBNew               0
 128    2011              85  TBNew               0
 129    2011              86  TBNew               0
 130    2011              87  TBNew               0
 131    2011              89  TBNew               0
 132    2011              90  TBNew               0
 133    2011              91  TBNew               0
 134    2011              93  TBNew               0
 135    2011              94  TBNew               0
 136    2011              95  TBNew               0
 137    2011              97  TBNew               0
 138    2011              98  TBNew               0
 139    2011              99  TBNew               0
 140    2011             101  TBNew               0
 141    2011             103  TBNew               0
 142    2011             104  TBNew               0
 143    2011             105  TBNew               0
 144    2011             106  TBNew               0
 145    2011             109  TBNew               0
 146    2011             110  TBNew               0
 147    2011             111  TBNew               0
 148    2011             113  TBNew               0
 149    2011             115  TBNew               0
 150    2011             116  TBNew               0
 151    2011             117  TBNew               0
 152    2011             118  TBNew               0
 153    2011             119  TBNew               0
 154    2011             121  TBNew               0
 155    2011             122  TBNew               0
 156    2011             128  TBNew               0
 157    2011             129  TBNew               0
 158    2011             130  TBNew               0
 159    2011             131  TBNew               0
 160    2012               1  TBNew               0
 161    2012               3  TBNew               0
 162    2012               5  TBNew               0
 163    2012               6  TBNew               0
 164    2012              13  TBNew               0
 165    2012              14  TBNew               0
 166    2012              15  TBNew               0
 167    2012              17  TBNew               0
 168    2012              18  TBNew               0
 169    2012              19  TBNew               0
 170    2012              21  TBNew               0
 171    2012              22  TBNew               0
 172    2012              23  TBNew               0
 173    2012              25  TBNew               0
 174    2012              26  TBNew               0
 175    2012              27  TBNew               0
 176    2012              29  TBNew               0
 177    2012              30  TBNew               0
 178    2012              31  TBNew               0
 179    2012              33  TBNew               0
 180    2012              34  TBNew               0
 181    2012              35  TBNew               0
 182    2012              37  TBNew               0
 183    2012              38  TBNew               0
 184    2012              39  TBNew               0
 185    2012              41  TBNew               0
 186    2012              42  TBNew               0
 187    2012              45  TBNew               0
 188    2012              46  TBNew               0
 189    2012              47  TBNew               0
 190    2012              53  TBNew               0
 191    2012              55  TBNew               0
 192    2012              57  TBNew               0
 193    2012              58  TBNew               0
 194    2012              59  TBNew               0
 195    2012              61  TBNew               0
 196    2012              62  TBNew               0
 197    2012              63  TBNew               0
 198    2012              65  TBNew               0
 199    2012              66  TBNew               0
 200    2012              67  TBNew               0
 201    2012              69  TBNew               0
 202    2012              71  TBNew               0
 203    2012              73  TBNew               0
 204    2012              74  TBNew               0
 205    2012              75  TBNew               0
 206    2012              81  TBNew               0
 207    2012              83  TBNew               0
 208    2012              85  TBNew               0
 209    2012              86  TBNew               0
 210    2012              87  TBNew               0
 211    2012              89  TBNew               0
 212    2012              90  TBNew               0
 213    2012              91  TBNew               0
 214    2012              93  TBNew               0
 215    2012              94  TBNew               0
 216    2012              95  TBNew               0
 217    2012              97  TBNew               0
 218    2012              98  TBNew               0
 219    2012              99  TBNew               0
 220    2012             101  TBNew               0
 221    2012             103  TBNew               0
 222    2012             104  TBNew               0
 223    2012             105  TBNew               0
 224    2012             106  TBNew               0
 225    2012             109  TBNew               0
 226    2012             110  TBNew               0
 227    2012             111  TBNew               0
 228    2012             113  TBNew               0
 229    2012             115  TBNew               0
 230    2012             116  TBNew               0
 231    2012             117  TBNew               0
 232    2012             118  TBNew               0
 233    2012             119  TBNew               0
 234    2012             121  TBNew               0
 235    2012             122  TBNew               0
 236    2012             128  TBNew               0
 237    2012             129  TBNew               0
 238    2012             130  TBNew               0
 239    2012             131  TBNew               0
 240    2013               1  TBNew               0
 241    2013               3  TBNew               0
 242    2013               5  TBNew               0
 243    2013               6  TBNew               0
 244    2013              13  TBNew               0
 245    2013              14  TBNew               0
 246    2013              15  TBNew               0
 247    2013              17  TBNew               0
 248    2013              18  TBNew               0
 249    2013              19  TBNew               0
 250    2013              21  TBNew               0
 251    2013              22  TBNew               0
 252    2013              23  TBNew               0
 253    2013              25  TBNew               0
 254    2013              26  TBNew               0
 255    2013              27  TBNew              47
 256    2013              29  TBNew               0
 257    2013              30  TBNew               0
 258    2013              31  TBNew               0
