Year,Facility_ID,Appt_Type,Usage
2012,65,TBNew,0.0
2012,66,TBNew,0.0
2012,67,TBNew,0.0
2012,69,TBNew,0.0
2012,71,TBNew,0.0
2012,73,TBNew,0.0
2012,74,TBNew,0.0
2012,75,TBNew,0.0
2012,81,TBNew,0.0
2012,83,TBNew,0.0
2012,85,TBNew,0.0
2012,86,TBNew,0.0
2012,87,TBNew,0.0
2012,89,TBNew,0.0
2012,90,TBNew,0.0
2012,91,TBNew,0.0
2012,93,TBNew,0.0
2012,94,TBNew,0.0
2012,95,TBNew,0.0
2012,97,TBNew,0.0
2012,98,TBNew,0.0
2012,99,TBNew,0.0
2012,101,TBNew,0.0
2012,103,TBNew,0.0
2012,104,TBNew,0.0
2012,105,TBNew,0.0
2012,106,TBNew,0.0
2012,109,TBNew,0.0
2012,110,TBNew,0.0
2012,111,TBNew,0.0
2012,113,TBNew,0.0
2012,115,TBNew,0.0
2012,116,TBNew,0.0
2012,117,TBNew,0.0
2012,118,TBNew,0.0
2012,119,TBNew,0.0
2012,121,TBNew,0.0
2012,122,TBNew,0.0
2012,128,TBNew,0.0
2012,129,TBNew,0.0
2012,130,TBNew,0.0
2012,131,TBNew,0.0
2013,1,TBNew,0.0
2013,3,TBNew,0.0
2013,5,TBNew,0.0
2013,6,TBNew,0.0
2013,13,TBNew,0.0
2013,14,TBNew,0.0
2013,15,TBNew,0.0
2013,17,TBNew,0.0
2013,18,TBNew,0.0
2013,19,TBNew,0.0
2013,21,TBNew,0.0
2013,22,TBNew,0.0
2013,23,TBNew,0.0
2013,25,TBNew,0.0
2013,26,TBNew,0.0
2013,27,TBNew,47.0
2013,29,TBNew,0.0
2013,30,TBNew,0.0
2013,31,TBNew,0.0
2013,33,TBNew,0.0
2013,34,TBNew,0.0
2013,35,TBNew,0.0
2013,37,TBNew,0.0
2013,38,TBNew,0.0
2013,39,TBNew,0.0
2013,41,TBNew,0.0
2013,42,TBNew,0.0
2013,45,TBNew,0.0
2013,46,TBNew,0.0
2013,47,TBNew,0.0
2013,53,TBNew,0.0
2013,55,TBNew,0.0
2013,57,TBNew,0.0
2013,58,TBNew,0.0
2013,59,TBNew,0.0
2013,61,TBNew,0.0
2013,62,TBNew,0.0
2013,63,TBNew,0.0
2013,65,TBNew,0.0
2013,66,TBNew,0.0
2013,67,TBNew,0.0
2013,69,TBNew,0.0
2013,71,TBNew,0.0
2013,73,TBNew,0.0
2013,74,TBNew,0.0
2013,75,TBNew,0.0
2013,81,TBNew,0.0
2013,83,TBNew,0.0
2013,85,TBNew,0.0
2013,86,TBNew,0.0
2013,87,TBNew,0.0
2013,89,TBNew,0.0
2013,90,TBNew,0.0
2013,91,TBNew,0.0
2013,93,TBNew,0.0
2013,94,TBNew,0.0
2013,95,TBNew,0.0
2013,97,TBNew,0.0
2013,98,TBNew,0.0
2013,99,TBNew,0.0
2013,101,TBNew,0.0
2013,103,TBNew,7.0
2013,104,TBNew,0.0
2013,105,TBNew,0.0
2013,106,TBNew,0.0
2013,109,TBNew,0.0
2013,110,TBNew,0.0
2013,111,TBNew,0.0
2013,113,TBNew,0.0
2013,115,TBNew,0.0
2013,116,TBNew,0.0
2013,117,TBNew,0.0
2013,118,TBNew,0.0
2013,119,TBNew,0.0
2013,121,TBNew,0.0
2013,122,TBNew,0.0
2013,128,TBNew,0.0
2013,129,TBNew,0.0
2013,130,TBNew,0.0
2013,131,TBNew,0.0
2014,1,TBNew,2.0
2014,3,TBNew,7.0
2014,5,TBNew,0.0
2014,6,TBNew,0.0
2014,13,TBNew,0.0
2014,14,TBNew,0.0
2014,15,TBNew,0.0
2014,17,TBNew,0.0
2014,18,TBNew,0.0
2014,19,TBNew,0.0
2014,21,TBNew,0.0
2014,22,TBNew,0.0
2014,23,TBNew,0.0
2014,25,TBNew,0.0
2014,26,TBNew,0.0
2014,27,TBNew,0.0
2014,29,TBNew,0.0
2014,30,TBNew,0.0
2014,31,TBNew,0.0
2014,33,TBNew,0.0
2014,34,TBNew,2.0
2014,35,TBNew,12.0
2014,37,TBNew,0.0
2014,38,TBNew,0.0
2014,39,TBNew,0.0
2014,41,TBNew,0.0
2014,42,TBNew,0.0
2014,45,TBNew,0.0
2014,46,TBNew,0.0
2014,47,TBNew,0.0
2014,53,TBNew,0.0
2014,55,TBNew,0.0
2014,57,TBNew,0.0
2014,58,TBNew,0.0
2014,59,TBNew,0.0
2014,61,TBNew,0.0
2014,62,TBNew,0.0
2014,63,TBNew,0.0
2014,65,TBNew,0.0
2014,66,TBNew,6.0
2014,67,TBNew,0.0
2014,69,TBNew,0.0
2014,71,TBNew,0.0
2014,73,TBNew,0.0
2014,74,TBNew,0.0
2014,75,TBNew,0.0
2014,81,TBNew,0.0
2014,83,TBNew,0.0
2014,85,TBNew,0.0
2014,86,TBNew,0.0
2014,87,TBNew,0.0
2014,89,TBNew,1.0
2014,90,TBNew,0.0
2014,91,TBNew,1.0
2014,93,TBNew,0.0
2014,94,TBNew,0.0
2014,95,TBNew,0.0
2014,97,TBNew,0.0
2014,98,TBNew,0.0
2014,99,TBNew,0.0
2014,101,TBNew,0.0
2014,103,TBNew,0.0
2014,104,TBNew,0.0
2014,105,TBNew,0.0
2014,106,TBNew,0.0
2014,109,TBNew,0.0
2014,110,TBNew,0.0
2014,111,TBNew,0.0
2014,113,TBNew,0.0
2014,115,TBNew,26.0
2014,116,TBNew,0.0
2014,117,TBNew,0.0
2014,118,TBNew,0.0
2014,119,TBNew,0.0
2014,121,TBNew,0.0
2014,122,TBNew,0.0
2014,128,TBNew,0.0
2014,129,TBNew,0.0
2014,130,TBNew,0.0
2014,131,TBNew,0.0
2015,1,TBNew,52.0
2015,3,TBNew,0.0
2015,5,TBNew,340.0
2015,6,TBNew,0.0
2015,13,TBNew,0.0
2015,14,TBNew,0.0
2015,15,TBNew,0.0
2015,17,TBNew,0.0
2015,18,TBNew,0.0
2015,19,TBNew,0.0
2015,21,TBNew,0.0
2015,22,TBNew,0.0
2015,23,TBNew,31.0
2015,25,TBNew,0.0
2015,26,TBNew,0.0
2015,27,TBNew,23.0
2015,29,TBNew,2.0
2015,30,TBNew,11.0
2015,31,TBNew,37.0
2015,33,TBNew,0.0
2015,34,TBNew,1.0
2015,35,TBNew,18.0
2015,37,TBNew,0.0
2015,38,TBNew,0.0
2015,39,TBNew,24.0
2015,41,TBNew,0.0
2015,42,TBNew,0.0
2015,45,TBNew,0.0
2015,46,TBNew,330.0
2015,47,TBNew,156.0
2015,53,TBNew,8.0
2015,55,TBNew,92.0
2015,57,TBNew,8.0
2015,58,TBNew,38.0
2015,59,TBNew,67.0
2015,61,TBNew,0.0
2015,62,TBNew,0.0
2015,63,TBNew,34.0
2015,65,TBNew,25.0
2015,66,TBNew,28.0
2015,67,TBNew,17.0
2015,69,TBNew,0.0
2015,71,TBNew,13.0
2015,73,TBNew,21.0
2015,74,TBNew,86.0
2015,75,TBNew,22.0
2015,81,TBNew,3.0
2015,83,TBNew,61.0
2015,85,TBNew,2.0
2015,86,TBNew,4.0
2015,87,TBNew,24.0
2015,89,TBNew,1.0
2015,90,TBNew,1.0
2015,91,TBNew,8.0
2015,93,TBNew,0.0
2015,94,TBNew,1.0
2015,95,TBNew,0.0
2015,97,TBNew,0.0
2015,98,TBNew,0.0
2015,99,TBNew,7.0
2015,101,TBNew,0.0
2015,103,TBNew,30.0
2015,104,TBNew,0.0
2015,105,TBNew,0.0
2015,106,TBNew,31.0
2015,109,TBNew,0.0
2015,110,TBNew,10.0
2015,111,TBNew,7.0
2015,113,TBNew,0.0
2015,115,TBNew,26.0
2015,116,TBNew,0.0
2015,117,TBNew,0.0
2015,118,TBNew,18.0
2015,119,TBNew,18.0
2015,121,TBNew,0.0
2015,122,TBNew,2.0
2015,128,TBNew,59.0
2015,129,TBNew,143.0
2015,130,TBNew,0.0
2015,131,TBNew,0.0
2016,1,TBNew,4.0
2016,3,TBNew,0.0
2016,5,TBNew,0.0
2016,6,TBNew,0.0
2016,13,TBNew,0.0
2016,14,TBNew,0.0
2016,15,TBNew,0.0
2016,17,TBNew,0.0
2016,18,TBNew,0.0
2016,19,TBNew,0.0
2016,21,TBNew,0.0
2016,22,TBNew,0.0
2016,23,TBNew,12.0
2016,25,TBNew,0.0
2016,26,TBNew,0.0
2016,27,TBNew,0.0
2016,29,TBNew,0.0
2016,30,TBNew,0.0
2016,31,TBNew,0.0
2016,33,TBNew,0.0
2016,34,TBNew,0.0
2016,35,TBNew,0.0
2016,37,TBNew,0.0
2016,38,TBNew,0.0
2016,39,TBNew,0.0
2016,41,TBNew,0.0
2016,42,TBNew,0.0
2016,45,TBNew,159.0
2016,46,TBNew,109.0
2016,47,TBNew,282.0
2016,53,TBNew,0.0
2016,55,TBNew,0.0
2016,57,TBNew,16.0
2016,58,TBNew,13.0
2016,59,TBNew,0.0
2016,61,TBNew,0.0
2016,62,TBNew,0.0
2016,63,TBNew,0.0
2016,65,TBNew,16.0
