parameter_name,value,upper,lower,Source: GBD 2019 per 100 PY
0-4,0.037485853311975195,0.051130825427085,0.0266249757816436,
5-9,0.00873810893603158,0.0158242721617728,0.00331265715443925,
10-14,0.013377745009120699,0.0212780945567753,0.00667328999125256,
15-19,0.014862291793213099,0.0245782692306292,0.00783077874134229,
20-24,0.009941447899218669,0.0178754805563563,0.00353548246076582,
25-29,0.010397046324437,0.019583936231258002,0.0036368775728303003,
30-34,0.018403951492147103,0.0319981011821832,0.00664445523629905,
35-39,0.034865420784601295,0.0530746434729858,0.019263774668644,
40-44,0.051177567521406404,0.0739646412340783,0.0314420792549924,
45-49,0.0833203540909474,0.121525339843485,0.0500930509306001,
50-54,0.156913093419138,0.221237647178538,0.106292932027672,
55-59,0.26695876849092504,0.360597259039321,0.173782901646648,
60-64,0.410505281528861,0.559257948747403,0.28990808288872105,
65-69,0.598562185014345,0.7909485927533461,0.41895232764130297,
70-74,0.82140420006337,1.10490896269111,0.574705371871254,
75-79,0.897138789018266,1.20193994672977,0.627517157050813,
80-84,0.867227939162652,1.17700603904291,0.6068825573079161,
85-89,0.775504560867917,1.09889792691811,0.49651083009601304,
90-94,0.784873771290041,1.10814052813809,0.512413047026241,
95-99,0.982053316897989,1.54969524481015,0.583237272453482,
100+,0.982053316897989,1.54969524481015,0.583237272453482,
