District,Facility_Level,Region,Facility_ID,Facility_Name,Facility_Count,Proportion_owned_by_government,Proportion_located_in_urban_area
Mangochi,0,Southern,56,Facility_Level_0_Mangochi,2.0,0.5,0.0
Mangochi,1a,Southern,57,Facility_Level_1a_Mangochi,36.0,0.6666666666666666,0.027777777777777776
Mangochi,1b,Southern,58,Facility_Level_1b_Mangochi,4.0,0.5,0.0
Mangochi,2,Southern,59,Facility_Level_2_Mangochi,1.0,1.0,1.0
Mchinji,0,Central,60,Facility_Level_0_Mchinji,7.0,1.0,0.0
Mchinji,1a,Central,61,Facility_Level_1a_Mchinji,9.0,1.0,0.0
Mchinji,1b,Central,62,Facility_Level_1b_Mchinji,4.0,0.25,0.0
Mchinji,2,Central,63,Facility_Level_2_Mchinji,1.0,1.0,1.0
Mulanje,0,Southern,64,Facility_Level_0_Mulanje,0.0,,
Mulanje,1a,Southern,65,Facility_Level_1a_Mulanje,20.0,0.9,0.05
Mulanje,1b,Southern,66,Facility_Level_1b_Mulanje,1.0,0.0,0.0
Mulanje,2,Southern,67,Facility_Level_2_Mulanje,1.0,1.0,1.0
Mwanza,0,Southern,68,Facility_Level_0_Mwanza,0.0,,
Mwanza,1a,Southern,69,Facility_Level_1a_Mwanza,3.0,1.0,0.3333333333333333
Mwanza,1b,Southern,70,Facility_Level_1b_Mwanza,0.0,,
Mwanza,2,Southern,71,Facility_Level_2_Mwanza,1.0,1.0,1.0
Mzimba,0,Northern,72,Facility_Level_0_Mzimba,1.0,,
Mzimba,1a,Northern,73,Facility_Level_1a_Mzimba,52.0,,
Mzimba,1b,Northern,74,Facility_Level_1b_Mzimba,6.0,,
Mzimba,2,Northern,75,Facility_Level_2_Mzimba,1.0,,
Mzuzu City,0,Northern,76,Facility_Level_0_Mzuzu City,0.0,,
Mzuzu City,1a,Northern,77,Facility_Level_1a_Mzuzu City,0.0,,
Mzuzu City,1b,Northern,78,Facility_Level_1b_Mzuzu City,0.0,,
Mzuzu City,2,Northern,79,Facility_Level_2_Mzuzu City,0.0,,
Neno,0,Southern,80,Facility_Level_0_Neno,0.0,,
Neno,1a,Southern,81,Facility_Level_1a_Neno,8.0,0.5,0.125
Neno,1b,Southern,82,Facility_Level_1b_Neno,1.0,1.0,0.0
Neno,2,Southern,83,Facility_Level_2_Neno,1.0,1.0,0.0
Nkhata Bay,0,Northern,84,Facility_Level_0_Nkhata Bay,1.0,1.0,0.0
Nkhata Bay,1a,Northern,85,Facility_Level_1a_Nkhata Bay,17.0,0.8823529411764706,0.0
Nkhata Bay,1b,Northern,86,Facility_Level_1b_Nkhata Bay,1.0,1.0,1.0
Nkhata Bay,2,Northern,87,Facility_Level_2_Nkhata Bay,1.0,1.0,1.0
Nkhotakota,0,Central,88,Facility_Level_0_Nkhotakota,1.0,1.0,0.0
Nkhotakota,1a,Central,89,Facility_Level_1a_Nkhotakota,15.0,0.7333333333333333,0.0
Nkhotakota,1b,Central,90,Facility_Level_1b_Nkhotakota,3.0,0.3333333333333333,0.3333333333333333
Nkhotakota,2,Central,91,Facility_Level_2_Nkhotakota,1.0,1.0,1.0
Nsanje,0,Southern,92,Facility_Level_0_Nsanje,6.0,1.0,0.0
